TEAM,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
bos,Bimbo Coles, PG†,14,0,12.5,3.7,0.1,0.7,0.8,1.1,0.43,0.00,0.7,1.2,1.6,9.1,1.6,3.5,.449,0.0,0.5,.000,0.6,0.6,1.00,1.6,3.0,.524,1.061,0.45
bos,Mark Bryant, F†,2,0,4.5,0.0,0.0,1.0,1.0,0.5,0.00,0.00,0.0,1.0,0.0,-1.8,0.0,0.5,.000,0.0,0.0,.000,0.0,0.0,0.00,0.0,0.5,.000,.000,0.00
bos,Kedrick Brown, SG,51,5,13.1,2.8,0.9,1.9,2.7,0.4,0.67,0.25,0.5,1.3,0.9,8.3,1.2,3.4,.357,0.1,0.8,.077,0.4,0.6,0.63,1.1,2.6,.439,.848,0.37
bos,Walter McCarty, PF,82,8,23.8,6.1,0.8,2.7,3.5,1.3,0.95,0.34,0.8,2.3,1.6,10.4,2.1,5.1,.414,1.1,3.0,.367,0.7,1.2,0.62,1.0,2.1,.482,1.191,0.52
bos,Mark Blount, C†,27,7,19.2,4.4,1.8,2.8,4.6,0.8,0.74,0.63,1.2,2.8,0.6,11.1,1.7,3.0,.563,0.0,0.0,.000,1.1,1.5,0.75,1.7,3.0,.563,1.500,0.56
bos,Mikki Moore, C†,3,0,4.0,0.0,0.3,0.0,0.3,0.0,0.00,0.67,0.0,2.0,0.0,-5.7,0.0,0.3,.000,0.0,0.0,.000,0.0,0.0,0.00,0.0,0.3,.000,.000,0.00
bos,Paul Pierce, SF,79,79,39.2,25.9,1.3,6.0,7.3,4.4,1.76,0.78,3.6,2.9,1.2,23.5,8.4,20.2,.416,1.5,4.9,.302,7.6,9.5,0.80,6.9,15.3,.454,1.286,0.45
bos,Shammond Williams, PG†,51,2,22.9,7.3,0.2,1.9,2.2,2.5,1.20,0.06,1.2,1.6,2.1,12.5,2.6,6.6,.396,1.1,3.1,.352,0.9,1.1,0.84,1.5,3.5,.436,1.101,0.48
bos,Eric Williams, PF,82,79,28.7,9.1,1.7,2.9,4.7,1.7,1.05,0.23,1.2,2.9,1.4,12.8,3.1,7.0,.442,0.5,1.3,.336,2.5,3.3,0.75,2.6,5.7,.467,1.297,0.47
bos,J.R. Bremer, PG,64,41,23.5,8.3,0.3,2.0,2.3,2.6,0.59,0.05,0.9,1.3,2.8,13.2,2.7,7.3,.369,1.6,4.5,.353,1.3,1.7,0.77,1.1,2.8,.393,1.138,0.48
bos,Tony Battie, C,67,62,25.1,7.3,2.2,4.3,6.5,0.7,0.49,1.21,0.7,2.9,1.0,14.1,3.0,5.5,.539,0.0,0.1,.200,1.3,1.8,0.75,3.0,5.4,.544,1.320,0.54
bos,Ruben Wolkowyski, F,7,0,3.4,0.7,0.0,0.1,0.1,0.1,0.00,0.00,0.1,0.4,1.0,1.8,0.3,0.6,.500,0.0,0.1,.000,0.1,0.6,0.25,0.3,0.5,.667,1.250,0.50
bos,Bruno Sundov, C,26,0,5.3,1.2,0.3,0.8,1.1,0.3,0.23,0.12,0.3,0.9,0.8,1.6,0.5,2.2,.250,0.2,0.6,.250,0.0,0.1,0.00,0.3,1.6,.250,.571,0.29
bos,Grant Long, F,41,1,11.9,1.8,0.6,1.4,2.0,0.6,0.22,0.02,0.5,1.5,1.3,4.9,0.7,1.7,.386,0.0,0.1,.000,0.4,0.6,0.78,0.7,1.6,.403,1.029,0.39
bos,Tony Delk, PG,67,39,28.0,9.8,0.6,2.9,3.5,2.2,1.07,0.15,1.0,1.9,2.1,13.8,3.5,8.4,.416,1.8,4.5,.395,1.0,1.3,0.78,1.7,3.9,.441,1.168,0.52
bos,Antoine Walker, PF,78,78,41.5,20.1,1.3,5.9,7.2,4.8,1.49,0.40,3.3,2.8,1.4,15.6,7.7,19.9,.388,2.4,7.5,.323,2.3,3.7,0.62,5.3,12.4,.427,1.010,0.45
bos,Vin Baker, PF,52,9,18.1,5.2,1.7,2.1,3.8,0.6,0.42,0.58,1.2,2.8,0.5,10.0,1.9,4.0,.478,0.0,0.1,.000,1.4,2.1,0.67,1.9,3.9,.488,1.304,0.48
bkn,Brian Scalabrine, PF,59,7,12.3,3.1,0.7,1.7,2.4,0.8,0.27,0.31,0.8,1.3,1.0,8.7,1.2,2.9,.402,0.2,0.7,.359,0.5,0.6,0.83,1.0,2.2,.415,1.065,0.44
bkn,Brandon Armstrong, SG,17,0,4.1,1.4,0.0,0.2,0.2,0.1,0.18,0.06,0.3,0.5,0.4,4.8,0.5,1.6,.333,0.1,0.4,.167,0.3,0.4,0.83,0.4,1.2,.381,.889,0.35
bkn,Richard Jefferson, SF,80,80,36.0,15.5,1.9,4.6,6.4,2.5,1.00,0.55,2.0,2.7,1.3,16.4,5.7,11.4,.501,0.1,0.3,.250,4.1,5.5,0.74,5.6,11.1,.507,1.363,0.50
bkn,Kenyon Martin, PF,77,77,34.1,16.7,2.1,6.2,8.3,2.4,1.27,0.91,2.5,3.8,1.0,16.8,6.6,14.1,.470,0.1,0.6,.209,3.3,5.1,0.65,6.5,13.5,.481,1.186,0.47
bkn,Anthony Johnson, PG,66,2,12.8,4.1,0.2,1.0,1.2,1.3,0.56,0.08,0.6,1.4,2.1,11.2,1.6,3.5,.446,0.2,0.5,.371,0.8,1.1,0.69,1.4,3.0,.459,1.169,0.47
bkn,Jason Collins, C,81,66,23.5,5.7,1.7,2.9,4.5,1.1,0.58,0.54,1.0,3.1,1.0,9.2,1.7,4.2,.414,0.0,0.0,.000,2.2,2.9,0.76,1.7,4.2,.419,1.361,0.41
bkn,Chris Childs, G,12,0,8.8,1.3,0.3,0.2,0.4,1.3,0.67,0.08,0.5,1.4,2.7,5.8,0.5,1.7,.300,0.1,0.5,.167,0.2,0.3,0.67,0.4,1.2,.357,.750,0.33
bkn,Jason Kidd, PG,80,80,37.4,18.7,1.4,4.9,6.3,8.9,2.24,0.31,3.7,1.6,2.4,22.6,6.4,15.6,.414,1.6,4.6,.341,4.2,5.0,0.84,4.8,11.0,.445,1.202,0.46
bkn,Dikembe Mutombo, C,24,16,21.4,5.8,2.3,4.1,6.4,0.8,0.17,1.54,1.4,2.3,0.6,10.6,2.0,5.5,.374,0.0,0.0,.000,1.7,2.3,0.73,2.0,5.5,.374,1.053,0.37
bkn,Lucious Harris, SG,77,25,25.6,10.3,0.8,2.2,3.0,2.0,0.69,0.10,0.9,1.2,2.2,13.9,3.9,9.4,.413,0.6,1.8,.346,2.0,2.5,0.80,3.3,7.6,.429,1.103,0.45
bkn,Donny Marshall, F,3,0,2.0,0.0,0.0,1.0,1.0,0.0,0.00,0.00,0.3,0.0,0.0,-17.4,0.0,1.0,.000,0.0,0.3,.000,0.0,0.0,0.00,0.0,0.7,.000,.000,0.00
bkn,Kerry Kittles, SG,65,57,30.0,13.0,0.8,3.1,3.9,2.6,1.55,0.46,0.8,1.7,3.1,18.1,5.1,10.9,.467,1.2,3.4,.356,1.6,2.1,0.79,3.9,7.5,.516,1.193,0.52
bkn,Aaron Williams, C,81,0,19.7,6.2,1.7,2.4,4.1,1.1,0.33,0.70,1.0,2.5,1.0,11.3,2.5,5.4,.453,0.0,0.0,.000,1.3,1.6,0.78,2.5,5.4,.454,1.139,0.45
bkn,Tamar Slay, SG,36,0,7.6,2.6,0.2,0.6,0.9,0.4,0.39,0.08,0.6,0.9,0.7,7.5,1.1,2.9,.379,0.2,0.7,.280,0.2,0.3,0.70,0.9,2.2,.410,.893,0.41
bkn,Rodney Rogers, SF,68,0,19.2,7.0,0.9,3.0,3.9,1.6,0.74,0.46,1.3,2.8,1.2,11.6,2.7,6.7,.402,0.6,1.9,.333,1.0,1.3,0.76,2.1,4.8,.430,1.051,0.45
ny,Clarence Weatherspoon, PF,79,19,25.6,6.6,2.7,4.9,7.6,0.9,0.87,0.46,0.8,2.2,1.1,13.6,2.4,5.2,.449,0.0,0.0,.000,1.9,2.5,0.77,2.4,5.2,.449,1.258,0.45
ny,Shandon Anderson, SF,82,9,21.1,8.4,0.8,2.3,3.1,1.1,0.89,0.24,1.4,2.2,0.8,13.5,3.0,6.5,.462,0.6,1.7,.371,1.7,2.3,0.73,2.4,4.8,.494,1.279,0.51
ny,Kurt Thomas, PF,81,81,31.8,14.0,2.0,5.9,7.9,2.0,1.00,1.20,1.7,4.2,1.2,16.5,6.1,12.7,.483,0.0,0.0,.667,1.7,2.3,0.75,6.1,12.7,.483,1.103,0.48
ny,Howard Eisley, PG,82,76,27.4,9.1,0.3,2.0,2.3,5.4,0.87,0.11,1.8,2.7,3.0,14.5,3.2,7.7,.417,1.6,4.1,.389,1.1,1.3,0.85,1.6,3.6,.450,1.185,0.52
ny,Travis Knight, C,32,0,9.0,1.9,0.6,1.4,1.9,0.4,0.25,0.28,0.3,1.4,1.4,7.7,0.8,2.0,.385,0.0,0.0,.000,0.3,0.4,0.77,0.8,2.0,.391,.923,0.38
ny,Charlie Ward, PG,66,6,22.2,7.2,0.4,2.3,2.7,4.6,1.18,0.17,1.4,2.2,3.2,16.1,2.5,6.3,.399,1.5,4.0,.378,0.6,0.8,0.77,1.0,2.3,.435,1.140,0.52
ny,Latrell Sprewell, SG,74,73,38.6,16.4,0.6,3.2,3.9,4.5,1.38,0.30,2.3,1.8,1.9,15.2,6.1,15.2,.403,1.8,4.9,.372,2.3,2.9,0.79,4.3,10.3,.417,1.078,0.46
ny,Othella Harrington, PF,74,64,25.0,7.7,2.2,4.2,6.4,0.8,0.16,0.31,1.2,3.1,0.7,11.8,3.0,6.0,.508,0.0,0.0,.000,1.7,2.0,0.82,3.0,6.0,.508,1.293,0.51
ny,Michael Doleac, C,75,0,13.9,4.4,0.9,2.1,2.9,0.6,0.21,0.21,0.7,2.0,0.9,8.8,1.9,4.6,.426,0.0,0.0,.000,0.5,0.6,0.78,1.9,4.6,.426,.956,0.43
ny,Lee Nailon, SF,38,0,10.7,5.5,0.8,1.0,1.8,0.7,0.16,0.08,0.8,1.2,0.8,15.1,2.2,5.0,.442,0.0,0.0,.000,1.1,1.3,0.82,2.2,5.0,.444,1.105,0.44
ny,Allan Houston, SG,82,82,37.9,22.5,0.3,2.5,2.8,2.7,0.66,0.09,2.2,2.3,1.2,18.8,8.0,17.9,.445,2.2,5.5,.396,4.4,4.8,0.92,5.8,12.4,.467,1.259,0.51
ny,Frank Williams, PG,21,0,8.0,1.3,0.1,0.7,0.9,1.6,0.33,0.10,0.8,1.0,2.0,6.8,0.4,1.6,.273,0.3,0.8,.375,0.2,0.3,0.67,0.1,0.8,.176,.848,0.36
ny,Lavor Postell, G,12,0,8.2,3.6,0.1,0.3,0.3,0.3,0.17,0.00,0.6,0.8,0.4,9.0,1.2,3.2,.368,0.2,0.6,.286,1.1,1.3,0.87,1.0,2.6,.387,1.132,0.39
phi,Mark Bryant, F†,11,0,7.0,1.1,0.6,0.8,1.5,0.1,0.09,0.09,0.5,1.1,0.2,1.3,0.5,1.5,.294,0.0,0.0,.000,0.2,0.2,1.00,0.5,1.5,.294,.706,0.29
phi,Kenny Thomas, PF†,46,28,30.3,10.2,3.0,5.5,8.5,1.6,1.00,0.48,1.7,2.6,1.0,15.1,3.9,8.0,.482,0.0,0.0,.000,2.5,3.3,0.75,3.9,8.0,.482,1.274,0.48
phi,Greg Buckner, SG,75,5,20.2,6.0,1.0,1.9,2.9,1.3,0.96,0.21,0.8,2.7,1.5,11.1,2.5,5.3,.465,0.2,0.7,.273,0.9,1.1,0.80,2.3,4.6,.496,1.131,0.48
phi,Kenny Satterfield, G†,17,0,4.8,0.5,0.2,0.2,0.5,0.9,0.12,0.00,0.4,0.4,2.1,3.3,0.2,1.1,.222,0.0,0.0,.000,0.1,0.1,0.50,0.2,1.1,.222,.500,0.22
phi,Todd MacCulloch, C,42,35,19.3,7.1,1.6,3.1,4.7,0.5,0.45,0.76,0.8,2.5,0.6,14.1,2.9,5.7,.517,0.0,0.0,.000,1.3,1.9,0.67,2.9,5.7,.517,1.256,0.52
phi,Art Long, F†,19,0,6.9,2.1,0.7,1.4,2.1,0.1,0.11,0.42,0.5,1.2,0.2,7.4,1.0,2.6,.380,0.1,0.1,1.000,0.1,0.3,0.20,0.9,2.5,.367,.800,0.39
phi,Allen Iverson, SG,82,82,42.5,27.6,0.8,3.4,4.2,5.5,2.74,0.16,3.5,1.8,1.6,22.1,9.8,23.7,.414,1.0,3.7,.277,7.0,9.0,0.77,8.8,20.0,.440,1.166,0.44
phi,Tyrone Hill, PF†,24,18,20.7,4.5,2.3,2.8,5.2,0.4,0.63,0.29,0.7,2.8,0.6,8.4,1.8,4.5,.404,0.0,0.0,.000,0.9,1.5,0.60,1.8,4.5,.404,1.000,0.40
phi,Eric Snow, PG,82,82,37.9,12.9,0.9,2.8,3.7,6.6,1.62,0.13,2.4,2.9,2.8,15.6,4.4,9.7,.452,0.1,0.4,.219,4.0,4.6,0.86,4.3,9.3,.462,1.319,0.46
phi,Brian Skinner, PF,77,9,17.9,6.0,1.8,3.0,4.8,0.2,0.61,0.69,0.8,2.3,0.3,14.2,2.4,4.3,.550,0.0,0.0,.000,1.3,2.1,0.60,2.4,4.3,.550,1.393,0.55
phi,John Salmons, SF,64,1,7.9,2.1,0.3,0.7,0.9,0.7,0.27,0.09,0.5,0.8,1.6,9.4,0.8,1.8,.414,0.2,0.5,.323,0.4,0.5,0.74,0.6,1.3,.447,1.138,0.46
