PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,AFG%
Kedrick Brown,SG,29.0,5.0,8.4,2.2,0.4,1.3,1.7,0.5,0.62,0.24,0.2,0.6,0.8,2.4,0.32899999999999996,0.2,0.9,0.185,0.4,0.7,0.6,0.6,1.5,0.419,0.36
Walter McCarty,PF,56.0,0.0,12.8,3.8,0.6,1.7,2.3,0.7,0.32,0.13,0.4,1.5,1.4,3.2,0.444,0.7,1.8,0.39399999999999996,0.2,0.3,0.68,0.7,1.4,0.506,0.55
Kenny Anderson,PG,76.0,76.0,32.0,9.6,0.8,2.9,3.6,5.3,1.86,0.13,1.6,2.8,4.1,9.4,0.43600000000000005,0.1,0.4,0.273,1.3,1.7,0.74,4.0,9.0,0.444,0.43999999999999995
Tony Battie,C,74.0,73.0,24.6,6.9,2.5,4.0,6.5,0.5,0.81,0.91,0.7,3.0,2.9,5.3,0.541,0.0,0.0,0.0,1.2,1.8000000000000003,0.68,2.9,5.3,0.544,0.54
Vitaly Potapenko,C,79.0,9.0,17.0,4.6,2.1,2.3,4.4,0.4,0.4699999999999999,0.23,0.8,2.2,1.6999999999999997,3.8,0.455,0.0,0.0,0.0,1.1,1.5,0.74,1.6999999999999997,3.8,0.455,0.46
Paul Pierce,SF,82.0,82.0,40.3,26.100000000000005,1.0,5.9,6.900000000000001,3.2000000000000006,1.88,1.05,2.9,2.9,8.6,19.5,0.442,2.6,6.300000000000001,0.404,6.300000000000001,7.800000000000001,0.81,6.0,13.199999999999998,0.461,0.51
Joseph Forte,G,8.0,0.0,4.9,0.8,0.1,0.6,0.8,0.8,0.25,0.0,0.4,0.1,0.1,1.5,0.083,0.0,0.4,0.0,0.5,0.5,1.0,0.1,1.1,0.111,0.08
Joe Johnson,SF,77.0,60.0,24.89220779220779,7.542857142857143,0.9506493506493506,2.4012987012987015,3.3519480519480513,2.290909090909091,0.769090909090909,0.26155844155844155,0.9389610389610389,1.4636363636363634,3.2649350649350652,7.593506493506494,0.4318441558441558,0.5,1.6493506493506493,0.2955974025974026,0.512987012987013,0.6506493506493507,0.7737662337662338,2.7649350649350652,5.944155844155845,0.4817532467532467,0.4649350649350649
Eric Williams,PF,74.0,30.0,23.6,6.4,0.8,2.2,3.0,1.5,1.04,0.11000000000000001,1.3,2.4,1.9,5.2,0.374,0.3,1.2,0.27899999999999997,2.2,3.0,0.73,1.6,4.0,0.401,0.41
Antoine Walker,PF,81.0,81.0,42.0,22.1,1.9000000000000001,7.0,8.8,5.0,1.51,0.47000000000000003,3.1,2.9,8.2,20.9,0.39399999999999996,2.7,8.0,0.344,3.0,4.0,0.74,5.5,12.9,0.425,0.4600000000000001
Randy Brown,G,1.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Erick Strickland,PG,79.0,4.0,20.8,7.700000000000001,0.3,2.4,2.7,2.3,0.71,0.01,1.2,1.8000000000000003,2.4,6.2,0.389,1.2,3.1,0.385,1.6999999999999997,2.0,0.8499999999999999,1.2,3.1,0.39399999999999996,0.49
Mark Blount,C,44.0,0.0,9.4,2.1,0.6,1.3,1.9,0.2,0.36,0.42999999999999994,0.5,1.3,0.7,1.7,0.42100000000000004,0.0,0.0,0.0,0.7,0.8,0.81,0.7,1.7,0.42100000000000004,0.42
Tony Delk,PG,63.0,17.0,22.971428571428568,9.482539682539683,0.9,2.3095238095238093,3.2095238095238092,2.104761904761905,0.8438095238095238,0.15936507936507938,0.965079365079365,1.56984126984127,3.5460317460317463,9.296825396825396,0.3815396825396825,1.0301587301587303,3.3904761904761904,0.31266666666666665,1.2603174603174605,1.5301587301587303,0.8015873015873016,2.515873015873016,5.906349206349207,0.4206984126984127,0.4425396825396825
