PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,AFG%
Keyon Dooling,PG,46,2,14.4,4.0,0.1,0.8,0.8,1.1,0.28,0.04,0.7,1.2,1.4,3.5,0.4050000000000001,0.6,1.8,0.33299999999999996,0.5,0.7,0.74,0.8,1.7,0.47600000000000003,0.49
Marquis Daniels,SG,38,0,12.7,3.2,0.4,1.3,1.7,1.2,0.55,0.24,0.7,0.9,1.4,3.8000000000000003,0.364,0.0,0.3,0.0,0.4,0.6,0.74,1.4,3.5,0.391,0.36
E'Twaun Moore,SG,38,0,8.7,2.9,0.1,0.8,0.9,0.9,0.29,0.08,0.6,0.9,1.1,3.0,0.381,0.4,1.2,0.37799999999999995,0.2,0.2,1.0,0.7,1.8,0.382,0.46
Mickael Pietrus,SF,42,6,21.9,6.9,0.4,2.7,3.1000000000000005,0.6,0.5,0.24,0.8,1.9,2.5,6.4,0.38500000000000006,1.5,4.3,0.335,0.5,0.7,0.65,1.0,2.1,0.489,0.5
JaJuan Johnson,PF,36,0,8.3,3.2,0.6,1.1,1.6,0.2,0.14,0.39,0.4,0.7,1.5,3.4,0.446,0.0,0.0,0.0,0.2,0.3,0.67,1.5,3.4,0.446,0.44999999999999996
Kevin Garnett,PF,60,60,31.1,15.8,1.1,7.1,8.2,2.9,0.93,1.02,1.8,2.4,6.5,13.0,0.503,0.1,0.2,0.33299999999999996,2.7,3.2,0.86,6.4,12.8,0.505,0.51
Paul Pierce,SF,61,61,34.0,19.4,0.6,4.6,5.2,4.5,1.15,0.43,2.8,2.4,6.5,14.6,0.44299999999999995,1.6,4.5,0.366,4.8,5.6,0.85,4.9,10.1,0.47600000000000003,0.5
Ray Allen,SG,46,42,34.0,14.2,0.3,2.8,3.1,2.4,1.07,0.17,1.5,1.8,4.9,10.7,0.45799999999999996,2.3,5.1,0.45299999999999996,2.1,2.3,0.92,2.6,5.6,0.46299999999999997,0.57
Rajon Rondo,PG,53,53,36.9,11.9,1.2,3.7000000000000006,4.8,11.699999999999998,1.79,0.06,3.6,1.8999999999999997,4.8,10.800000000000002,0.44799999999999995,0.20000000000000004,0.8000000000000002,0.23800000000000002,2.0,3.4,0.6,4.6,10.0,0.46399999999999997,0.4600000000000001
Sean Williams,PF,11,0,9.709090909090909,3.627272727272728,1.1545454545454545,1.1,2.2545454545454544,0.49090909090909096,0.36727272727272725,0.7309090909090908,0.9272727272727272,1.6636363636363638,1.2818181818181817,2.0,0.6362727272727272,0.0,0.0,0.0,1.0636363636363635,1.2090909090909092,0.8763636363636365,1.2818181818181817,2.0,0.6362727272727272,0.6354545454545455
Chris Wilcox,PF,28,4,17.2,5.4,1.4,3.0,4.4,0.4,0.39,0.32,1.1,2.3,2.3,3.8,0.598,0.0,0.0,0.0,0.9,1.4,0.62,2.3,3.8,0.598,0.6
Avery Bradley,PG,64,28,21.4,7.6,0.5,1.3,1.8,1.4,0.67,0.19,1.2,1.7,3.1,6.3,0.498,0.3,0.8,0.40700000000000003,1.0,1.2,0.79,2.8,5.5,0.511,0.52
Sasha Pavlovic,SG,45,7,11.7,2.7,0.1,1.5,1.6,0.4,0.44,0.33,0.4,1.2,1.1,2.8,0.39099999999999996,0.4,1.3,0.293,0.1,0.2,0.38,0.7,1.5,0.47100000000000003,0.45999999999999996
Brandon Bass,PF,59,39,31.7,12.5,1.6,4.6,6.2,0.9,0.58,0.92,1.1,2.3,5.1,10.7,0.479,0.0,0.0,0.0,2.2,2.8,0.81,5.1,10.7,0.479,0.48
Jermaine O'Neal,C,25,24,22.8,5.0,1.5,3.9,5.4,0.4,0.32,1.72,0.8,3.2,2.1,4.8,0.433,0.0,0.0,0.0,0.8,1.2,0.68,2.1,4.8,0.433,0.43
Ryan Hollins,C,39,8,13.407692307692306,3.353846153846154,0.8461538461538461,1.2230769230769232,2.069230769230769,0.2615384615384615,0.13153846153846155,0.43461538461538457,0.8846153846153846,1.9923076923076921,1.2,2.146153846153846,0.5549999999999999,0.0,0.0,0.0,1.0153846153846153,1.915384615384615,0.48461538461538456,1.2,2.146153846153846,0.5549999999999999,0.5538461538461539
Greg Stiemsma,C,55,3,13.9,2.9,0.9,2.3,3.2,0.5,0.67,1.55,0.6,2.6,1.2,2.2,0.545,0.0,0.0,0.0,0.5,0.7,0.71,1.2,2.2,0.545,0.55
Kris Humphries,PF,62,62,34.9,13.8,3.8,7.2,11.0,1.5,0.81,1.19,1.9,2.8,5.2,10.8,0.48100000000000004,0.0,0.0,0.0,3.4,4.5,0.75,5.2,10.8,0.48100000000000004,0.48
Deron Williams,PG,55,55,36.3,21.0,0.4,2.9,3.3,8.7,1.22,0.36,4.0,2.2,7.1,17.5,0.40700000000000003,2.1,6.2,0.336,4.7,5.5,0.84,5.0,11.3,0.446,0.47
Anthony Morrow,SG,62,18,26.4,12.0,0.5,1.5,2.0,1.0,0.74,0.15,1.1,1.4,4.4,10.6,0.413,1.7,4.6,0.371,1.6,1.7,0.93,2.7,6.0,0.446,0.49
