PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,AFG%
Raef LaFrentz,C,80,80,27.5,11.1,1.9,5.0,6.9,1.2,0.53,1.24,0.9,3.3,4.3,8.6,0.496,1.0,2.8,0.364,1.5,1.9,0.8100000000000002,3.3,5.8,0.5589999999999999,0.56
Walter McCarty,PF,72,0,12.600000000000001,3.6222222222222222,0.4222222222222222,1.5333333333333334,1.9555555555555557,0.5222222222222223,0.34777777777777774,0.2038888888888889,0.5166666666666667,1.9777777777777779,1.322222222222222,3.2444444444444445,0.4032777777777778,0.7777777777777778,2.1166666666666663,0.3532222222222222,0.23888888888888893,0.37777777777777777,0.5183333333333333,0.5444444444444444,1.1277777777777775,0.4812777777777778,0.5216666666666667
Kendrick Perkins,C,60,3,9.1,2.5,0.9,2.1,2.9,0.4,0.15,0.62,0.7,1.6,0.9,2.0,0.47100000000000003,0.0,0.0,0.0,0.6,1.0,0.64,0.9,2.0,0.47100000000000003,0.47
Jiri Welsch,GF,71,32,18.58450704225352,6.4633802816901404,0.39999999999999997,2.019718309859155,2.3422535211267608,1.4323943661971832,0.6198591549295774,0.06971830985915493,1.0549295774647889,1.6971830985915493,2.1169014084507043,5.214084507042253,0.3845070422535211,0.48732394366197185,1.552112676056338,0.29122535211267603,1.8422535211267608,2.4197183098591553,0.7564788732394366,1.6295774647887324,3.6619718309859155,0.4242957746478873,0.428169014084507
Tony Allen,SG,77,34,16.4,6.4,1.1,1.7999999999999998,2.9,0.8,0.9900000000000001,0.31,1.0,2.0,2.4,5.0,0.4749999999999999,0.2,0.4,0.387,1.5,2.0,0.74,2.2,4.6,0.48299999999999993,0.48999999999999994
Justin Reed,SF,23,0,5.3,1.8,0.3,0.3,0.7,0.4,0.13,0.04,0.2,0.5,0.7,1.3,0.517,0.0,0.1,0.0,0.5,0.7,0.73,0.7,1.2,0.5770000000000001,0.52
Paul Pierce,SF,82,82,36.1,21.6,1.0,5.6,6.599999999999999,4.2,1.62,0.48,2.8,3.1,6.800000000000001,14.899999999999999,0.455,1.3,3.5999999999999996,0.37,6.699999999999999,8.1,0.82,5.5,11.3,0.481,0.5
Delonte West,SG,39,7,13.0,4.5,0.4,1.3,1.7,1.4,0.54,0.21,0.6,1.8,1.7,4.0,0.42600000000000005,0.6,1.7,0.358,0.5,0.7,0.7,1.1,2.3,0.47700000000000004,0.5
Gary Payton,PG,77,77,33.0,11.3,0.6,2.4,3.1,6.1,1.14,0.16,1.8999999999999997,1.6,4.4,9.4,0.468,0.5,1.7000000000000002,0.326,2.0,2.6,0.76,3.9000000000000004,7.699999999999999,0.49799999999999994,0.5
Al Jefferson,C,71,1,14.799999999999999,6.7,1.7,2.7,4.4,0.3,0.31,0.77,0.9,2.7,2.7,5.2,0.528,0.0,0.0,0.0,1.2,1.9000000000000001,0.63,2.7,5.2,0.5329999999999999,0.53
Marcus Banks,PG,81,2,14.1,4.6,0.39999999999999997,1.2,1.5999999999999999,1.9000000000000001,0.78,0.16,1.0,1.8,1.4,3.5,0.4020000000000001,0.3,0.7,0.35600000000000004,1.5,2.0,0.74,1.1,2.8,0.414,0.44
Tom Gugliotta,PF,47,9,20.551063829787232,5.091489361702128,1.202127659574468,2.893617021276596,4.095744680851064,1.4617021276595745,0.8751063829787233,0.36085106382978727,1.246808510638298,2.234042553191489,2.1510638297872338,5.1744680851063825,0.37397872340425525,0.1723404255319149,0.574468085106383,0.17693617021276598,0.7170212765957448,0.9319148936170212,0.7331914893617022,1.9787234042553192,4.6,0.38431914893617025,0.3861702127659574
Antoine Walker,PF,77,77,38.423376623376626,19.12207792207792,2.3688311688311687,6.6571428571428575,9.057142857142859,3.481818181818182,1.157012987012987,0.7496103896103896,3.312987012987013,2.831168831168831,7.525974025974026,17.884415584415585,0.42341558441558436,1.4129870129870132,4.445454545454544,0.3247922077922078,2.625974025974026,4.814285714285714,0.5393506493506494,6.112987012987013,13.438961038961038,0.4552987012987013,0.46623376623376633
Mark Blount,C,82,57,26.0,9.4,1.7000000000000002,3.1,4.8,1.6000000000000003,0.4000000000000001,0.78,1.8999999999999997,2.8,4.0,7.5,0.529,0.0,0.0,0.0,1.4,2.0,0.71,4.0,7.5,0.53,0.53
Ricky Davis,SG,82,11,32.9,16.0,0.8000000000000002,2.2,3.0,3.0,1.09,0.33,2.5,2.1,5.9,12.699999999999998,0.462,0.7,2.2,0.33899999999999997,3.5,4.3,0.81,5.2,10.5,0.488,0.49
Kaniel Dickens,SF,11,0,5.5,1.2,0.3,0.5,0.8,0.1,0.18,0.09,0.2,0.5,0.4,1.3,0.28600000000000003,0.3,0.8,0.33299999999999996,0.2,0.2,1.0,0.1,0.5,0.2,0.39
Richard Jefferson,SF,33,33,41.1,22.2,1.5,5.8,7.3,4.0,1.0,0.52,4.0,3.3,7.2,17.1,0.42200000000000004,0.9,2.7,0.337,6.9,8.2,0.84,6.3,14.4,0.43799999999999994,0.45
Elden Campbell,C,40,1,9.725,2.975,0.675,1.625,2.3,0.45,0.20250000000000004,0.175,0.7,1.45,0.975,3.1,0.252,0.0,0.075,0.0,1.025,1.375,0.7100000000000001,0.975,3.025,0.25650000000000006,0.255
Alonzo Mourning,C,37,17,18.98108108108108,7.627027027027029,1.4432432432432432,3.913513513513513,5.354054054054054,0.49189189189189186,0.21837837837837842,2.0027027027027025,1.5243243243243243,2.2351351351351347,2.721621621621621,5.732432432432432,0.4853513513513513,0.0,0.0,0.0,2.1837837837837837,3.824324324324324,0.5745945945945945,2.721621621621621,5.732432432432432,0.4853513513513513,0.485945945945946
Jason Kidd,PG,66,65,36.9,14.4,1.4,6.0,7.4,8.3,1.86,0.14,2.5,1.7,5.2,13.0,0.39799999999999996,2.0,5.4,0.36,2.2,2.9,0.74,3.2,7.6,0.425,0.47
Donnell Harvey,PF,3,0,5.3,2.7000000000000006,0.6999999999999998,1.7,2.3,0.3,0.33,0.33,0.3,0.6999999999999998,0.6999999999999998,0.6999999999999998,1.0,0.0,0.0,0.0,1.3,1.3,1.0,0.6999999999999998,0.6999999999999998,1.0,1.0
Jerome Moiso,C,20,1,6.0,1.42,0.54,1.34,1.8800000000000001,0.06,0.15,0.304,0.36,0.6799999999999999,0.4800000000000001,0.9,0.5532,0.0,0.04,0.0,0.52,0.64,0.556,0.4800000000000001,0.86,0.5700000000000001,0.552
Vince Carter,SG,77,76,36.69220779220779,24.48701298701299,1.4,3.824675324675325,5.224675324675325,4.2844155844155845,1.4128571428571428,0.6241558441558441,2.2103896103896106,3.17012987012987,9.012987012987013,19.985714285714284,0.4487532467532468,1.6662337662337663,4.1103896103896105,0.39824675324675324,4.794805194805194,5.968831168831168,0.7862337662337662,7.346753246753248,15.875324675324677,0.4608701298701299,0.4918181818181819
Eric Williams,PF,55,39,24.01090909090909,7.716363636363636,0.8054545454545454,2.3345454545454545,3.1399999999999997,1.690909090909091,0.6920000000000001,0.07527272727272728,1.1054545454545455,2.6872727272727275,2.5545454545454547,6.0181818181818185,0.4137454545454545,0.4909090909090909,1.3436363636363637,0.36812727272727275,2.0163636363636366,2.9363636363636365,0.7085454545454545,2.0636363636363635,4.674545454545455,0.4273636363636363,0.4581818181818182
Rodney Buford,SF,64,17,20.5,7.0,0.5,2.4,3.0,1.0,0.63,0.06,0.5,1.6,2.9,7.6,0.382,0.5,1.7,0.315,0.6,0.7,0.82,2.4,5.9,0.402,0.42
Clifford Robinson,PF,71,29,23.835211267605633,7.47887323943662,0.7408450704225352,2.204225352112676,2.945070422535211,1.4732394366197183,0.8743661971830986,0.7461971830985916,0.9591549295774647,2.5408450704225354,2.869014084507042,7.338028169014085,0.38288732394366193,0.9591549295774647,2.7140845070422532,0.3506056338028169,0.8408450704225352,1.3591549295774648,0.6367605633802816,1.9098591549295774,4.623943661971831,0.40087323943661973,0.44774647887323943
Jabari Smith,C,45,2,14.4,3.7,0.6,1.8,2.5,0.8,0.56,0.31,0.9,2.3,1.4,3.3,0.419,0.0,0.0,0.5,0.9,1.2,0.75,1.4,3.3,0.418,0.42
Ron Mercer,SG,18,3,21.7,7.599999999999999,0.5,1.7,2.2,1.1,0.89,0.11,0.8,1.1,3.5999999999999996,8.8,0.41100000000000003,0.0,0.2,0.0,0.4,0.6,0.7,3.5999999999999996,8.6,0.419,0.41
Zoran Planinic,PG,43,8,12.0,5.0,0.39999999999999997,1.2,1.5999999999999999,1.0,0.58,0.0,1.0,1.8,1.8,4.0,0.448,0.3,0.9,0.375,1.1,1.5,0.7,1.5,3.1,0.4699999999999999,0.49
Aaron Williams,C,42,4,7.516666666666667,1.7357142857142858,0.4,1.0261904761904763,1.4357142857142857,0.19047619047619047,0.11690476190476191,0.18880952380952382,0.4357142857142857,1.6833333333333333,0.7,1.5095238095238097,0.4631428571428572,0.0,0.0,0.0,0.3904761904761904,0.3904761904761904,0.8780952380952382,0.7,1.5095238095238097,0.4631428571428572,0.46523809523809523
Jacque Vaughn,PG,71,34,19.9,5.3,0.2,1.3,1.5,1.9000000000000001,0.58,0.01,0.9,1.9000000000000001,2.1,4.6,0.449,0.1,0.2,0.33299999999999996,1.1,1.3,0.84,2.0,4.4,0.455,0.4600000000000001
Brian Scalabrine,PF,54,14,21.6,6.3,1.5,3.0,4.5,1.6,0.63,0.33,1.2,2.1,2.4,6.1,0.39799999999999996,0.4,1.3,0.32400000000000007,1.0,1.3,0.77,2.0,4.8,0.41700000000000004,0.43
Awvee Storey,SF,9,0,3.5999999999999996,0.8999999999999999,0.4,0.1,0.6,0.1,0.0,0.0,0.0,0.3,0.3,1.1,0.3,0.1,0.2,0.5,0.1,0.2,0.5,0.2,0.8999999999999999,0.25,0.35
Jason Collins,C,80,80,31.8,6.4,1.9,4.2,6.1,1.3,0.89,0.89,1.1,4.0,2.3,5.6,0.41200000000000003,0.0,0.1,0.33299999999999996,1.7,2.6,0.66,2.3,5.5,0.413,0.41
Nenad Krstic,C,75,57,26.2,10.0,2.1,3.2,5.3,1.0,0.43,0.84,1.5,3.7,3.7,7.6,0.493,0.0,0.0,0.0,2.5,3.4,0.73,3.7,7.6,0.495,0.49
Travis Best,PG,76,6,19.2,6.8,0.3,1.2,1.4,1.9000000000000001,0.8700000000000001,0.12,0.9,1.9000000000000001,2.5,5.9,0.42,0.3,1.1,0.306,1.4,1.6,0.89,2.2,4.8,0.447,0.45
Billy Thomas,SG,25,0,14.2,3.7,0.3,1.2,1.4,0.7,0.56,0.04,0.4,1.2,1.4,3.8,0.36200000000000004,0.7,2.2,0.304,0.3,0.4,0.78,0.7,1.6,0.447,0.45
Stephon Marbury,PG,82,82,40.0,21.7,0.6,2.4,3.0,8.1,1.49,0.07,2.8,2.3,7.400000000000001,16.0,0.462,1.4,4.0,0.354,5.6,6.699999999999999,0.8300000000000001,6.0,12.0,0.49700000000000005,0.51
Jermaine Jackson,PG,21,0,11.0,2.0,0.1,1.0,1.1,1.1,0.33,0.05,0.5,1.2,0.8,1.6,0.515,0.0,0.1,0.0,0.4,0.6,0.62,0.8,1.5,0.5479999999999999,0.52
