TEAM,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
bos,Wally Szczerbiak, SG†,32,31,36.7,17.5,1.3,2.6,3.8,3.2,0.59,0.13,1.6,1.9,2.0,17.7,6.3,13.2,.476,1.4,3.5,.393,3.6,4.0,0.90,4.9,9.7,.506,1.329,0.53
bos,Orien Greene, PG,80,5,15.4,3.2,0.5,1.4,1.8,1.6,0.96,0.13,1.4,2.3,1.2,6.4,1.3,3.2,.395,0.1,0.5,.225,0.6,0.9,0.66,1.2,2.7,.427,1.004,0.41
bos,Ricky Davis, SG†,42,42,41.6,19.7,1.0,3.5,4.5,5.3,1.17,0.21,2.7,2.2,1.9,15.6,7.8,16.9,.464,1.0,3.0,.320,3.1,3.9,0.79,6.8,13.9,.495,1.166,0.49
bos,Raef LaFrentz, C,82,63,24.8,7.8,1.0,4.0,5.0,1.4,0.35,0.88,0.8,3.3,1.8,12.0,2.9,6.7,.431,1.4,3.5,.392,0.6,0.9,0.68,1.5,3.2,.474,1.158,0.53
bos,Kendrick Perkins, C,68,40,19.6,5.2,2.1,3.9,5.9,1.0,0.31,1.54,1.6,2.9,0.6,13.2,2.0,3.9,.515,0.0,0.0,.000,1.2,1.9,0.62,2.0,3.9,.519,1.331,0.52
bos,Dan Dickau, PG,19,0,12.3,3.3,0.3,0.6,0.8,2.1,0.58,0.05,0.9,2.1,2.2,10.3,0.9,2.4,.370,0.5,1.1,.500,0.9,0.9,1.00,0.4,1.3,.269,1.348,0.48
bos,Tony Allen, SG,51,9,19.2,7.2,0.6,1.5,2.2,1.3,1.00,0.35,1.3,2.5,1.0,12.9,2.5,5.4,.471,0.2,0.7,.324,2.0,2.6,0.75,2.3,4.7,.492,1.347,0.49
bos,Brian Scalabrine, PF,71,1,13.2,2.9,0.4,1.2,1.6,0.7,0.30,0.27,0.7,1.8,1.0,5.9,1.0,2.7,.383,0.4,1.2,.356,0.4,0.5,0.72,0.6,1.5,.406,1.062,0.46
bos,Paul Pierce, SF,79,79,39.0,26.8,1.0,5.7,6.7,4.7,1.35,0.43,3.5,2.8,1.4,23.7,8.7,18.5,.471,1.4,4.0,.354,7.9,10.3,0.77,7.3,14.5,.503,1.447,0.51
bos,Delonte West, SG,71,71,34.1,11.8,0.8,3.3,4.1,4.6,1.18,0.65,1.9,2.8,2.5,15.1,4.7,9.6,.487,1.2,3.1,.385,1.2,1.4,0.85,3.5,6.5,.534,1.222,0.55
bos,Ryan Gomes, SF,61,33,22.6,7.6,1.7,3.2,4.9,1.0,0.57,0.08,0.9,1.4,1.1,14.1,2.8,5.8,.487,0.0,0.1,.333,1.8,2.4,0.75,2.8,5.7,.491,1.299,0.49
bos,Mark Blount, C†,39,25,27.8,12.4,0.9,3.2,4.2,1.7,0.38,0.92,3.1,2.7,0.6,12.1,5.0,9.7,.511,0.0,0.0,.000,2.5,3.3,0.76,5.0,9.7,.511,1.276,0.51
bos,Gerald Green, SG,32,3,11.7,5.2,0.3,1.0,1.3,0.6,0.41,0.13,0.7,1.3,0.8,13.0,2.1,4.3,.478,0.2,0.6,.300,0.9,1.2,0.78,1.9,3.7,.508,1.210,0.50
bos,Justin Reed, SF†,32,0,9.1,2.3,0.4,0.5,0.9,0.2,0.16,0.13,0.5,1.4,0.5,7.9,0.8,2.3,.338,0.0,0.0,.000,0.8,1.3,0.63,0.8,2.3,.338,1.014,0.34
bos,Al Jefferson, C,59,7,18.0,7.9,1.6,3.4,5.1,0.5,0.51,0.78,1.1,2.8,0.5,16.2,3.2,6.4,.499,0.0,0.1,.000,1.5,2.3,0.64,3.2,6.3,.504,1.224,0.50
bos,Michael Olowokandi, C†,16,0,10.4,2.8,0.3,2.3,2.6,0.4,0.19,0.38,0.9,1.4,0.4,8.3,1.3,2.8,.444,0.0,0.0,.000,0.3,0.5,0.63,1.3,2.8,.444,1.000,0.44
bos,Marcus Banks, PG†,18,1,14.9,5.5,0.2,0.8,1.1,1.8,0.39,0.00,1.3,2.1,1.4,13.7,1.8,4.4,.413,0.3,1.1,.316,1.5,1.7,0.90,1.5,3.3,.443,1.238,0.45
bos,Dwayne Jones II, PF†,14,0,6.2,1.0,0.7,1.5,2.2,0.1,0.07,0.21,0.2,1.0,0.7,8.9,0.3,0.7,.400,0.0,0.0,.000,0.4,0.9,0.46,0.3,0.7,.400,1.400,0.40
bkn,Jacque Vaughn, PG,80,6,15.4,3.4,0.2,0.9,1.1,1.5,0.53,0.01,0.7,1.8,2.4,7.6,1.3,3.1,.437,0.0,0.1,.167,0.7,1.0,0.73,1.3,3.0,.444,1.118,0.44
bkn,Jeff McInnis, PG,28,1,17.4,5.3,0.4,1.4,1.8,1.9,0.39,0.07,1.0,1.3,1.8,9.2,2.3,5.1,.441,0.1,0.6,.188,0.7,1.0,0.69,2.2,4.5,.472,1.042,0.45
bkn,Linton Johnson, PF†,9,0,3.9,1.2,0.0,0.8,0.8,0.2,0.22,0.00,0.4,0.8,0.5,10.1,0.6,1.1,.500,0.0,0.0,.000,0.1,0.4,0.25,0.6,1.1,.500,1.100,0.50
bkn,Richard Jefferson, SF,78,78,39.2,19.5,1.2,5.6,6.8,3.8,0.76,0.22,2.2,2.5,1.7,19.0,6.3,12.9,.493,0.8,2.4,.319,6.0,7.4,0.81,5.5,10.5,.532,1.513,0.52
bkn,Vince Carter, SG,79,79,36.8,24.2,1.7,4.1,5.8,4.3,1.19,0.67,2.7,3.0,1.6,21.7,8.3,19.2,.430,1.6,4.6,.341,6.1,7.6,0.80,6.7,14.6,.459,1.259,0.47
bkn,Bostjan Nachbar, SF†,11,0,8.8,2.8,0.4,0.6,1.0,0.5,0.27,0.00,0.4,1.2,1.3,7.2,1.1,2.9,.375,0.2,1.3,.143,0.5,0.7,0.63,0.9,1.6,.556,.969,0.41
bkn,Clifford Robinson, PF,80,13,23.3,6.9,0.7,2.7,3.3,1.1,0.55,0.50,0.8,2.6,1.4,9.6,2.7,6.4,.427,0.8,2.2,.343,0.7,1.0,0.66,1.9,4.2,.470,1.072,0.49
bkn,Jason Collins, C,71,70,26.7,3.6,1.3,3.5,4.8,1.0,0.65,0.56,0.9,3.5,1.1,5.5,1.5,3.7,.397,0.0,0.2,.250,0.6,1.2,0.51,1.5,3.5,.404,.973,0.40
bkn,Marc Jackson, PF†,37,0,11.7,4.6,0.8,1.6,2.4,0.6,0.14,0.16,0.8,1.9,0.8,12.6,1.8,4.0,.446,0.0,0.0,.000,1.0,1.3,0.79,1.8,4.0,.446,1.149,0.45
bkn,Zoran Planinic, PG,56,1,10.6,3.4,0.3,1.1,1.3,0.9,0.36,0.07,0.8,1.6,1.2,6.9,1.2,3.3,.361,0.2,1.0,.232,0.8,1.2,0.70,1.0,2.3,.417,1.044,0.40
bkn,Jason Kidd, PG,80,80,37.2,13.3,1.1,6.2,7.3,8.4,1.88,0.36,2.4,2.0,3.5,19.2,4.6,11.3,.404,1.7,4.9,.352,2.4,3.1,0.80,2.9,6.4,.445,1.177,0.48
bkn,Derrick Zimmerman, SG,2,0,16.0,2.0,0.5,1.5,2.0,3.5,0.00,0.00,2.0,2.0,1.8,5.5,1.0,1.5,.667,0.0,0.0,.000,0.0,0.0,0.00,1.0,1.5,.667,1.333,0.67
bkn,Nenad Krstic, C,80,80,30.9,13.5,2.3,4.1,6.4,1.1,0.40,0.79,1.7,3.7,0.7,14.5,5.6,11.0,.507,0.0,0.1,.250,2.3,3.3,0.70,5.6,10.9,.509,1.226,0.51
bkn,Lamond Murray, SF,57,1,10.1,3.4,0.5,1.8,2.3,0.2,0.30,0.12,0.4,1.2,0.6,10.8,1.3,3.2,.398,0.5,1.4,.346,0.4,0.7,0.63,0.8,1.8,.437,1.083,0.47
bkn,Antoine Wright, SF,39,0,9.5,1.8,0.2,0.6,0.8,0.3,0.10,0.08,0.5,1.1,0.6,0.7,0.7,2.1,.358,0.0,0.4,.067,0.3,0.6,0.50,0.7,1.7,.424,.864,0.36
bkn,John Thomas, C†,2,0,18.0,1.0,3.5,1.5,5.0,0.0,0.50,0.50,1.0,2.0,0.0,3.3,0.5,3.0,.167,0.0,0.0,.000,0.0,0.0,0.00,0.5,3.0,.167,.333,0.17
bkn,Scott Padgett, PF,62,1,11.6,3.4,0.9,1.8,2.7,0.7,0.45,0.19,0.3,1.5,2.0,12.5,1.1,3.2,.353,0.7,2.0,.347,0.4,0.5,0.79,0.4,1.2,.363,1.050,0.46
ny,Stephon Marbury, PG,60,60,36.6,16.3,0.4,2.5,2.9,6.4,1.05,0.07,2.6,2.4,2.4,16.5,5.8,12.9,.451,0.6,1.7,.317,4.1,5.4,0.75,5.2,11.2,.472,1.262,0.47
ny,Malik Rose, PF,72,35,15.5,4.4,1.2,2.4,3.6,0.9,0.60,0.19,1.1,2.0,0.8,10.3,1.5,3.9,.374,0.0,0.0,1.000,1.5,1.9,0.78,1.5,3.9,.371,1.132,0.38
ny,Qyntel Woods, SF,49,16,20.7,6.7,0.9,3.0,3.9,1.0,0.65,0.27,1.2,2.0,0.8,12.4,2.6,5.2,.508,0.4,1.2,.367,1.0,1.6,0.64,2.2,4.0,.552,1.295,0.55
ny,Channing Frye, PF,65,14,24.2,12.3,2.1,3.6,5.8,0.8,0.46,0.72,1.5,3.1,0.5,18.1,4.7,9.8,.477,0.0,0.1,.333,2.9,3.5,0.83,4.7,9.7,.479,1.253,0.48
ny,Steve Francis, PG†,24,15,27.5,10.8,0.6,2.4,3.0,3.5,0.96,0.25,2.4,2.6,1.4,15.3,3.5,7.9,.442,0.3,0.5,.538,3.5,4.5,0.76,3.2,7.4,.435,1.358,0.46
ny,Jackie Butler, C,55,0,13.5,5.3,1.2,2.1,3.3,0.5,0.31,0.56,1.1,2.3,0.4,14.8,2.1,3.9,.544,0.0,0.0,.000,1.1,1.4,0.75,2.1,3.9,.544,1.358,0.54
ny,Trevor Ariza, SF†,36,10,19.7,4.6,1.4,2.4,3.8,1.3,1.19,0.25,1.3,2.2,1.0,11.8,1.7,4.1,.418,0.0,0.1,.333,1.2,2.1,0.55,1.7,4.0,.420,1.130,0.42
ny,Jerome James, C,45,9,9.0,3.0,0.9,1.2,2.0,0.3,0.07,0.51,1.1,2.3,0.2,6.4,1.2,2.7,.463,0.0,0.0,.000,0.6,0.9,0.63,1.2,2.7,.463,1.132,0.46
ny,Quentin Richardson, SF,55,43,26.2,8.2,1.2,3.0,4.2,1.6,0.71,0.11,1.0,2.4,1.6,9.6,3.0,8.3,.355,1.2,3.4,.340,1.1,1.7,0.67,1.8,4.9,.365,.983,0.42
ny,David Lee, PF,67,14,16.9,5.1,1.6,2.9,4.5,0.6,0.45,0.30,0.8,1.9,0.8,15.4,2.0,3.4,.596,0.0,0.0,.000,1.1,1.8,0.58,2.0,3.4,.596,1.500,0.60
ny,Penny Hardaway, SF†,4,0,18.0,2.5,0.0,2.5,2.5,2.0,0.50,0.00,1.5,1.8,1.3,2.1,1.0,3.5,.286,0.0,0.3,.000,0.5,0.5,1.00,1.0,3.2,.308,.714,0.29
ny,Matt Barnes, SF†,6,5,15.5,4.3,1.2,2.8,4.0,1.0,0.67,0.00,1.0,1.3,1.0,10.7,1.8,5.0,.367,0.2,0.7,.250,0.5,0.7,0.75,1.6,4.3,.385,.867,0.38
ny,Maurice Taylor, PF,67,13,18.1,6.3,1.0,2.4,3.4,0.8,0.31,0.21,1.5,2.6,0.5,8.6,2.7,5.8,.468,0.0,0.0,.000,0.9,1.2,0.70,2.7,5.8,.469,1.085,0.47
ny,Ime Udoka, SG,8,0,14.3,2.8,0.4,1.8,2.1,0.8,0.13,0.00,0.3,1.0,3.0,6.1,1.1,3.0,.375,0.1,0.4,.333,0.4,0.8,0.50,1.0,2.6,.381,.917,0.40
ny,Antonio Davis, PF†,36,31,20.8,5.0,2.1,2.7,4.8,0.4,0.56,0.25,1.2,2.8,0.3,8.3,1.9,4.4,.428,0.0,0.0,.000,1.3,1.7,0.74,1.9,4.4,.430,1.138,0.43
ny,Eddy Curry, C,72,69,25.9,13.6,2.0,4.0,6.0,0.3,0.39,0.78,2.5,3.3,0.1,17.1,4.7,8.3,.563,0.0,0.0,.000,4.3,6.8,0.63,4.7,8.3,.563,1.640,0.56
ny,Nate Robinson, PG,72,26,21.4,9.3,0.8,1.5,2.3,2.0,0.82,0.01,1.6,2.8,1.3,12.7,3.2,7.8,.407,0.8,2.0,.397,2.1,2.8,0.75,2.4,5.8,.411,1.186,0.46
ny,Jamal Crawford, SG,79,27,32.3,14.3,0.5,2.7,3.1,3.8,1.10,0.19,2.2,1.9,1.7,15.5,4.6,11.1,.416,1.3,3.7,.345,3.7,4.5,0.83,3.3,7.4,.452,1.283,0.47
ny,Jalen Rose, SG†,26,23,28.7,12.7,0.5,2.7,3.2,2.6,0.38,0.12,1.9,2.1,1.4,14.0,4.2,9.2,.460,1.1,2.2,.491,3.2,3.9,0.81,3.1,7.0,.451,1.381,0.52
phi,Steven Hunter, C†,69,35,19.0,6.1,1.6,2.3,3.9,0.2,0.17,1.10,0.9,1.7,0.3,13.9,2.5,4.2,.601,0.0,0.0,.000,1.0,2.0,0.51,2.5,4.2,.601,1.447,0.60
phi,Chris Webber, C,75,75,38.6,20.2,2.5,7.4,9.9,3.4,1.37,0.83,2.4,2.9,1.4,18.5,8.2,19.0,.434,0.3,1.0,.273,3.5,4.6,0.76,7.9,18.0,.443,1.068,0.44
phi,Deng Gai, PF,2,0,2.5,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,.000,0.0,0.0,.000,0.0,0.0,0.00,0.0,0.0,.000,.000,0.00
phi,Michael Bradley, PF,46,1,8.0,1.5,0.9,1.5,2.3,0.4,0.11,0.15,0.4,0.8,0.9,8.4,0.7,1.7,.405,0.0,0.1,.200,0.0,0.1,0.67,0.7,1.6,.419,.848,0.41
phi,Samuel Dalembert, C,66,52,26.7,7.3,2.4,5.8,8.2,0.4,0.52,2.42,1.6,3.7,0.2,14.2,3.0,5.6,.531,0.0,0.0,.000,1.4,2.0,0.70,3.0,5.6,.533,1.314,0.53
