PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,AFG%
Brian Scalabrine,PF,54,17,19.0,4.0,0.4,1.5,1.9,1.1,0.43,0.33,0.8,2.4,1.4,3.5,0.40299999999999997,0.8,2.0,0.4,0.3,0.4,0.7800000000000001,0.6,1.5,0.40700000000000003,0.52
Al Jefferson,C,69,60,33.6,16.0,3.4,7.5,11.0,1.3,0.7,1.54,2.0,3.4,6.6,12.8,0.514,0.0,0.0,0.0,2.9,4.3,0.68,6.6,12.8,0.514,0.51
Theo Ratliff,C,2,2,22.0,2.5,1.0,2.5,3.5,0.0,0.5,1.5,0.5,3.0,0.5,1.5,0.33299999999999996,0.0,0.0,0.0,1.5,2.0,0.75,0.5,1.5,0.33299999999999996,0.33
Sebastian Telfair,PG,78,30,20.2,6.1,0.2,1.2,1.4,2.8,0.55,0.14,1.3,2.1,2.3,6.1,0.371,0.5,1.6,0.289,1.2,1.4,0.82,1.8,4.5,0.402,0.41
Kendrick Perkins,C,72,53,21.9,4.5,1.6,3.5999999999999996,5.2,1.3,0.32,1.33,1.6,3.0,1.7999999999999998,3.7000000000000006,0.49099999999999994,0.0,0.0,0.0,0.8,1.4,0.6,1.7999999999999998,3.7000000000000006,0.49600000000000005,0.49
Tony Allen,SG,33,18,24.4,11.5,1.1,2.7,3.8,1.7,1.48,0.36,2.3,2.6,4.0,7.799999999999999,0.514,0.2,1.0,0.242,3.2,4.1,0.78,3.8,6.8,0.5529999999999999,0.53
Paul Pierce,SF,47,46,37.0,25.0,0.8,5.1,5.9,4.1,1.02,0.28,3.2,2.6,7.9,18.1,0.439,2.3,5.9,0.389,6.799999999999999,8.6,0.8,5.6,12.2,0.46299999999999997,0.5
Delonte West,SG,69,47,32.2,12.2,0.5,2.6,3.0,4.4,1.07,0.49000000000000005,2.0,2.2,4.4,10.4,0.42700000000000005,0.9,2.6,0.365,2.4,2.9,0.85,3.5,7.799999999999999,0.447,0.47
Rajon Rondo,PG,78,25,23.5,6.4,0.9,2.8,3.7,3.8,1.64,0.1,1.8,2.3,2.4,5.8,0.418,0.1,0.4,0.20700000000000002,1.5,2.4,0.65,2.3,5.4,0.43200000000000005,0.42
Wally Szczerbiak,SG,32,19,28.1,15.0,0.5,2.6,3.1,1.7,0.56,0.09,1.7,2.0,5.0,12.1,0.415,1.4,3.3,0.415,3.5,3.9,0.9,3.6,8.8,0.415,0.47
Gerald Green,SG,81,26,22.0,10.4,0.7999999999999999,1.7,2.6,1.0,0.51,0.3,1.5,2.4,3.8000000000000003,9.1,0.419,1.2,3.1999999999999997,0.368,1.5999999999999999,2.0,0.8099999999999999,2.6,5.9,0.447,0.4799999999999999
Leon Powe,PF,63,2,11.4,4.2,1.5,1.9,3.4,0.2,0.22,0.35,0.7,1.7,1.3,2.8,0.446,0.0,0.0,0.0,1.7,2.3,0.74,1.3,2.8,0.451,0.45
Kevinn Pinkney,PF,6,0,16.7,5.2,1.2,1.3,2.5,0.8000000000000002,0.5,0.5,0.6999999999999998,2.0,2.0,4.5,0.444,0.20000000000000004,0.3,0.5,1.0,1.5,0.67,1.8,4.2,0.44,0.46
Ryan Gomes,SF,73,60,31.2,12.1,1.7,3.9,5.6,1.6,0.66,0.18,1.4,2.3,4.6,9.9,0.468,0.2,0.6,0.381,2.6,3.2,0.81,4.4,9.3,0.473,0.48
Michael Olowokandi,C,24,0,9.8,1.7,0.6,1.3999999999999997,2.0,0.20000000000000004,0.33,0.54,0.6999999999999998,2.0,0.8000000000000002,1.8999999999999997,0.413,0.0,0.0,0.0,0.10000000000000002,0.10000000000000002,0.67,0.8000000000000002,1.8999999999999997,0.413,0.41
Allan Ray,G,47,5,15.099999999999998,6.200000000000001,0.4,1.1,1.5,0.9000000000000001,0.43,0.06,0.9000000000000001,1.8000000000000003,2.1,5.5,0.386,1.0,2.5,0.414,0.9000000000000001,1.2,0.76,1.1,3.0,0.364,0.48
Richard Jefferson,SF,55,53,35.6,16.3,0.9,3.5,4.4,2.7,0.62,0.15,2.2,2.2,5.5,12.1,0.456,0.9,2.6,0.35899999999999993,4.3,5.9,0.73,4.6,9.5,0.483,0.49
Mikki Moore,C,79,55,26.4,9.8,1.8000000000000003,3.3,5.1,0.9000000000000001,0.58,0.76,1.4,3.3,3.8999999999999995,6.4,0.609,0.0,0.0,0.0,2.0,3.0,0.68,3.8999999999999995,6.4,0.61,0.61
Josh Boone,PF,61,0,11.0,4.2,1.0,1.8,2.9,0.2,0.18,0.34,0.5,1.5,1.6,2.8,0.579,0.0,0.0,0.0,0.9,1.7,0.54,1.6,2.8,0.579,0.58
