TEAM,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
bos,Bruce Bowen, SF,61,9,21.4,5.6,1.3,1.6,2.9,1.3,1.43,0.48,0.9,2.9,1.6,2.0,4.9,.409,0.3,1.0,.339,1.2,2.0,0.62,1.7,3.9,.427,1.141,0.44
bos,Andrew DeClercq, C,81,49,18.8,5.4,2.2,2.6,4.8,0.7,1.05,0.60,1.0,3.4,0.7,2.1,4.2,.497,0.0,0.0,.000,1.2,2.1,0.60,2.1,4.2,.499,1.291,0.50
bos,Roy Rogers, F†,9,0,4.1,0.8,0.0,0.6,0.6,0.1,0.22,0.44,0.1,0.7,1.0,0.3,0.9,.375,0.0,0.0,.000,0.1,0.2,0.50,0.3,0.9,.375,.875,0.38
bos,Zan Tabak, C†,18,5,12.9,3.3,1.4,1.8,3.2,0.7,0.28,0.61,0.9,2.6,0.7,1.4,3.1,.473,0.0,0.0,.000,0.4,0.7,0.54,1.4,3.1,.473,1.073,0.47
bos,Greg Minor, G,69,16,16.3,5.0,0.8,1.4,2.2,1.3,0.77,0.16,0.6,1.4,2.0,2.0,4.7,.436,0.1,0.4,.194,0.9,1.2,0.69,1.9,4.3,.462,1.075,0.45
bos,Dontae' Jones, F,15,0,6.1,2.9,0.2,0.4,0.6,0.3,0.13,0.20,0.7,0.8,0.5,1.3,3.8,.333,0.4,1.5,.261,0.0,0.0,0.00,0.9,2.3,.382,.772,0.39
bos,Ron Mercer, SG,80,62,33.3,15.3,1.4,2.1,3.5,2.2,1.56,0.21,1.7,2.7,1.3,6.4,14.3,.450,0.0,0.4,.107,2.4,2.8,0.84,6.4,13.9,.458,1.066,0.45
bos,Dee Brown, G†,41,10,19.8,6.8,0.2,1.3,1.5,1.3,1.07,0.15,0.8,1.9,1.7,2.7,6.2,.427,1.0,2.8,.381,0.5,0.7,0.68,1.7,3.4,.465,1.098,0.51
bos,Travis Knight, C,74,21,20.3,6.5,2.0,3.0,4.9,1.4,0.73,1.11,1.2,3.4,1.2,2.6,5.9,.441,0.2,0.7,.273,1.1,1.4,0.79,2.4,5.2,.465,1.100,0.46
bos,Chauncey Billups, PG†,51,44,25.4,11.1,0.8,1.4,2.2,4.3,1.51,0.04,2.3,2.3,1.8,3.5,8.9,.390,1.3,3.7,.339,2.9,3.5,0.82,2.2,5.2,.426,1.244,0.46
