TEAM,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
bos,Bruce Bowen, SF,30,1,16.5,2.3,0.5,1.2,1.7,0.9,0.70,0.30,0.4,1.7,2.2,0.9,3.1,.280,0.2,0.9,.269,0.4,0.8,0.46,0.7,2.2,.284,.753,0.32
bos,Greg Minor, G,44,7,17.4,4.9,0.7,2.0,2.7,1.1,0.45,0.14,0.9,1.6,1.3,1.9,4.6,.417,0.2,0.6,.286,0.8,1.1,0.75,1.7,4.0,.438,1.049,0.44
bos,Walter McCarty, PF,32,4,20.6,5.7,1.1,2.5,3.6,1.3,0.75,0.41,1.3,2.8,1.0,2.0,5.5,.362,0.4,1.6,.260,1.3,1.8,0.70,1.6,3.9,.402,1.023,0.40
bos,Dwayne Schintzius, C,16,0,4.2,0.7,0.4,0.8,1.2,0.5,0.00,0.19,0.6,1.1,0.8,0.3,1.0,.250,0.0,0.0,.000,0.2,0.3,0.75,0.3,1.0,.250,.688,0.25
bos,Kenny Anderson, PG,34,33,29.7,12.1,0.7,2.3,3.0,5.7,0.97,0.06,2.1,2.3,2.7,4.7,10.5,.451,0.2,0.7,.250,2.5,3.0,0.83,4.5,9.8,.465,1.154,0.46
bos,Andrew DeClercq, C†,14,1,18.4,5.4,2.4,2.1,4.5,0.7,0.93,0.64,1.6,3.6,0.5,2.0,4.1,.491,0.0,0.0,.000,1.4,2.1,0.66,2.0,4.1,.491,1.316,0.49
bos,Eric Riley, C,35,11,9.6,2.2,1.0,1.8,2.8,0.4,0.26,0.74,0.7,2.1,0.5,0.8,1.5,.519,0.0,0.0,.000,0.6,0.9,0.71,0.8,1.5,.519,1.444,0.52
bos,Ron Mercer, SG,41,40,37.8,17.0,0.9,2.9,3.8,2.5,1.63,0.29,2.2,2.0,1.2,7.4,17.2,.431,0.1,0.7,.167,2.0,2.6,0.79,7.3,16.5,.443,.987,0.43
bos,Paul Pierce, SF,48,47,34.0,16.5,2.4,4.0,6.4,2.4,1.71,1.04,2.4,2.9,1.0,5.9,13.5,.439,1.8,4.3,.412,2.9,4.1,0.71,4.1,9.2,.451,1.223,0.50
bos,Popeye Jones, PF,18,2,11.4,3.0,1.6,1.3,2.9,0.8,0.28,0.00,0.4,1.7,2.1,1.1,2.8,.392,0.0,0.1,.000,0.8,0.9,0.82,1.1,2.7,.400,1.059,0.39
bos,Dana Barros, PG,50,16,23.1,9.3,0.3,1.8,2.1,4.2,1.04,0.10,1.8,1.3,2.4,3.4,7.4,.453,1.3,3.2,.400,1.3,1.5,0.88,2.1,4.2,.493,1.251,0.54
bos,Tony Battie, C,50,15,22.4,6.7,1.9,4.1,6.0,1.1,0.58,1.42,0.9,3.2,1.2,2.9,5.7,.519,0.0,0.1,.000,0.8,1.2,0.67,2.9,5.6,.525,1.184,0.52
bos,Vitaly Potapenko, C†,33,32,28.1,10.8,2.8,4.5,7.2,1.8,0.73,0.61,2.2,3.5,0.8,4.5,8.7,.521,0.0,0.0,.000,1.8,3.2,0.55,4.5,8.7,.521,1.245,0.52
bos,Marlon Garnett, G,24,0,8.5,2.1,0.1,0.8,0.9,0.8,0.21,0.04,0.5,0.8,1.5,0.6,2.1,.294,0.3,1.0,.261,0.6,0.8,0.75,0.3,1.1,.321,1.000,0.35
bos,Antoine Walker, PF,42,41,36.9,18.7,2.5,6.0,8.5,3.1,1.50,0.67,2.8,3.4,1.1,7.2,17.5,.412,1.5,4.2,.369,2.7,4.8,0.56,5.7,13.3,.426,1.067,0.46
