TEAM,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
bos,Brian Scalabrine, PF,54,17,19.0,4.0,0.4,1.5,1.9,1.1,0.43,0.33,0.8,2.4,1.3,6.6,1.4,3.5,.403,0.8,2.0,.400,0.3,0.4,0.78,0.6,1.5,.407,1.131,0.52
bos,Al Jefferson, C,69,60,33.6,16.0,3.4,7.5,11.0,1.3,0.70,1.54,2.0,3.4,0.6,19.9,6.6,12.8,.514,0.0,0.0,.000,2.9,4.3,0.68,6.6,12.8,.514,1.255,0.51
bos,Theo Ratliff, C,2,2,22.0,2.5,1.0,2.5,3.5,0.0,0.50,1.50,0.5,3.0,0.0,6.9,0.5,1.5,.333,0.0,0.0,.000,1.5,2.0,0.75,0.5,1.5,.333,1.667,0.33
bos,Sebastian Telfair, PG,78,30,20.2,6.1,0.2,1.2,1.4,2.8,0.55,0.14,1.3,2.1,2.2,8.6,2.3,6.1,.371,0.5,1.6,.289,1.2,1.4,0.82,1.8,4.5,.402,1.011,0.41
bos,Kendrick Perkins, C,72,53,21.9,4.5,1.6,3.6,5.2,1.3,0.32,1.33,1.6,3.0,0.8,9.5,1.8,3.7,.491,0.0,0.0,.000,0.8,1.4,0.60,1.8,3.7,.496,1.204,0.49
bos,Tony Allen, SG,33,18,24.4,11.5,1.1,2.7,3.8,1.7,1.48,0.36,2.3,2.6,0.7,17.1,4.0,7.8,.514,0.2,1.0,.242,3.2,4.1,0.78,3.8,6.8,.553,1.463,0.53
bos,Paul Pierce, SF,47,46,37.0,25.0,0.8,5.1,5.9,4.1,1.02,0.28,3.2,2.6,1.3,21.7,7.9,18.1,.439,2.3,5.9,.389,6.8,8.6,0.80,5.6,12.2,.463,1.380,0.50
bos,Delonte West, SG,69,47,32.2,12.2,0.5,2.6,3.0,4.4,1.07,0.49,2.0,2.2,2.2,14.1,4.4,10.4,.427,0.9,2.6,.365,2.4,2.9,0.85,3.5,7.8,.447,1.179,0.47
bos,Rajon Rondo, PG,78,25,23.5,6.4,0.9,2.8,3.7,3.8,1.64,0.10,1.8,2.3,2.2,13.2,2.4,5.8,.418,0.1,0.4,.207,1.5,2.4,0.65,2.3,5.4,.432,1.113,0.42
bos,Wally Szczerbiak, SG,32,19,28.1,15.0,0.5,2.6,3.1,1.7,0.56,0.09,1.7,2.0,1.0,14.9,5.0,12.1,.415,1.4,3.3,.415,3.5,3.9,0.90,3.6,8.8,.415,1.235,0.47
