TEAM,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
bos,Bill Walker, SF†,8,0,3.6,1.0,0.0,0.6,0.6,0.4,0.00,0.00,0.3,0.5,1.5,7.6,0.4,0.8,.500,0.0,0.0,.000,0.3,0.3,1.00,0.4,0.8,.500,1.333,0.50
bos,Shelden Williams, C,54,0,11.1,3.7,0.9,1.8,2.7,0.4,0.24,0.39,0.6,1.6,0.7,14.1,1.2,2.2,.521,0.0,0.0,.000,1.4,1.8,0.77,1.2,2.2,.525,1.661,0.52
bos,Brian Scalabrine, PF,52,3,9.1,1.5,0.2,0.8,0.9,0.5,0.17,0.08,0.3,1.1,1.6,3.6,0.6,1.6,.341,0.3,0.9,.327,0.1,0.1,0.67,0.3,0.7,.361,.918,0.44
bos,Michael Finley, SG†,21,1,15.0,5.2,0.0,1.5,1.6,1.1,0.19,0.10,0.4,1.0,3.0,12.1,2.1,4.1,.506,0.9,2.0,.463,0.1,0.3,0.33,1.2,2.1,.543,1.253,0.61
bos,Marcus Landry, SF†,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,-26.8,0.0,2.0,.000,0.0,2.0,.000,0.0,0.0,0.00,0.0,0.0,.000,.000,0.00
bos,Eddie House, SG†,50,0,16.9,7.2,0.1,1.2,1.4,1.0,0.56,0.14,0.5,1.2,1.8,12.0,2.6,6.4,.401,1.3,3.3,.383,0.7,0.8,0.90,1.3,3.1,.419,1.112,0.50
bos,Kendrick Perkins, C,78,78,27.6,10.1,2.0,5.6,7.6,1.0,0.33,1.69,2.1,2.8,0.5,15.1,4.0,6.7,.602,0.0,0.0,.000,2.1,3.6,0.58,4.0,6.7,.605,1.515,0.60
bos,J.R. Giddens, SG†,21,1,4.7,1.1,0.2,0.8,1.0,0.3,0.19,0.05,0.3,0.5,0.9,7.4,0.4,1.0,.429,0.0,0.1,.000,0.3,0.6,0.50,0.4,0.9,.474,1.143,0.43
bos,Tony Allen, SG,54,8,16.5,6.1,1.0,1.7,2.7,1.3,1.09,0.35,1.2,2.0,1.1,14.2,2.4,4.7,.510,0.0,0.1,.000,1.3,2.2,0.61,2.4,4.6,.520,1.304,0.51
bos,Kevin Garnett, PF,69,69,29.9,14.3,1.1,6.2,7.3,2.7,0.99,0.83,1.5,2.5,1.8,19.5,5.8,11.2,.521,0.0,0.1,.200,2.7,3.2,0.84,5.8,11.1,.523,1.282,0.52
bos,Paul Pierce, SF,71,71,34.0,18.3,0.5,3.8,4.4,3.1,1.18,0.44,2.3,2.8,1.3,18.2,5.8,12.2,.472,1.5,3.7,.414,5.2,6.1,0.85,4.3,8.5,.497,1.495,0.53
bos,Ray Allen, SG,80,80,35.2,16.3,0.6,2.6,3.2,2.6,0.80,0.31,1.6,2.3,1.6,15.2,5.8,12.2,.477,1.8,5.0,.363,2.9,3.2,0.91,4.0,7.2,.556,1.340,0.55
