TEAM,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
mil,Joe Smith, PF,76,76,29.7,10.9,3.0,5.4,8.5,1.0,0.62,1.24,1.1,2.8,1.0,16.6,4.1,9.3,.439,0.0,0.1,.200,2.7,3.2,0.86,4.1,9.2,.441,1.172,0.44
mil,Desmond Mason, SF,82,31,30.9,14.4,1.1,3.2,4.4,1.9,0.73,0.29,1.8,2.3,1.0,15.7,5.0,10.6,.472,0.1,0.5,.231,4.3,5.6,0.77,4.9,10.1,.483,1.364,0.48
mil,Michael Redd, SG,82,82,36.8,21.7,1.4,3.5,5.0,2.3,0.99,0.07,1.4,1.9,1.6,19.9,7.7,17.5,.440,1.5,4.4,.350,4.7,5.4,0.87,6.2,13.1,.470,1.234,0.48
mil,Erick Strickland, PG,43,0,13.3,5.4,0.3,1.3,1.7,2.1,0.60,0.05,1.3,1.5,1.7,14.0,1.8,4.6,.403,0.7,1.5,.439,1.0,1.2,0.86,1.1,3.1,.385,1.179,0.48
mil,Brevin Knight, PG†,21,1,20.0,5.9,0.1,2.1,2.3,4.7,1.38,0.00,1.2,2.7,3.9,13.7,2.2,5.0,.438,0.0,0.1,.333,1.4,1.8,0.79,2.2,4.9,.441,1.171,0.44
mil,Dan Gadzuric, C,75,0,16.8,5.7,1.7,2.9,4.6,0.4,0.68,1.40,0.6,2.5,0.6,17.1,2.4,4.7,.524,0.0,0.0,.000,0.8,1.6,0.49,2.4,4.7,.526,1.215,0.52
mil,Brian Skinner, PF,56,54,28.2,10.5,2.1,5.2,7.3,0.9,0.54,1.09,1.4,2.9,0.6,14.4,4.6,9.2,.497,0.0,0.0,.000,1.4,2.5,0.57,4.6,9.2,.497,1.148,0.50
mil,Damon Jones, PG,82,26,24.6,7.0,0.2,1.9,2.1,5.8,0.37,0.05,1.3,1.1,4.6,14.2,2.6,6.4,.401,1.2,3.3,.359,0.7,0.9,0.76,1.4,3.1,.446,1.094,0.49
mil,Joel Przybilla, C†,5,0,6.6,0.2,0.2,1.8,2.0,0.6,0.00,0.00,0.4,1.0,1.5,6.8,0.0,0.0,.000,0.0,0.0,.000,0.2,0.4,0.50,0.0,0.0,.000,.000,0.00
mil,Toni Kukoc, SF,73,0,20.8,8.4,0.8,2.9,3.7,2.7,0.81,0.29,1.5,1.5,1.8,16.1,2.9,6.9,.417,0.7,2.3,.292,2.0,2.7,0.73,2.2,4.6,.479,1.217,0.47
mil,Keith Van Horn, PF†,25,15,30.6,15.7,2.0,4.3,6.3,1.5,0.64,0.60,2.0,2.6,0.7,17.8,5.5,11.6,.472,1.3,2.9,.458,3.4,3.6,0.95,4.2,8.7,.477,1.355,0.53
mil,Dan Langhi, PF†,2,0,10.0,3.5,0.0,0.5,0.5,0.0,0.00,0.00,0.0,1.0,0.0,1.8,1.5,4.0,.375,0.5,1.0,.500,0.0,0.0,0.00,1.0,3.0,.333,.875,0.44
dal,Antawn Jamison, PF,82,2,29.0,14.8,2.8,3.5,6.3,0.9,1.01,0.37,1.0,2.1,0.9,21.3,6.0,11.1,.535,0.2,0.5,.400,2.7,3.6,0.75,5.8,10.6,.541,1.327,0.54
dal,Mamadou N'diaye, C†,3,0,2.3,0.0,0.0,0.3,0.3,0.0,0.00,0.33,0.3,0.3,0.0,13.0,0.0,0.3,.000,0.0,0.0,.000,0.0,0.0,0.00,0.0,0.3,.000,.000,0.00
dal,Scott Williams, C†,27,11,9.6,3.0,0.6,1.7,2.2,0.4,0.19,0.33,0.4,1.9,1.1,14.4,1.4,3.1,.435,0.0,0.0,.000,0.3,0.5,0.50,1.4,3.1,.440,.953,0.44
dal,Travis Best, PG,61,1,12.5,2.8,0.3,0.8,1.1,1.8,0.51,0.07,0.5,1.1,3.4,10.1,1.0,2.8,.372,0.0,0.3,.150,0.7,0.8,0.87,1.0,2.5,.401,.994,0.38
dal,Eduardo Najera, PF,58,7,12.4,3.0,1.2,1.5,2.7,0.4,0.60,0.33,0.5,1.6,0.9,11.6,1.2,2.8,.444,0.0,0.1,.500,0.5,0.8,0.65,1.2,2.7,.443,1.086,0.45
dal,Michael Finley, SG,72,72,38.6,18.6,1.1,3.4,4.5,2.9,1.17,0.54,1.2,1.6,2.6,17.8,7.1,16.1,.443,2.1,5.1,.405,2.3,2.7,0.85,5.0,11.0,.461,1.158,0.51
dal,Dirk Nowitzki, PF,77,77,37.9,21.8,1.2,7.5,8.7,2.7,1.19,1.35,1.8,2.8,1.5,22.6,7.9,17.0,.462,1.3,3.8,.341,4.8,5.5,0.88,6.6,13.2,.496,1.282,0.50
dal,Josh Howard, SF,67,29,23.7,8.6,2.2,3.3,5.5,1.4,1.03,0.81,1.0,2.5,1.4,15.8,3.4,7.9,.430,0.3,1.0,.303,1.4,2.1,0.70,3.1,6.9,.448,1.081,0.45
dal,Danny Fortson, C,56,20,11.2,3.9,2.0,2.4,4.5,0.2,0.21,0.20,0.7,2.6,0.2,16.1,1.3,2.5,.511,0.0,0.0,.000,1.3,1.6,0.82,1.3,2.5,.511,1.561,0.51
dal,Shawn Bradley, C,66,5,11.7,3.3,1.1,1.5,2.6,0.3,0.50,1.12,0.3,2.0,1.2,15.8,1.3,2.8,.473,0.0,0.0,.000,0.6,0.7,0.84,1.3,2.8,.476,1.165,0.47
dal,Steve Nash, PG,78,78,33.5,14.5,0.8,2.2,3.0,8.8,0.86,0.10,2.7,1.8,3.3,20.5,5.1,10.8,.470,1.3,3.3,.405,2.9,3.2,0.92,3.8,7.5,.498,1.335,0.53
dal,Marquis Daniels, SG,56,15,18.6,8.5,1.2,1.4,2.6,2.1,0.95,0.21,0.8,0.9,2.6,20.1,3.6,7.3,.494,0.2,0.6,.306,1.1,1.4,0.77,3.4,6.7,.512,1.161,0.51
dal,Tony Delk, PG,33,11,15.4,6.0,0.5,1.3,1.8,0.8,0.82,0.21,0.5,1.4,1.6,13.2,2.1,5.6,.380,0.6,2.0,.303,1.1,1.3,0.84,1.5,3.6,.424,1.071,0.43
dal,Antoine Walker, PF,82,82,34.6,14.0,2.4,5.9,8.3,4.5,0.79,0.79,2.5,2.6,1.8,15.8,5.9,13.8,.428,1.0,3.7,.269,1.3,2.3,0.55,4.9,10.1,.487,1.019,0.46
hou,Adrian Griffin, SG,19,1,7.0,0.6,0.1,0.9,1.0,0.5,0.37,0.11,0.2,0.9,3.3,4.5,0.3,0.9,.278,0.1,0.1,.500,0.0,0.2,0.00,0.2,0.8,.250,.611,0.31
hou,Scott Padgett, PF,58,5,9.4,3.4,0.8,1.6,2.4,0.4,0.21,0.22,0.4,1.3,1.0,15.7,1.3,2.9,.443,0.5,1.1,.431,0.4,0.6,0.75,0.8,1.8,.451,1.198,0.53
hou,Torraye Braggs, PF†,11,0,12.0,3.1,1.4,1.7,3.1,0.5,0.36,0.18,1.1,1.9,0.5,9.5,1.2,2.5,.464,0.0,0.0,.000,0.7,1.1,0.67,1.2,2.5,.464,1.214,0.46
hou,Charles Oakley, PF,7,0,3.6,1.3,0.0,0.7,0.7,0.3,0.00,0.00,0.1,1.1,2.0,8.1,0.3,0.9,.333,0.0,0.0,.000,0.7,0.9,0.83,0.3,0.9,.333,1.500,0.33
hou,Steve Francis, PG,79,79,40.4,16.6,1.5,4.0,5.5,6.2,1.76,0.44,3.7,3.3,1.7,15.8,5.7,14.1,.403,0.9,3.2,.292,4.3,5.5,0.77,4.8,10.9,.435,1.173,0.44
hou,Alton Ford, SF,9,0,4.6,1.7,0.3,0.9,1.2,0.3,0.00,0.11,0.3,1.0,1.0,12.4,0.7,1.2,.545,0.0,0.0,.000,0.3,0.7,0.50,0.7,1.2,.545,1.364,0.55
hou,Bostjan Nachbar, SF,45,3,11.5,3.1,0.2,1.4,1.6,0.7,0.31,0.31,0.5,1.6,1.3,8.3,1.0,2.9,.356,0.5,1.4,.365,0.5,0.6,0.72,0.5,1.5,.348,1.045,0.44
hou,Kelvin Cato, C,69,67,25.3,6.1,2.2,4.6,6.8,1.0,0.75,1.39,1.2,2.9,0.9,13.3,2.3,5.2,.447,0.0,0.0,.000,1.4,2.1,0.68,2.3,5.2,.447,1.161,0.45
hou,Clarence Weatherspoon, PF†,37,0,17.6,5.6,1.6,2.5,4.2,0.5,0.59,0.35,0.7,1.5,0.7,14.7,2.3,4.6,.503,0.0,0.0,.000,0.9,1.4,0.66,2.3,4.6,.506,1.211,0.50
hou,Maurice Taylor, PF,75,10,27.7,11.5,1.7,3.4,5.1,1.4,0.57,0.63,2.0,3.4,0.7,13.6,4.9,10.2,.480,0.0,0.0,.000,1.7,2.3,0.74,4.9,10.2,.481,1.127,0.48
hou,Mike Wilks, PG,26,0,5.6,1.9,0.1,0.5,0.6,0.7,0.12,0.00,0.3,0.6,2.4,14.4,0.7,1.4,.472,0.2,0.4,.600,0.4,0.5,0.83,0.5,1.0,.423,1.389,0.56
hou,Yao Ming, C,82,82,32.8,17.5,2.4,6.6,9.0,1.5,0.27,1.90,2.5,3.3,0.6,22.0,6.5,12.5,.522,0.0,0.0,.000,4.4,5.4,0.81,6.5,12.5,.523,1.396,0.52
hou,Eric Piatkowski, SG,49,0,14.3,4.1,0.2,1.3,1.5,0.5,0.33,0.10,0.6,0.9,0.9,8.7,1.5,3.9,.377,0.9,2.5,.352,0.3,0.3,0.88,0.6,1.4,.420,1.052,0.49
hou,Jim Jackson, SF,80,80,39.0,12.9,0.7,5.4,6.1,2.8,1.08,0.29,2.2,2.8,1.3,12.3,4.8,11.3,.424,2.0,5.1,.400,1.3,1.6,0.84,2.8,6.2,.444,1.148,0.51
hou,Cuttino Mobley, SG,80,80,40.4,15.8,0.5,4.0,4.5,3.2,1.34,0.41,2.3,2.2,1.4,14.2,5.8,13.5,.426,2.1,5.3,.390,2.2,2.7,0.81,3.7,8.2,.448,1.166,0.50
hou,Mark Jackson, PG,42,3,13.7,2.5,0.2,1.4,1.7,2.8,0.40,0.02,1.3,1.0,2.2,9.0,0.8,2.4,.340,0.2,1.0,.171,0.7,0.9,0.72,0.6,1.4,.458,1.030,0.38
hou,Moochie Norris, PG†,30,0,13.4,2.7,0.1,0.9,1.0,1.6,0.53,0.07,1.0,0.5,1.6,10.9,0.9,2.9,.310,0.3,0.8,.348,0.6,0.8,0.75,0.6,2.1,.297,.920,0.36
mem,Wesley Person, SF†,16,0,17.8,5.2,0.1,1.0,1.1,1.4,0.31,0.13,1.0,0.7,1.4,11.5,2.1,6.7,.308,0.7,2.7,.256,0.4,0.5,0.75,1.4,4.0,.344,.776,0.36
