PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,AFG%
Bruce Bowen,SF,30.0,1.0,16.5,2.3,0.5,1.2,1.7,0.9,0.7,0.3,0.4,1.7,0.9,3.1,0.28,0.2,0.9,0.26899999999999996,0.4,0.8,0.46,0.7,2.2,0.284,0.32
Greg Minor,G,44.0,7.0,17.4,4.9,0.7,2.0,2.7,1.1,0.45,0.14,0.9,1.6,1.9,4.6,0.41700000000000004,0.2,0.6,0.28600000000000003,0.8,1.1,0.75,1.7,4.0,0.43799999999999994,0.44
Walter McCarty,PF,32.0,4.0,20.6,5.7,1.1,2.5,3.6,1.3,0.75,0.41,1.3,2.8,2.0,5.5,0.36200000000000004,0.4,1.6,0.26,1.3,1.8,0.7,1.6,3.9,0.402,0.4
Dwayne Schintzius,C,16.0,0.0,4.2,0.7,0.4,0.8,1.2,0.5,0.0,0.19,0.6,1.1,0.3,1.0,0.25,0.0,0.0,0.0,0.2,0.3,0.75,0.3,1.0,0.25,0.25
Kenny Anderson,PG,34.0,33.0,29.7,12.1,0.7,2.3,3.0,5.7,0.9699999999999999,0.06,2.1,2.3,4.7,10.5,0.451,0.2,0.7,0.25,2.5,3.0,0.83,4.5,9.8,0.465,0.46
Andrew DeClercq,C,47.0,32.0,23.455319148936173,7.927659574468086,2.259574468085107,3.223404255319149,5.412765957446808,0.6297872340425532,1.063404255319149,0.6189361702127659,1.1787234042553192,3.389361702127659,2.912765957446808,5.85531914893617,0.4987234042553191,0.0,0.0,0.0,2.031914893617021,3.0127659574468084,0.6740425531914893,2.912765957446808,5.85531914893617,0.4987234042553191,0.4970212765957447
Eric Riley,C,35.0,11.0,9.6,2.2,1.0,1.8,2.8,0.4,0.26,0.74,0.7,2.1,0.8,1.5,0.519,0.0,0.0,0.0,0.6,0.9,0.71,0.8,1.5,0.519,0.52
Ron Mercer,SG,41.0,40.0,37.8,17.0,0.8999999999999999,2.9,3.7999999999999994,2.5,1.63,0.29,2.2,2.0,7.400000000000001,17.2,0.431,0.10000000000000002,0.7,0.16699999999999998,2.0,2.6,0.79,7.300000000000001,16.5,0.4429999999999999,0.43
Paul Pierce,SF,48.0,47.0,34.0,16.5,2.4,4.0,6.400000000000001,2.4,1.71,1.04,2.4,2.9,5.900000000000001,13.5,0.439,1.8,4.3,0.4120000000000001,2.9,4.1,0.71,4.1,9.2,0.451,0.5
Popeye Jones,PF,18.0,2.0,11.4,3.0,1.6,1.3,2.9,0.8,0.28,0.0,0.4,1.7,1.1,2.8,0.392,0.0,0.1,0.0,0.8,0.8999999999999999,0.82,1.1,2.7,0.4,0.39
Dana Barros,PG,50.0,16.0,23.1,9.3,0.3,1.8,2.1,4.2,1.04,0.1,1.8,1.3,3.4,7.4,0.45299999999999996,1.3,3.2,0.4,1.3,1.5,0.88,2.1,4.2,0.493,0.54
Tony Battie,C,50.0,15.0,22.4,6.7,1.9,4.1,6.0,1.1,0.58,1.42,0.9,3.2,2.9,5.7,0.519,0.0,0.1,0.0,0.8,1.2,0.67,2.9,5.6,0.525,0.52
Vitaly Potapenko,C,50.0,44.0,27.896000000000004,9.984000000000002,2.324,4.398,6.622000000000001,1.494,0.7028,0.7222,1.9960000000000002,3.364,4.058,8.258,0.49244000000000004,0.0,0.034,0.0,1.8339999999999999,3.0980000000000003,0.5908000000000001,4.058,8.223999999999998,0.49346,0.4928
Marlon Garnett,G,24.0,0.0,8.5,2.1,0.10000000000000002,0.8000000000000002,0.9,0.8000000000000002,0.21,0.04,0.5,0.8000000000000002,0.6,2.1,0.294,0.3,1.0,0.261,0.6,0.8000000000000002,0.75,0.3,1.1,0.321,0.3499999999999999
Antoine Walker,PF,42.0,41.0,36.9,18.7,2.5,6.0,8.5,3.1000000000000005,1.5,0.67,2.8,3.3999999999999995,7.200000000000001,17.5,0.41200000000000003,1.5,4.2,0.369,2.7,4.8,0.56,5.7,13.3,0.426,0.46
Damon Jones,PG,24.0,0.0,14.3375,5.204166666666667,0.25416666666666665,1.5958333333333332,1.8499999999999999,1.7416666666666665,0.5425,0.0,0.7166666666666668,0.9249999999999999,1.7875000000000003,4.975,0.355375,1.0625,2.5458333333333334,0.40458333333333335,0.5666666666666667,0.7124999999999999,0.7958333333333334,0.725,2.4291666666666667,0.30275,0.46249999999999997
William Cunningham,C,16.0,6.0,10.09375,0.375,0.84375,0.9375,1.78125,0.09375,0.065625,0.684375,0.28125,1.875,0.1875,1.125,0.1565625,0.0,0.0,0.0,0.0,0.09375,0.0,0.1875,1.125,0.1565625,0.15937500000000002
Kendall Gill,SF,50.0,47.0,32.1,11.8,1.2,3.7,4.9,2.5,2.68,0.52,1.4,3.2,4.7,11.9,0.39799999999999996,0.0,0.3,0.11800000000000001,2.3,3.3,0.68,4.7,11.6,0.406,0.4
Gheorghe Muresan,C,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Elliot Perry,G,35.0,0.0,8.285714285714286,2.8,0.2,0.8,1.0,1.3714285714285714,0.5685714285714285,0.0,1.0,0.6857142857142857,1.1142857142857143,2.9714285714285715,0.37471428571428567,0.2857142857142857,0.7142857142857143,0.47800000000000004,0.2857142857142857,0.4,0.7142857142857143,0.8285714285714286,2.257142857142857,0.3568571428571428,0.4228571428571429
Mark Hendrickson,F,22.0,6.0,18.1,5.5,1.2,1.9,3.1,0.6,0.55,0.05,0.7,1.8,1.8,4.0,0.44299999999999995,0.0,0.0,0.0,1.9,2.3,0.84,1.8,4.0,0.4479999999999999,0.44
Sam Cassell,PG,8.0,3.0,24.9,15.9,0.65,1.3,1.9,4.55,1.125,0.0,2.5,2.8,4.9,11.65,0.419,0.3,1.3,0.238,5.9,6.3,0.945,4.6,10.35,0.4455,0.43
David Vaughn,F,10.0,0.0,10.3,3.4,1.3,2.1,3.4,0.1,0.2,0.8,1.1,2.2,1.3,2.4,0.542,0.0,0.0,0.0,0.8,1.0,0.8,1.3,2.4,0.542,0.54
Eric Murdock,G,15.0,8.0,26.7,7.9,0.2,2.1,2.3,4.4,1.47,0.13,1.9,2.3,3.0,7.6,0.3950000000000001,0.5,1.5,0.364,1.4,1.7,0.81,2.5,6.1,0.402,0.43
Earl Boykins,PG,22.0,0.0,10.045454545454545,2.963636363636364,0.35454545454545455,0.4454545454545455,0.8,1.5090909090909093,0.26954545454545453,0.0,0.9363636363636364,0.9090909090909091,1.3818181818181818,3.5818181818181816,0.37477272727272726,0.12272727272727274,0.8454545454545456,0.16445454545454544,0.07727272727272728,0.15454545454545457,0.5177272727272727,1.2590909090909093,2.7363636363636363,0.43704545454545457,0.39181818181818184
Jayson Williams,C,30.0,30.0,34.0,8.1,4.9,7.1,12.0,1.1,0.8,2.0,1.5,4.2,3.2,7.3,0.445,0.0,0.1,0.0,1.6,2.8,0.56,3.2,7.2,0.449,0.44
Brian Evans,F,16.0,0.0,9.0625,2.10625,0.4,0.825,1.15625,0.95625,0.31062500000000004,0.185625,0.1375,0.475,0.8125,2.75625,0.28525,0.275,0.8125,0.25025,0.275,0.275,0.6875,0.5375,1.94375,0.28712499999999996,0.32375
Kerry Kittles,SG,46.0,40.0,34.1,12.9,1.1,3.0,4.2,2.5,1.7200000000000002,0.57,1.4,1.8,4.9,13.3,0.37,1.1,3.4,0.316,1.9,2.5,0.77,3.8,9.9,0.38900000000000007,0.41
Jim McIlvaine,C,22.0,1.0,12.2,2.2,1.4,1.0,2.5,0.1,0.41,1.45,0.6,2.7,1.0,2.3,0.431,0.0,0.0,0.0,0.2,0.3,0.67,1.0,2.3,0.431,0.42999999999999994
Chris Carr,G,39.0,4.0,11.42051282051282,5.3307692307692305,0.5743589743589744,1.2435897435897436,1.8179487179487182,0.6,0.20487179487179488,0.05410256410256411,0.758974358974359,1.158974358974359,1.9487179487179487,5.271794871794873,0.3661025641025641,0.7307692307692307,1.9487179487179487,0.366025641025641,0.7025641025641025,1.046153846153846,0.6364102564102564,1.2179487179487178,3.323076923076923,0.36664102564102574,0.4287179487179487
Jamie Feick,F,28.0,16.0,30.47142857142857,6.314285714285714,3.992857142857143,6.292857142857144,10.285714285714286,0.8357142857142857,0.8914285714285715,0.6407142857142857,1.2071428571428573,2.6,2.4142857142857146,4.771428571428571,0.46799999999999997,0.0,0.0,0.0,1.5785714285714285,2.1357142857142857,0.6685714285714285,2.4142857142857146,4.771428571428571,0.46799999999999997,0.4642857142857143
Stephon Marbury,PG,49.0,49.0,38.66122448979592,21.306122448979593,0.710204081632653,2.1204081632653065,2.8938775510204082,8.920408163265307,1.2051020408163264,0.16612244897959186,3.353061224489796,2.526530612244898,7.722448979591836,18.03877551020408,0.4276122448979592,1.3489795918367347,4.03469387755102,0.30748979591836734,4.512244897959183,5.685714285714286,0.7895918367346938,6.373469387755101,14.00408163265306,0.4557142857142857,0.4642857142857143
Doug Overton,PG,24.0,1.0,10.183333333333334,3.8333333333333335,0.3166666666666667,0.6,0.8583333333333334,0.9583333333333334,0.21083333333333334,0.043333333333333335,0.8416666666666667,0.7583333333333333,1.4916666666666665,3.4916666666666667,0.4100833333333333,0.09999999999999999,0.2833333333333333,0.16666666666666666,0.75,0.85,0.5366666666666666,1.3916666666666666,3.2083333333333335,0.4434166666666666,0.41583333333333333
Rony Seikaly,C,9.0,0.0,9.8,1.7,0.6,1.7999999999999998,2.3,0.2,0.44,0.67,1.1,1.7,0.4,2.2,0.2,0.0,0.0,0.0,0.8,2.0,0.39,0.4,2.2,0.2,0.2
Chris Gatling,C,48.0,3.0,16.162499999999998,5.7,1.075,2.65,3.725,0.7000000000000001,0.665,0.20750000000000002,1.2874999999999999,2.4499999999999997,2.4375,5.5249999999999995,0.440375,0.0,0.1625,0.08937500000000002,0.7625000000000001,1.925,0.4124999999999999,2.4375,5.3625,0.4512500000000001,0.445
Scott Burrell,G,32.0,10.0,22.1,6.6,1.0,2.7,3.7,1.4,1.25,0.34,0.7,2.6,2.3,6.5,0.361,0.9,2.3,0.389,1.1,1.3,0.81,1.4,4.2,0.34600000000000003,0.43
Lucious Harris,SG,36.0,5.0,16.7,5.4,0.6,1.3,1.8999999999999997,0.8999999999999999,0.5,0.19,0.5,1.4,2.0,5.0,0.40299999999999997,0.3,1.4,0.22,1.0,1.3,0.75,1.7,3.5999999999999996,0.473,0.43
