TEAM,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
bos,Alton Lister, C,53,2,9.7,1.6,1.2,1.9,3.2,0.2,0.15,0.26,0.6,1.8,0.4,0.6,1.5,.416,0.0,0.0,.000,0.4,0.6,0.74,0.6,1.5,.416,1.130,0.42
bos,Rick Fox, SF,76,75,34.9,15.4,1.5,3.7,5.2,3.8,2.20,0.53,2.3,3.7,1.6,5.7,12.5,.456,1.3,3.7,.363,2.7,3.5,0.79,4.4,8.8,.494,1.236,0.51
bos,Greg Minor, G,23,15,23.8,9.6,1.3,2.2,3.5,1.5,0.65,0.09,1.0,2.0,1.5,4.1,8.5,.480,0.0,0.3,.125,1.3,1.6,0.86,4.1,8.2,.495,1.122,0.48
bos,David Wesley, SG,74,73,40.4,16.8,0.9,2.7,3.6,7.3,2.19,0.18,2.9,3.0,2.5,6.2,13.2,.468,1.4,3.9,.360,3.0,3.9,0.78,4.8,9.3,.513,1.273,0.52
bos,Dino Radja, C,25,25,35.0,14.0,1.8,6.7,8.4,1.9,0.92,1.92,2.8,3.0,0.7,6.0,13.6,.440,0.0,0.0,.000,2.0,2.8,0.72,6.0,13.6,.441,1.029,0.44
bos,Brett Szabo, C,70,24,9.5,2.2,0.8,1.6,2.4,0.2,0.23,0.46,0.6,1.7,0.4,0.8,1.7,.446,0.0,0.0,.000,0.6,0.9,0.74,0.8,1.7,.450,1.264,0.45
bos,Steve Hamer, C,35,3,7.7,2.2,0.5,1.2,1.7,0.2,0.06,0.11,0.4,1.1,0.5,0.9,1.6,.526,0.0,0.1,.000,0.5,0.8,0.55,0.9,1.5,.545,1.333,0.53
bos,Dee Brown, G,21,2,24.9,7.6,0.4,1.9,2.3,3.2,1.48,0.33,1.1,2.1,2.8,2.9,7.9,.367,1.0,3.1,.308,0.9,1.0,0.82,1.9,4.8,.406,.964,0.43
bos,Frank Brickowski, C,17,2,15.0,4.8,0.4,1.6,2.0,0.9,0.29,0.24,1.1,2.5,0.8,1.9,4.3,.438,0.4,1.2,.350,0.6,0.8,0.71,1.5,3.1,.472,1.110,0.49
bos,Eric Williams, PF,72,67,33.8,15.0,1.8,2.8,4.6,1.8,1.00,0.18,1.9,3.0,0.9,5.2,11.4,.456,0.0,0.1,.250,4.6,6.1,0.75,5.2,11.3,.458,1.315,0.46
bos,Dana Barros, PG,24,8,29.5,12.5,0.2,1.8,2.0,3.4,1.08,0.25,1.6,1.4,2.1,4.6,10.5,.435,1.8,4.4,.410,1.5,1.8,0.86,2.8,6.1,.453,1.186,0.52
bos,Stacey King, F†,5,0,6.6,2.4,0.2,1.6,1.8,0.2,0.00,0.20,0.2,0.6,1.0,1.0,1.4,.714,0.0,0.0,.000,0.4,0.6,0.67,1.0,1.4,.714,1.714,0.71
bos,Nate Driggers, G,15,0,8.8,2.4,0.8,0.7,1.5,0.4,0.20,0.13,0.4,0.7,1.0,0.9,2.9,.302,0.0,0.6,.000,0.7,0.9,0.71,0.9,2.3,.382,.837,0.30
bos,Pervis Ellison, F,6,4,20.8,2.5,1.5,2.8,4.3,0.7,0.83,1.50,1.2,3.5,0.6,1.0,2.7,.375,0.0,0.0,.000,0.5,0.8,0.60,1.0,2.7,.375,.938,0.38
bos,Michael Hawkins, G,29,0,11.2,2.8,0.3,0.8,1.1,2.2,0.55,0.03,1.0,1.4,2.3,1.0,2.3,.426,0.3,1.1,.323,0.4,0.5,0.80,0.7,1.2,.514,1.176,0.50
bos,Marty Conlon, F,74,15,21.8,7.8,1.7,2.6,4.4,1.4,0.62,0.24,1.5,2.1,1.0,2.9,6.1,.471,0.0,0.1,.200,1.9,2.3,0.84,2.9,6.0,.477,1.264,0.47
bos,Antoine Walker, PF,82,68,36.2,17.5,3.5,5.5,9.0,3.2,1.28,0.65,2.8,3.3,1.1,7.0,16.5,.425,0.6,1.9,.327,2.8,4.5,0.63,6.4,14.6,.438,1.060,0.44
