TEAM,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
bos,Vander Blue, SG,3,0,5.0,1.7,0.0,1.0,1.0,0.3,0.00,0.00,0.7,0.3,0.5,0.5,0.7,1.3,.500,0.0,0.3,.000,0.3,1.7,0.20,0.7,1.0,.667,1.250,0.50
bos,Kris Humphries, PF,69,30,19.9,8.4,1.8,4.1,5.9,1.0,0.45,0.88,0.9,2.0,1.0,18.3,3.3,6.7,.501,0.0,0.0,.000,1.7,2.1,0.81,3.3,6.7,.503,1.256,0.50
bos,Jerryd Bayless, PG†,41,14,25.3,10.1,0.3,1.8,2.1,3.1,0.98,0.10,1.5,2.2,2.1,12.5,3.9,9.2,.418,1.2,3.1,.395,1.2,1.5,0.80,2.7,6.1,.430,1.101,0.49
bos,Jared Sullinger, PF,74,44,27.6,13.3,3.3,4.9,8.1,1.6,0.47,0.66,1.6,3.4,1.0,16.4,5.2,12.1,.427,0.8,2.8,.269,2.1,2.7,0.78,4.4,9.3,.475,1.092,0.46
bos,Jeff Green, SF,82,82,34.2,16.9,0.7,4.0,4.6,1.7,0.70,0.57,2.0,2.2,0.8,13.2,5.9,14.3,.412,1.6,4.8,.341,3.5,4.3,0.79,4.3,9.5,.448,1.180,0.47
bos,Kelly Olynyk, C,70,9,20.0,8.7,2.0,3.2,5.2,1.6,0.50,0.39,1.5,3.2,1.0,15.3,3.3,7.2,.466,0.6,1.6,.351,1.4,1.7,0.81,2.7,5.6,.500,1.209,0.51
bos,MarShon Brooks, SG†,10,0,7.3,3.1,0.1,1.8,1.9,0.4,0.10,0.10,0.7,0.5,0.6,10.8,0.9,2.4,.375,0.2,0.4,.500,1.1,1.4,0.79,0.7,2.0,.350,1.292,0.42
bos,Chris Babb, SG,14,0,9.4,1.6,0.3,0.9,1.2,0.2,0.43,0.00,0.2,0.9,1.0,3.7,0.6,2.1,.267,0.4,1.9,.222,0.0,0.0,0.00,0.2,0.2,.667,.733,0.37
bos,Chris Johnson, SF,40,0,19.7,6.3,0.8,1.7,2.4,0.8,0.68,0.10,0.6,1.6,1.4,10.8,2.1,5.4,.397,1.1,3.2,.339,0.9,1.1,0.86,1.0,2.2,.483,1.168,0.50
bos,Phil Pressey, PG,75,11,15.1,2.8,0.3,1.1,1.4,3.2,0.91,0.07,1.2,1.3,2.8,8.8,1.0,3.4,.308,0.4,1.4,.264,0.4,0.6,0.64,0.6,2.0,.340,.842,0.36
bos,Jordan Crawford, SG†,39,35,30.7,13.7,0.5,2.6,3.1,5.7,0.87,0.08,2.2,1.9,2.7,15.7,4.8,11.7,.413,1.3,4.0,.318,2.8,3.2,0.87,3.5,7.7,.463,1.178,0.47
bos,Courtney Lee, SG†,30,0,16.8,7.4,0.3,1.4,1.6,1.1,0.67,0.30,0.8,1.2,1.3,14.7,3.0,6.1,.492,0.8,1.7,.442,0.6,0.7,0.82,2.2,4.4,.511,1.208,0.55
bos,Rajon Rondo, PG,30,30,33.3,11.7,0.7,4.7,5.5,9.8,1.33,0.07,3.3,2.2,3.0,15.3,4.7,11.7,.403,0.9,3.0,.289,1.4,2.2,0.63,3.8,8.7,.442,1.000,0.44
bos,Gerald Wallace, SF,58,16,24.4,5.1,0.6,3.0,3.7,2.5,1.26,0.24,1.7,1.4,1.5,10.0,2.0,4.0,.504,0.3,1.1,.297,0.8,1.7,0.47,1.7,2.9,.584,1.296,0.55
bos,Avery Bradley, PG,60,58,30.9,14.9,0.8,3.0,3.8,1.4,1.05,0.18,1.6,2.4,0.9,12.8,6.0,13.8,.438,1.3,3.3,.395,1.5,1.9,0.80,4.7,10.5,.451,1.080,0.49
bos,Vitor Faverani, C,37,8,13.2,4.4,1.1,2.3,3.5,0.4,0.38,0.73,1.1,2.0,0.4,11.1,1.7,4.0,.435,0.3,1.1,.300,0.6,1.0,0.65,1.4,2.9,.486,1.116,0.48
bos,Keith Bogans, SG,6,0,9.2,2.0,0.0,0.5,0.5,0.5,0.17,0.00,0.2,0.3,3.0,9.9,0.5,1.0,.500,0.5,1.0,.500,0.5,0.5,1.00,0.0,0.0,.000,2.000,0.75
bos,Brandon Bass, PF,82,73,27.6,11.1,2.0,3.8,5.7,1.1,0.44,0.87,1.2,2.3,0.9,15.0,4.3,8.8,.486,0.0,0.1,.333,2.5,2.9,0.86,4.3,8.7,.487,1.257,0.49
bos,Joel Anthony, C†,21,0,7.1,1.0,0.6,0.9,1.5,0.1,0.14,0.38,0.1,0.6,1.0,8.2,0.5,1.2,.385,0.0,0.0,.000,0.1,0.3,0.33,0.5,1.2,.385,.846,0.38
bkn,Tornike Shengelia, SF†,17,0,8.1,1.5,0.2,0.6,0.8,0.7,0.12,0.06,0.6,0.9,1.1,3.3,0.6,1.4,.458,0.0,0.4,.000,0.2,0.5,0.38,0.6,1.0,.611,1.042,0.46
