TEAM,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
bos,Adrian Griffin, SG,72,47,26.8,6.7,1.8,3.4,5.2,2.5,1.61,0.21,1.3,3.1,1.9,2.4,5.7,.424,0.2,0.8,.281,1.7,2.2,0.75,2.2,4.9,.447,1.174,0.44
bos,Calbert Cheaney, SG,67,19,19.5,4.0,0.3,1.7,2.1,1.2,0.66,0.21,0.7,2.4,1.7,1.8,4.1,.440,0.3,0.8,.333,0.1,0.3,0.43,1.5,3.3,.466,.978,0.47
bos,Jamel Thomas, F†,3,0,6.3,3.7,0.0,0.7,0.7,0.7,0.00,0.00,0.3,0.0,2.0,1.7,3.3,.500,0.0,0.3,.000,0.3,0.3,1.00,1.7,3.0,.556,1.100,0.50
bos,Walter McCarty, PF,61,5,14.4,3.8,0.5,1.3,1.8,1.1,0.39,0.38,1.1,1.4,1.0,1.3,3.8,.339,0.6,1.8,.309,0.6,0.9,0.72,0.7,2.0,.367,.996,0.41
bos,Kenny Anderson, PG,82,82,31.6,14.0,0.7,2.1,2.7,5.1,1.70,0.10,1.6,2.8,3.2,5.3,12.0,.440,1.0,2.7,.386,2.4,3.1,0.77,4.3,9.3,.456,1.165,0.48
bos,Eric Williams, PF,68,17,20.3,7.2,0.8,1.5,2.3,1.4,0.65,0.24,1.0,2.4,1.4,2.4,5.7,.427,0.4,1.1,.347,2.0,2.5,0.79,2.0,4.6,.446,1.267,0.46
bos,Paul Pierce, SF,73,72,35.4,19.5,1.1,4.3,5.4,3.0,2.08,0.85,2.4,3.2,1.2,6.7,15.1,.442,1.3,3.8,.343,4.9,6.2,0.80,5.4,11.3,.476,1.298,0.49
bos,Vitaly Potapenko, C,79,72,22.7,9.2,2.3,4.0,6.3,1.0,0.52,0.37,1.8,3.0,0.5,3.9,7.8,.499,0.0,0.0,.000,1.4,2.0,0.68,3.9,7.8,.500,1.176,0.50
bos,Dana Barros, PG,72,0,15.8,7.2,0.2,1.2,1.4,1.8,0.43,0.06,0.9,1.1,2.0,2.7,6.0,.451,0.8,2.0,.410,0.9,1.1,0.87,1.9,4.0,.471,1.189,0.52
bos,Wayne Turner, G,3,0,13.7,1.3,0.3,0.7,1.0,1.7,0.00,0.00,1.0,1.3,1.7,0.3,2.0,.167,0.0,0.0,.000,0.7,2.0,0.33,0.3,2.0,.167,.667,0.17
bos,Tony Battie, C,82,4,18.4,6.6,1.9,3.1,5.0,0.8,0.57,0.85,0.8,3.0,0.9,2.7,5.6,.477,0.0,0.1,.125,1.2,1.8,0.68,2.7,5.5,.483,1.179,0.48
bos,Danny Fortson, C,55,5,15.6,7.6,2.6,4.1,6.7,0.5,0.36,0.09,1.2,3.3,0.4,2.5,4.8,.528,0.0,0.0,.000,2.5,3.4,0.74,2.5,4.8,.528,1.581,0.53
bos,Pervis Ellison, F,30,5,9.0,1.8,1.0,1.3,2.2,0.4,0.33,0.27,0.4,2.2,1.0,0.6,1.4,.442,0.0,0.0,.000,0.5,0.7,0.71,0.6,1.4,.442,1.233,0.44
bos,Doug Overton, PG,48,0,9.0,3.2,0.3,0.4,0.7,1.1,0.21,0.00,0.4,1.0,2.7,1.3,3.2,.396,0.2,0.6,.357,0.4,0.4,0.95,1.1,2.6,.405,.987,0.43
bos,Antoine Walker, PF,82,82,36.6,20.5,2.4,5.5,8.0,3.7,1.43,0.39,3.2,3.2,1.2,7.9,18.4,.430,0.9,3.5,.256,3.8,5.4,0.70,7.0,14.9,.471,1.116,0.45
bkn,Stephon Marbury, PG,74,74,38.9,22.2,0.8,2.4,3.2,8.4,1.51,0.20,3.6,2.6,2.3,7.7,17.8,.432,0.9,3.1,.283,5.9,7.2,0.81,6.8,14.7,.464,1.245,0.46
bkn,Michael Cage, C,20,7,12.1,1.4,1.7,2.4,4.1,0.5,0.40,0.40,0.2,1.5,2.3,0.6,1.2,.500,0.0,0.0,.000,0.2,0.2,1.00,0.6,1.2,.500,1.125,0.50
bkn,Scott Burrell, G,74,9,18.1,6.1,0.9,2.6,3.5,1.0,0.91,0.59,0.5,2.3,1.9,2.2,5.7,.394,1.1,3.1,.353,0.5,0.7,0.78,1.1,2.6,.444,1.076,0.49
bkn,Sherman Douglas, G,20,2,15.5,6.0,0.7,0.8,1.5,1.7,0.85,0.00,1.2,1.3,1.4,2.3,4.5,.500,0.3,0.8,.313,1.3,1.4,0.89,2.0,3.7,.541,1.333,0.53
bkn,Johnny Newman, F,82,9,21.5,10.0,0.5,1.4,1.9,0.8,0.65,0.13,1.1,2.5,0.7,3.4,7.6,.446,0.9,2.3,.379,2.3,2.8,0.84,2.5,5.3,.476,1.316,0.50
bkn,Kendall Gill, SF,76,75,31.0,13.1,1.1,2.6,3.7,2.8,1.83,0.54,1.2,2.8,2.4,5.2,12.6,.414,0.3,1.0,.256,2.4,3.4,0.71,4.9,11.6,.428,1.039,0.42
bkn,Gheorghe Muresan, C,30,2,8.9,3.5,0.8,1.5,2.3,0.3,0.00,0.40,0.5,1.7,0.6,1.4,3.0,.456,0.0,0.0,.000,0.8,1.3,0.61,1.4,3.0,.456,1.167,0.46
bkn,Elliot Perry, G,60,5,13.4,5.3,0.2,0.8,1.0,2.3,0.65,0.02,1.0,0.8,2.3,2.1,4.9,.435,0.2,0.7,.282,0.8,1.0,0.81,1.9,4.2,.459,1.078,0.45
bkn,Jamie Feick, F,81,17,27.7,5.7,3.3,6.1,9.3,0.8,0.53,0.47,0.7,2.5,1.2,2.2,5.2,.428,0.0,0.0,1.000,1.2,1.6,0.71,2.2,5.2,.424,1.085,0.43
bkn,Lucious Harris, SG,77,11,19.6,6.7,0.7,1.7,2.4,1.3,0.84,0.08,0.5,1.3,2.4,2.6,6.0,.428,0.5,1.5,.330,1.0,1.3,0.80,2.1,4.5,.460,1.108,0.47
bkn,Mark Hendrickson, F†,5,0,4.8,0.2,0.2,0.2,0.4,0.6,0.00,0.00,0.0,0.2,0.0,0.0,0.2,.000,0.0,0.0,.000,0.2,0.4,0.50,0.0,0.2,.000,1.000,0.00
bkn,Evan Eschmeyer, C,31,5,12.0,2.9,1.3,2.2,3.5,0.7,0.26,0.68,0.7,2.7,1.0,1.2,2.3,.528,0.0,0.0,.000,0.5,1.0,0.50,1.2,2.3,.528,1.264,0.53
bkn,Kerry Kittles, SG,62,61,30.6,13.0,0.7,2.9,3.6,2.3,1.27,0.31,0.9,1.9,2.5,4.9,11.3,.437,1.5,3.9,.400,1.6,2.0,0.80,3.4,7.4,.456,1.156,0.51
bkn,Keith Van Horn, PF,80,80,34.8,19.2,2.5,6.0,8.5,2.0,0.80,0.75,3.1,3.2,0.6,7.0,15.7,.445,1.1,2.9,.368,4.2,4.9,0.85,5.9,12.8,.462,1.221,0.48
bkn,Jim McIlvaine, C,66,53,15.9,2.4,1.6,1.9,3.5,0.5,0.39,1.77,0.6,3.1,0.9,1.0,2.3,.416,0.0,0.0,.000,0.4,0.8,0.52,1.0,2.3,.416,1.019,0.42
ny,Patrick Ewing, C,62,62,32.8,15.0,2.3,7.5,9.7,0.9,0.58,1.35,2.3,3.2,0.4,5.8,12.5,.466,0.0,0.0,.000,3.3,4.6,0.73,5.8,12.5,.467,1.199,0.47
ny,John Wallace, SF,60,0,13.3,6.5,0.7,1.6,2.3,0.4,0.17,0.23,1.1,1.7,0.3,2.6,5.5,.467,0.0,0.1,.000,1.4,1.7,0.80,2.6,5.4,.471,1.181,0.47
ny,DeMarco Johnson, F,5,0,7.4,1.2,0.6,0.8,1.4,0.0,0.20,0.00,0.6,1.0,0.0,0.6,1.8,.333,0.0,0.0,.000,0.0,0.0,0.00,0.6,1.8,.333,.667,0.33
ny,David Wingate, G,7,0,4.6,0.3,0.1,0.1,0.3,0.4,0.14,0.29,0.3,1.0,1.5,0.1,1.3,.111,0.0,0.0,.000,0.0,0.0,0.00,0.1,1.3,.111,.222,0.11
ny,Kurt Thomas, PF,80,21,24.6,8.0,1.8,4.5,6.3,1.0,0.64,0.53,1.3,3.5,0.8,3.4,6.7,.505,0.0,0.0,.333,1.3,1.6,0.78,3.4,6.7,.506,1.198,0.51
ny,Chris Dudley, C,47,3,9.8,1.2,1.3,1.6,2.9,0.1,0.15,0.45,0.4,2.0,0.3,0.5,1.4,.343,0.0,0.0,.000,0.2,0.6,0.33,0.5,1.4,.343,.821,0.34
ny,Rick Brunson, PG,37,0,7.8,1.9,0.1,0.6,0.7,1.3,0.24,0.03,0.8,0.9,1.6,0.8,1.9,.414,0.1,0.4,.154,0.3,0.5,0.61,0.7,1.5,.474,1.014,0.43
ny,Chris Childs, G,71,2,23.6,5.3,0.2,1.8,2.1,4.0,0.51,0.06,1.5,3.4,2.7,2.1,5.0,.409,0.5,1.5,.356,0.7,0.8,0.80,1.6,3.5,.431,1.053,0.46
ny,Andrew Lang, C,19,10,12.8,3.1,0.8,2.3,3.2,0.2,0.42,0.32,0.3,1.6,0.6,1.5,3.4,.438,0.0,0.0,.000,0.2,0.4,0.43,1.5,3.4,.438,.922,0.44
ny,Charlie Ward, PG,72,69,27.6,7.3,0.3,2.9,3.2,4.2,1.32,0.22,1.4,2.4,2.9,2.6,6.2,.423,1.4,3.7,.386,0.7,0.8,0.83,1.2,2.5,.475,1.181,0.54
ny,Latrell Sprewell, SG,82,82,40.0,18.6,0.6,3.7,4.3,4.0,1.33,0.27,2.8,2.2,1.5,6.9,15.9,.435,0.5,1.5,.346,4.2,4.8,0.87,6.4,14.4,.445,1.168,0.45
ny,Mirsad Turkcan, F†,7,0,3.6,0.6,0.3,1.1,1.4,0.1,0.29,0.00,0.1,0.6,1.0,0.3,1.4,.200,0.0,0.3,.000,0.0,0.0,0.00,0.3,1.1,.250,.400,0.20
ny,Marcus Camby, C,59,11,26.2,10.2,2.9,4.9,7.8,0.8,0.73,1.97,1.2,3.5,0.7,3.8,8.0,.480,0.0,0.0,.500,2.5,3.7,0.67,3.8,8.0,.480,1.276,0.48
ny,Allan Houston, SG,82,82,38.6,19.7,0.5,2.8,3.3,2.7,0.79,0.17,2.3,2.7,1.2,7.5,15.5,.483,1.3,3.0,.436,3.4,4.1,0.84,6.2,12.5,.494,1.270,0.52
ny,Etdrick Bohannon, F†,2,0,2.5,1.5,0.5,0.0,0.5,0.0,0.00,0.00,1.0,0.5,0.0,0.0,0.0,.000,0.0,0.0,.000,1.5,2.0,0.75,0.0,0.0,.000,.000,0.00
ny,Larry Johnson, F,70,68,32.6,10.7,1.2,4.2,5.4,2.5,0.60,0.10,1.3,2.9,1.9,4.0,9.3,.433,0.8,2.5,.333,1.8,2.4,0.77,3.2,6.8,.469,1.150,0.48
phi,George Lynch, SF,75,75,32.2,9.6,2.9,4.9,7.8,1.8,1.59,0.51,1.6,3.1,1.1,4.0,8.6,.461,0.2,0.5,.417,1.5,2.4,0.62,3.8,8.1,.464,1.121,0.47
phi,Theo Ratliff, C,57,56,31.5,11.9,2.5,5.2,7.6,0.6,0.56,3.00,1.9,3.2,0.3,4.3,8.6,.503,0.0,0.0,.000,3.2,4.1,0.77,4.3,8.6,.503,1.377,0.50
phi,Ira Bowman, G,11,0,1.8,0.5,0.0,0.2,0.2,0.1,0.09,0.00,0.1,0.0,1.0,0.2,0.2,1.000,0.0,0.0,.000,0.1,0.2,0.50,0.2,0.2,1.000,2.500,1.00
phi,Antonio Lang, F†,3,0,2.0,1.0,0.0,0.0,0.0,0.3,0.00,0.00,0.0,0.3,0.0,0.3,0.3,1.000,0.0,0.0,.000,0.3,0.3,1.00,0.3,0.3,1.000,3.000,1.00
phi,Billy Owens, F†,46,7,20.0,5.9,1.4,2.8,4.2,1.3,0.57,0.35,1.3,2.6,1.0,2.4,5.6,.434,0.2,0.6,.333,0.8,1.4,0.59,2.2,5.0,.446,1.050,0.45
phi,Bruce Bowen, SF†,42,0,7.4,1.4,0.3,0.5,0.9,0.4,0.21,0.12,0.1,0.9,3.2,0.6,1.7,.356,0.0,0.0,.500,0.1,0.3,0.50,0.6,1.7,.352,.808,0.36
phi,Nazr Mohammed, C,28,3,6.8,1.9,0.6,1.2,1.8,0.1,0.14,0.43,0.6,1.0,0.1,0.8,1.9,.389,0.0,0.0,.000,0.4,0.8,0.55,0.8,1.9,.389,1.000,0.39
phi,Allen Iverson, SG,70,70,40.8,28.4,1.0,2.8,3.8,4.7,2.06,0.07,3.3,2.3,1.4,10.4,24.8,.421,1.3,3.7,.341,6.3,8.9,0.71,9.1,21.1,.435,1.148,0.45
phi,Larry Hughes, SG†,50,5,20.4,10.0,1.0,2.1,3.2,1.5,1.08,0.24,1.9,1.9,0.8,3.8,9.2,.416,0.2,1.0,.216,2.1,2.8,0.75,3.6,8.2,.441,1.087,0.43
phi,Eric Snow, PG,82,80,35.0,7.9,0.5,2.7,3.2,7.6,1.71,0.10,2.0,3.0,3.9,3.1,7.3,.430,0.1,0.5,.244,1.5,2.2,0.71,3.0,6.8,.446,1.090,0.44
phi,Stanley Roberts, C,5,1,10.2,2.0,1.2,1.8,3.0,0.6,0.20,0.20,0.4,3.0,1.5,1.0,3.2,.313,0.0,0.2,.000,0.0,0.6,0.00,1.0,3.0,.333,.625,0.31
phi,Tyrone Hill, PF,68,65,31.7,12.0,3.2,6.0,9.2,0.8,0.94,0.40,1.8,3.6,0.4,4.7,9.6,.485,0.0,0.0,.000,2.6,3.8,0.69,4.7,9.6,.485,1.242,0.48
phi,Toni Kukoc, SF†,32,8,28.6,12.4,1.2,3.3,4.5,4.4,1.03,0.28,2.2,1.9,2.0,4.7,10.6,.438,0.8,2.8,.289,2.3,3.4,0.67,3.9,7.8,.492,1.171,0.48
phi,Jumaine Jones, SF,33,0,4.2,1.7,0.5,0.7,1.2,0.2,0.18,0.15,0.4,0.3,0.4,0.7,1.8,.379,0.1,0.1,.500,0.3,0.5,0.61,0.6,1.7,.370,.983,0.40
phi,Aaron McKie, SG,82,14,23.8,8.0,0.6,2.4,3.0,2.9,1.32,0.22,1.4,2.4,2.1,3.0,7.2,.411,0.5,1.5,.364,1.5,1.8,0.83,2.5,5.7,.424,1.101,0.45
phi,Matt Geiger, C,65,20,21.6,9.7,2.4,3.6,6.0,0.6,0.45,0.34,1.4,3.0,0.4,4.0,9.1,.441,0.0,0.1,.000,1.7,2.2,0.78,4.0,9.0,.444,1.068,0.44
phi,Todd MacCulloch, C,56,6,9.4,3.7,0.9,1.8,2.6,0.2,0.20,0.66,0.5,1.7,0.5,1.6,2.9,.553,0.0,0.0,.000,0.5,1.0,0.52,1.6,2.9,.553,1.280,0.55
phi,Kevin Ollie, PG,40,0,7.3,1.8,0.1,0.7,0.8,1.2,0.25,0.00,0.3,0.7,4.6,0.6,1.2,.449,0.0,0.0,.000,0.7,0.9,0.76,0.6,1.2,.449,1.469,0.45
tor,Alvin Williams, PG,55,28,14.2,5.3,0.5,1.1,1.5,2.3,0.62,0.20,0.9,1.4,2.7,2.1,5.2,.397,0.3,1.0,.291,0.9,1.2,0.74,1.8,4.2,.422,1.017,0.43
tor,Haywoode Workman, G†,13,1,7.8,1.5,0.0,0.7,0.7,1.3,0.69,0.00,0.3,1.1,4.3,0.6,2.2,.286,0.2,1.1,.214,0.1,0.2,0.50,0.4,1.1,.357,.714,0.34
tor,Muggsy Bogues, G,80,5,21.6,5.1,0.3,1.4,1.7,3.7,0.81,0.05,0.7,1.5,5.1,2.0,4.5,.439,0.2,0.6,.333,1.0,1.1,0.91,1.8,3.9,.456,1.145,0.46
tor,Antonio Davis, PF,79,78,31.4,11.5,3.0,5.8,8.8,1.3,0.48,1.27,1.5,3.4,0.9,4.0,9.0,.440,0.0,0.0,.000,3.6,4.7,0.77,4.0,9.0,.440,1.278,0.44
tor,Doug Christie, SG,73,73,31.0,12.4,0.9,3.0,3.9,4.4,1.40,0.59,2.0,2.3,2.2,4.3,10.5,.407,1.4,3.8,.360,2.5,3.0,0.84,2.9,6.7,.434,1.182,0.47
tor,Vince Carter, SG,82,82,38.1,25.7,1.8,4.0,5.8,3.9,1.34,1.12,2.2,3.2,1.8,9.6,20.7,.465,1.2,2.9,.403,5.3,6.7,0.79,8.4,17.8,.475,1.242,0.49
