TEAM,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
bos,Keyon Dooling, PG,46,2,14.4,4.0,0.1,0.8,0.8,1.1,0.28,0.04,0.7,1.2,1.5,6.9,1.4,3.5,.405,0.6,1.8,.333,0.5,0.7,0.74,0.8,1.7,.476,1.117,0.49
bos,Marquis Daniels, SG,38,0,12.7,3.2,0.4,1.3,1.7,1.2,0.55,0.24,0.7,0.9,1.7,8.1,1.4,3.8,.364,0.0,0.3,.000,0.4,0.6,0.74,1.4,3.5,.391,.846,0.36
bos,E'Twaun Moore, SG,38,0,8.7,2.9,0.1,0.8,0.9,0.9,0.29,0.08,0.6,0.9,1.6,8.9,1.1,3.0,.381,0.4,1.2,.378,0.2,0.2,1.00,0.7,1.8,.382,.973,0.46
bos,Mickael Pietrus, SF,42,6,21.9,6.9,0.4,2.7,3.1,0.6,0.50,0.24,0.8,1.9,0.8,8.6,2.5,6.4,.385,1.5,4.3,.335,0.5,0.7,0.65,1.0,2.1,.489,1.070,0.50
bos,JaJuan Johnson, PF,36,0,8.3,3.2,0.6,1.1,1.6,0.2,0.14,0.39,0.4,0.7,0.4,11.4,1.5,3.4,.446,0.0,0.0,.000,0.2,0.3,0.67,1.5,3.4,.446,.942,0.45
bos,Kevin Garnett, PF,60,60,31.1,15.8,1.1,7.1,8.2,2.9,0.93,1.02,1.8,2.4,1.6,20.5,6.5,13.0,.503,0.1,0.2,.333,2.7,3.2,0.86,6.4,12.8,.505,1.219,0.51
bos,Paul Pierce, SF,61,61,34.0,19.4,0.6,4.6,5.2,4.5,1.15,0.43,2.8,2.4,1.6,19.7,6.5,14.6,.443,1.6,4.5,.366,4.8,5.6,0.85,4.9,10.1,.476,1.327,0.50
bos,Ray Allen, SG,46,42,34.0,14.2,0.3,2.8,3.1,2.4,1.07,0.17,1.5,1.8,1.6,14.8,4.9,10.7,.458,2.3,5.1,.453,2.1,2.3,0.92,2.6,5.6,.463,1.329,0.57
bos,Rajon Rondo, PG,53,53,36.9,11.9,1.2,3.7,4.8,11.7,1.79,0.06,3.6,1.9,3.2,17.6,4.8,10.8,.448,0.2,0.8,.238,2.0,3.4,0.60,4.6,10.0,.464,1.101,0.46
bos,Sean Williams, PF†,3,0,14.0,3.7,1.3,2.7,4.0,1.0,1.00,1.00,1.0,1.3,1.0,18.6,0.7,2.0,.333,0.0,0.0,.000,2.3,2.3,1.00,0.7,2.0,.333,1.833,0.33
bos,Chris Wilcox, PF,28,4,17.2,5.4,1.4,3.0,4.4,0.4,0.39,0.32,1.1,2.3,0.4,12.5,2.3,3.8,.598,0.0,0.0,.000,0.9,1.4,0.62,2.3,3.8,.598,1.421,0.60
bos,Avery Bradley, PG,64,28,21.4,7.6,0.5,1.3,1.8,1.4,0.67,0.19,1.2,1.7,1.2,11.3,3.1,6.3,.498,0.3,0.8,.407,1.0,1.2,0.79,2.8,5.5,.511,1.204,0.52
bos,Sasha Pavlovic, SG,45,7,11.7,2.7,0.1,1.5,1.6,0.4,0.44,0.33,0.4,1.2,0.9,6.8,1.1,2.8,.391,0.4,1.3,.293,0.1,0.2,0.38,0.7,1.5,.471,.938,0.46
