TEAM,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
chi,Will Perdue, C,78,78,20.4,8.0,2.7,4.0,6.7,1.2,0.33,0.72,1.5,2.8,0.8,3.3,5.9,.553,0.0,0.0,.000,1.4,2.5,0.58,3.3,5.9,.555,1.353,0.55
chi,Michael Jordan, G,17,17,39.3,26.9,1.5,5.4,6.9,5.3,1.76,0.76,2.1,2.8,2.6,9.8,23.8,.411,0.9,1.9,.500,6.4,8.0,0.80,8.9,21.9,.403,1.131,0.43
cle,John Williams, F,74,73,35.7,12.6,2.3,4.5,6.9,2.6,1.12,1.36,2.0,2.9,1.3,4.9,10.9,.452,0.0,0.1,.200,2.6,3.9,0.69,4.9,10.8,.453,1.147,0.45
cle,Danny Ferry, F,82,6,15.7,7.5,0.4,1.4,1.7,1.2,0.33,0.27,0.7,1.6,1.6,2.7,6.1,.446,1.1,2.8,.403,0.9,1.0,0.88,1.6,3.3,.483,1.228,0.54
cle,John Battle, G,28,0,10.0,4.1,0.1,0.3,0.4,1.3,0.29,0.04,0.6,1.0,2.2,1.5,4.1,.377,0.4,1.1,.355,0.7,0.9,0.73,1.1,3.0,.386,1.018,0.43
cle,Elmer Bennett, G,4,0,4.5,3.8,0.0,0.3,0.3,0.8,1.00,0.00,0.8,0.8,1.0,1.5,2.8,.545,0.0,0.5,.000,0.8,1.0,0.75,1.5,2.3,.667,1.364,0.55
cle,Greg Dreiling, C,58,3,8.3,1.9,0.6,1.4,2.0,0.4,0.10,0.38,0.4,1.9,0.9,0.7,1.8,.412,0.0,0.0,.000,0.4,0.7,0.63,0.7,1.8,.412,1.078,0.41
cle,Terrell Brandon, PG,67,41,29.3,13.3,0.5,2.3,2.8,5.4,1.60,0.21,2.1,1.8,2.5,5.1,11.4,.448,0.7,1.8,.397,2.4,2.8,0.85,4.4,9.6,.457,1.167,0.48
cle,Michael Cage, C,82,21,24.9,5.0,2.5,4.4,6.9,0.7,0.74,0.82,0.7,1.8,1.0,2.2,4.1,.521,0.0,0.0,.000,0.6,1.1,0.60,2.2,4.1,.524,1.197,0.52
cle,Chris Mills, SF,80,79,35.2,12.3,1.2,3.3,4.6,1.9,0.74,0.44,1.5,3.0,1.3,4.5,10.7,.420,1.2,3.0,.392,2.2,2.7,0.82,3.3,7.7,.431,1.153,0.47
cle,Fred Roberts, F,21,0,10.6,3.8,0.6,1.0,1.6,0.4,0.29,0.14,0.3,1.2,1.1,1.3,3.4,.389,0.2,0.5,.364,1.0,1.2,0.77,1.1,2.9,.393,1.111,0.42
cle,Tony Campbell, G,78,0,14.5,6.0,0.8,1.2,2.0,0.9,0.41,0.10,0.8,1.6,1.1,2.1,5.0,.411,0.2,0.5,.357,1.7,2.0,0.83,1.9,4.5,.417,1.196,0.43
