TEAM,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
bos,Fab Melo, C,6,0,6.0,1.2,0.0,0.5,0.5,0.0,0.33,0.33,0.2,1.2,0.0,5.0,0.5,1.0,.500,0.0,0.0,.000,0.2,0.7,0.25,0.5,1.0,.500,1.167,0.50
bos,Terrence Williams, SG,24,0,13.3,4.6,0.2,1.7,1.8,1.6,0.46,0.08,0.9,0.5,1.7,12.4,2.0,4.0,.495,0.2,0.6,.333,0.4,0.9,0.43,1.8,3.4,.524,1.134,0.52
bos,Leandro Barbosa, SG†,41,2,12.5,5.2,0.2,0.9,1.1,1.4,0.41,0.15,0.5,1.2,2.8,13.6,2.0,4.7,.430,0.4,1.1,.383,0.8,1.0,0.76,1.6,3.6,.445,1.114,0.48
bos,Jared Sullinger, PF,45,5,19.8,6.0,2.0,3.8,5.9,0.8,0.49,0.49,0.6,3.4,1.2,13.5,2.5,5.0,.493,0.0,0.1,.200,1.0,1.4,0.75,2.5,4.9,.500,1.200,0.50
bos,Jeff Green, SF,81,17,27.8,12.8,0.7,3.2,3.9,1.6,0.69,0.84,1.6,2.2,1.0,15.0,4.6,10.0,.466,0.9,2.2,.385,2.6,3.3,0.81,3.7,7.8,.490,1.285,0.51
bos,Darko Milicic, C,1,0,5.0,0.0,0.0,1.0,1.0,0.0,0.00,0.00,2.0,1.0,0.0,-30.1,0.0,1.0,.000,0.0,0.0,.000,0.0,0.0,0.00,0.0,1.0,.000,.000,0.00
bos,Kris Joseph, SF†,6,0,4.0,1.2,0.2,0.7,0.8,0.2,0.00,0.00,0.3,0.3,0.5,-3.2,0.3,1.8,.182,0.0,0.3,.000,0.5,0.7,0.75,0.3,1.5,.222,.636,0.18
bos,Jason Collins, C†,32,7,10.3,1.2,0.7,1.0,1.6,0.2,0.31,0.19,0.5,2.3,0.4,3.0,0.3,0.7,.348,0.0,0.0,.000,0.7,0.9,0.70,0.3,0.7,.348,1.609,0.35
bos,Rajon Rondo, PG,38,38,37.4,13.7,1.1,4.4,5.6,11.1,1.84,0.24,3.9,2.5,2.8,18.1,5.9,12.2,.484,0.3,1.3,.240,1.6,2.4,0.65,5.6,10.9,.513,1.123,0.50
bos,Paul Pierce, SF,77,77,33.4,18.6,0.6,5.7,6.3,4.8,1.09,0.39,2.8,2.7,1.7,19.1,6.2,14.2,.436,1.9,5.0,.380,4.3,5.5,0.79,4.3,9.2,.466,1.310,0.50
bos,Kevin Garnett, PF,68,68,29.7,14.8,1.1,6.7,7.8,2.3,1.15,0.91,1.6,2.3,1.4,19.2,6.2,12.5,.496,0.0,0.2,.125,2.3,3.0,0.79,6.2,12.3,.504,1.181,0.50
bos,Jordan Crawford, SG†,27,2,21.6,9.1,0.5,2.3,2.7,2.5,0.44,0.07,1.6,1.7,1.5,12.0,3.3,8.0,.415,0.9,2.8,.320,1.6,2.0,0.79,2.4,5.2,.465,1.134,0.47
