PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,AFG%
Bruce Bowen,SF,61.0,9.0,21.4,5.6,1.3,1.6,2.9,1.3,1.43,0.48,0.9,2.9,2.0,4.9,0.409,0.3,1.0,0.33899999999999997,1.2,2.0,0.62,1.7,3.9,0.42700000000000005,0.44
Andrew DeClercq,C,81.0,49.0,18.8,5.4,2.2,2.6,4.8,0.7,1.05,0.6,1.0,3.4,2.1,4.2,0.49700000000000005,0.0,0.0,0.0,1.2,2.1,0.6,2.1,4.2,0.49899999999999994,0.5
Roy Rogers,F,15.0,0.0,7.0600000000000005,1.36,0.52,0.6399999999999999,1.16,0.14,0.2,0.532,0.33999999999999997,1.22,0.58,1.66,0.3662,0.0,0.0,0.0,0.14,0.39999999999999997,0.4,0.58,1.66,0.3662,0.368
Zan Tabak,C,57.0,34.0,17.278947368421054,5.421052631578948,1.468421052631579,2.210526315789474,3.6789473684210523,0.8368421052631579,0.34842105263157896,0.6647368421052632,1.036842105263158,2.873684210526316,2.494736842105263,5.3578947368421055,0.46821052631578947,0.0,0.0,0.0,0.4,1.0421052631578946,0.3963157894736843,2.494736842105263,5.3578947368421055,0.46957894736842104,0.47
Greg Minor,G,69.0,16.0,16.3,5.0,0.8,1.4,2.2,1.3,0.77,0.16,0.6,1.4,2.0,4.7,0.436,0.1,0.4,0.19399999999999998,0.9,1.2,0.69,1.9,4.3,0.462,0.45
Dontae' Jones,F,15.0,0.0,6.1,2.9,0.2,0.4,0.6,0.3,0.13,0.2,0.7,0.8,1.3,3.8,0.33299999999999996,0.4,1.5,0.261,0.0,0.0,0.0,0.9,2.3,0.382,0.39
Ron Mercer,SG,80.0,62.0,33.3,15.3,1.4,2.1,3.5,2.2,1.56,0.21000000000000002,1.7,2.7,6.4,14.3,0.45,0.0,0.4,0.10700000000000001,2.4,2.8,0.8400000000000001,6.4,13.9,0.458,0.45
Dee Brown,G,72.0,12.0,23.89027777777778,9.125,0.3291666666666667,1.8166666666666669,2.1027777777777774,2.161111111111111,1.1388888888888888,0.3222222222222222,1.015277777777778,1.7277777777777776,3.431944444444445,7.793055555555556,0.43518055555555557,1.4736111111111112,3.7902777777777774,0.3939166666666667,0.8444444444444446,1.0013888888888889,0.7790277777777779,1.9583333333333333,4.002777777777777,0.47274999999999995,0.5272222222222223
Travis Knight,C,74.0,21.0,20.3,6.5,2.0,3.0,4.9,1.4,0.73,1.11,1.2,3.4,2.6,5.9,0.441,0.2,0.7,0.273,1.1,1.4,0.79,2.4,5.2,0.465,0.45999999999999996
Chauncey Billups,PG,80.0,70.0,27.683749999999996,11.172500000000001,0.8,1.5812499999999998,2.38125,3.9375,1.336,0.050875000000000004,2.155,2.155,3.53625,9.37125,0.3751375,1.3725,4.0625,0.33066249999999997,2.8275,3.31875,0.85625,2.1637500000000003,5.30875,0.4082375,0.4455
