PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,AFG%
Alton Lister,C,53.0,2.0,9.699999999999998,1.6000000000000003,1.2,1.8999999999999997,3.2000000000000006,0.20000000000000004,0.15,0.26,0.6,1.8,0.6,1.5,0.41600000000000004,0.0,0.0,0.0,0.4000000000000001,0.6,0.74,0.6,1.5,0.41600000000000004,0.42
Rick Fox,SF,76.0,75.0,34.9,15.4,1.5,3.6999999999999997,5.2,3.8000000000000003,2.2,0.53,2.3,3.6999999999999997,5.7,12.5,0.45599999999999996,1.3,3.6999999999999997,0.363,2.7,3.5,0.79,4.4,8.8,0.49399999999999994,0.51
Greg Minor,G,23.0,15.0,23.8,9.6,1.3,2.2,3.5,1.5,0.65,0.09,1.0,2.0,4.1,8.5,0.48,0.0,0.3,0.125,1.3,1.6,0.8600000000000001,4.1,8.2,0.495,0.48
David Wesley,SG,74.0,73.0,40.4,16.8,0.9000000000000001,2.7,3.6000000000000005,7.299999999999999,2.19,0.18,2.9,3.0,6.2,13.2,0.46799999999999997,1.4,3.8999999999999995,0.36,3.0,3.8999999999999995,0.78,4.8,9.3,0.513,0.52
Dino Radja,C,25.0,25.0,35.0,14.0,1.8,6.7,8.4,1.9,0.92,1.92,2.8,3.0,6.0,13.6,0.44,0.0,0.0,0.0,2.0,2.8,0.72,6.0,13.6,0.441,0.44
Brett Szabo,C,70.0,24.0,9.5,2.2,0.8,1.6,2.4,0.2,0.23,0.46,0.6,1.7,0.8,1.7,0.446,0.0,0.0,0.0,0.6,0.9,0.74,0.8,1.7,0.45,0.45
Steve Hamer,C,35.0,3.0,7.7,2.2,0.5,1.2,1.7,0.2,0.060000000000000005,0.11,0.4,1.1,0.9,1.6,0.526,0.0,0.1,0.0,0.5,0.8,0.55,0.9,1.5,0.545,0.53
Dee Brown,G,21.0,2.0,24.9,7.6,0.4,1.9,2.3,3.2,1.48,0.33,1.1,2.1,2.9,7.9,0.36700000000000005,1.0,3.1000000000000005,0.308,0.9000000000000001,1.0,0.82,1.9,4.8,0.40599999999999997,0.43
Frank Brickowski,C,17.0,2.0,15.0,4.8,0.4,1.6,2.0,0.9,0.29,0.24,1.1,2.5,1.9,4.3,0.43799999999999994,0.4,1.2,0.35,0.6,0.8,0.71,1.5,3.1,0.47200000000000003,0.49
Eric Williams,PF,72.0,67.0,33.8,15.0,1.7999999999999998,2.8,4.6,1.7999999999999998,1.0,0.18,1.8999999999999997,3.0,5.2,11.4,0.456,0.0,0.1,0.25,4.6,6.1,0.75,5.2,11.3,0.45799999999999996,0.4600000000000001
Dana Barros,PG,24.0,8.0,29.5,12.5,0.20000000000000004,1.8,2.0,3.4,1.08,0.25,1.6000000000000003,1.3999999999999997,4.6,10.5,0.435,1.8,4.4,0.41,1.5,1.8,0.86,2.7999999999999994,6.099999999999999,0.453,0.52
Stacey King,F,11.0,0.0,9.381818181818181,2.1818181818181817,1.018181818181818,1.4363636363636365,2.4545454545454546,0.09090909090909091,0.18,0.09090909090909091,0.5272727272727273,1.2545454545454546,1.0,2.0,0.5427272727272728,0.0,0.0,0.0,0.18181818181818182,0.6545454545454544,0.30454545454545456,1.0,2.0,0.5427272727272728,0.5409090909090909
Nate Driggers,G,15.0,0.0,8.8,2.4,0.8,0.7,1.5,0.4,0.2,0.13,0.4,0.7,0.9,2.9,0.302,0.0,0.6,0.0,0.7,0.9,0.7099999999999999,0.9,2.3,0.382,0.3
Pervis Ellison,F,6.0,4.0,20.8,2.5,1.5,2.7999999999999994,4.3,0.6999999999999998,0.83,1.5,1.2,3.5,1.0,2.7000000000000006,0.375,0.0,0.0,0.0,0.5,0.8000000000000002,0.6,1.0,2.7000000000000006,0.375,0.38000000000000006
Michael Hawkins,G,29.0,0.0,11.2,2.8,0.3,0.8,1.1,2.2,0.55,0.03,1.0,1.4,1.0,2.3,0.426,0.3,1.1,0.32299999999999995,0.4,0.5,0.8,0.7,1.2,0.514,0.5
Marty Conlon,F,74.0,15.0,21.8,7.799999999999999,1.7,2.6,4.4,1.4,0.62,0.23999999999999996,1.5,2.1,2.9,6.1,0.471,0.0,0.1,0.2,1.9,2.3,0.84,2.9,6.0,0.47700000000000004,0.47000000000000003
Antoine Walker,PF,82.0,68.0,36.2,17.5,3.5,5.5,9.0,3.2000000000000006,1.28,0.65,2.8,3.2999999999999994,7.0,16.5,0.42500000000000004,0.6,1.8999999999999997,0.327,2.8,4.5,0.63,6.400000000000001,14.600000000000001,0.43799999999999994,0.44
Todd Day,G,81.0,27.0,28.099999999999998,14.5,1.3,2.7,4.1,1.4,1.33,0.59,1.5999999999999999,2.6,4.9,12.3,0.398,1.5999999999999999,4.3,0.36200000000000004,3.1999999999999997,4.1,0.77,3.3000000000000003,8.0,0.418,0.4600000000000001
Tony Massenburg,PF,79.0,49.0,24.7,7.200000000000001,2.8,3.7,6.5,0.3,0.48000000000000004,0.63,1.2,2.7,2.8,5.7,0.485,0.0,0.0,0.0,1.6,2.6,0.63,2.8,5.7,0.486,0.48000000000000004
Kendall Gill,SF,82.0,81.0,39.0,21.8,2.2,3.9000000000000004,6.1,4.0,1.88,0.56,2.7,2.7,7.900000000000001,17.7,0.4429999999999999,0.8999999999999999,2.7,0.336,5.2,6.5,0.8000000000000002,7.0,15.0,0.462,0.47
Lloyd Daniels,G,22.0,0.0,14.100000000000001,4.445454545454546,0.8954545454545456,1.0636363636363635,1.9590909090909088,1.2045454545454546,0.455,0.1390909090909091,0.6,1.4954545454545454,1.6363636363636365,5.4409090909090905,0.28340909090909094,0.940909090909091,3.2045454545454546,0.2901818181818182,0.2318181818181818,0.30909090909090914,0.6413636363636364,0.6954545454545454,2.2363636363636363,0.2635,0.36772727272727274
Adrian Caldwell,F,45.0,0.0,12.62,2.2600000000000002,1.2799999999999998,2.42,3.7,0.3,0.356,0.18000000000000002,0.6399999999999999,1.9200000000000002,0.9,2.02,0.43000000000000005,0.0,0.04,0.0,0.44,1.0799999999999998,0.42799999999999994,0.9,1.98,0.43679999999999997,0.43400000000000005
Sam Cassell,PG,61.0,44.0,28.111475409836068,15.840983606557376,0.7557377049180328,2.234426229508197,2.9999999999999996,5.018032786885247,1.2637704918032788,0.3101639344262295,2.749180327868853,3.2639344262295085,5.529508196721311,12.852459016393443,0.42791803278688517,1.3147540983606558,3.7836065573770488,0.33842622950819673,3.4688524590163934,4.077049180327868,0.8398360655737704,4.214754098360656,9.068852459016393,0.46378688524590167,0.47786885245901645
