TEAM,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
bos,Stephon Marbury, PG,23,4,18.0,3.8,0.1,1.1,1.2,3.3,0.43,0.13,1.6,1.5,2.0,4.5,1.7,4.8,.342,0.3,1.1,.240,0.3,0.6,0.46,1.4,3.7,.372,.793,0.37
bos,Brian Scalabrine, PF,39,8,12.9,3.5,0.2,1.1,1.3,0.5,0.18,0.26,0.3,1.9,1.5,7.4,1.2,2.9,.421,0.6,1.6,.393,0.4,0.5,0.89,0.6,1.3,.453,1.193,0.53
bos,Gabe Pruitt, PG,47,0,7.8,2.0,0.2,0.7,0.9,0.8,0.32,0.06,0.4,0.7,2.1,7.6,0.7,2.1,.307,0.3,1.0,.292,0.4,0.4,0.81,0.4,1.1,.321,.921,0.38
bos,Kendrick Perkins, C,76,76,29.6,8.5,2.7,5.5,8.1,1.3,0.29,1.97,2.2,3.3,0.6,13.3,3.6,6.3,.577,0.0,0.0,.000,1.3,2.1,0.60,3.6,6.3,.580,1.356,0.58
bos,Tony Allen, SG,46,2,19.3,7.8,0.5,1.8,2.3,1.4,1.17,0.50,1.7,2.1,0.9,13.0,3.0,6.2,.482,0.1,0.6,.222,1.7,2.4,0.72,2.9,5.6,.510,1.264,0.49
bos,Eddie House, SG,81,0,18.3,8.5,0.1,1.8,1.9,1.1,0.75,0.09,0.7,1.4,1.7,15.4,3.1,6.9,.445,1.9,4.2,.444,0.5,0.7,0.79,1.2,2.7,.445,1.234,0.58
bos,Paul Pierce, SF,81,81,37.5,20.5,0.7,5.0,5.6,3.6,0.99,0.33,2.8,2.7,1.3,17.7,6.7,14.6,.457,1.5,3.8,.391,5.7,6.8,0.83,5.2,10.8,.480,1.404,0.51
bos,Kevin Garnett, PF,57,57,31.1,15.8,1.4,7.1,8.5,2.5,1.11,1.19,1.6,2.2,1.6,21.3,6.9,13.0,.531,0.0,0.1,.250,1.9,2.3,0.84,6.9,12.9,.534,1.215,0.53
bos,Rajon Rondo, PG,80,80,33.0,11.9,1.3,4.0,5.2,8.2,1.86,0.14,2.6,2.4,3.2,18.9,4.8,9.5,.505,0.2,0.6,.313,2.2,3.4,0.64,4.6,8.9,.518,1.256,0.51
bos,Patrick O'Bryant, C†,26,0,4.2,1.5,0.3,1.0,1.3,0.3,0.12,0.31,0.7,1.1,0.5,9.5,0.6,1.2,.516,0.0,0.0,.000,0.3,0.5,0.67,0.6,1.2,.516,1.290,0.52
bos,Leon Powe, PF,70,7,17.5,7.7,2.1,2.9,4.9,0.7,0.34,0.54,1.1,2.7,0.6,17.2,2.5,4.8,.524,0.0,0.0,.000,2.6,3.8,0.69,2.5,4.8,.524,1.592,0.52
bos,Mikki Moore, C†,24,0,19.0,4.8,1.3,3.1,4.4,1.0,0.17,0.21,0.9,4.0,1.2,9.3,2.1,3.5,.600,0.0,0.0,.000,0.6,0.8,0.74,2.1,3.5,.600,1.365,0.60
bos,J.R. Giddens, SG,6,0,1.3,0.7,0.3,0.2,0.5,0.0,0.17,0.00,0.2,0.2,0.0,26.1,0.3,0.5,.667,0.0,0.0,.000,0.0,0.0,0.00,0.3,0.5,.667,1.333,0.67
