PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,AFG%
Rick Fox,SF,53.0,7.0,19.600000000000005,8.8,1.2,1.8,2.9,2.6,0.98,0.36,1.5,2.9,3.2000000000000006,6.599999999999999,0.48100000000000004,0.6,1.3999999999999997,0.413,1.8,2.3,0.77,2.6,5.2,0.5,0.53
Sherman Douglas,G,65.0,43.0,31.5,14.7,0.7,1.9,2.6,6.9,1.23,0.03,2.5,2.3,5.6,11.8,0.475,0.3,1.3,0.244,3.1,4.6,0.69,5.3,10.5,0.502,0.49
David Wesley,SG,51.0,36.0,27.1,7.4,0.6,1.7,2.3,5.2,1.61,0.18,1.7,2.8,2.5,6.1,0.409,1.0,2.3,0.42900000000000005,1.4,1.8,0.76,1.5,3.8,0.397,0.49
Dino Radja,C,66.0,48.0,32.5,17.2,2.3,6.4,8.7,1.7,0.91,1.3,2.4,3.5,6.8,13.9,0.48999999999999994,0.0,0.0,0.0,3.5,4.7,0.76,6.8,13.9,0.48999999999999994,0.48999999999999994
Derek Strong,F,70.0,24.0,19.2,6.3,1.9,3.4,5.4,0.6,0.34,0.19,1.1,2.0,2.1,4.7,0.45299999999999996,0.0,0.1,0.28600000000000003,2.0,2.5,0.82,2.1,4.6,0.457,0.46
Dee Brown,G,79.0,69.0,35.3,15.599999999999998,0.8,2.4,3.2,3.8,1.39,0.62,1.8000000000000003,2.3,5.5,12.4,0.447,1.6,4.1,0.385,3.0,3.5,0.8499999999999999,3.8999999999999995,8.3,0.478,0.51
Blue Edwards,G,67.0,7.0,16.61492537313433,6.83134328358209,0.746268656716418,1.1925373134328359,1.9388059701492537,1.1238805970149253,0.6422388059701493,0.23940298507462685,1.2462686567164178,2.153731343283582,2.7,5.870149253731342,0.46307462686567163,0.3462686567164179,1.1313432835820896,0.30328358208955225,1.1313432835820896,1.3388059701492536,0.8247761194029851,2.353731343283582,4.7388059701492535,0.5008656716417911,0.48761194029850746
Dominique Wilkins,F,77.0,64.0,31.5,17.8,2.0,3.2,5.2,2.2,0.79,0.18,2.2,1.7000000000000002,6.4,15.199999999999998,0.42399999999999993,1.5,3.7999999999999994,0.38799999999999996,3.5,4.4,0.78,4.9,11.4,0.43600000000000005,0.47
Acie Earl,F,30.0,3.0,6.9,2.2,0.6,0.9,1.5,0.1,0.2,0.2700000000000001,0.5,1.3,0.9,2.3,0.382,0.0,0.0,0.0,0.5,1.0,0.4799999999999999,0.9,2.3,0.382,0.38
Tony Harris,G,3.0,0.0,6.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.6999999999999998,1.0,2.7000000000000006,0.375,0.0,0.3,0.0,2.7000000000000006,3.0,0.89,1.0,2.4,0.429,0.38000000000000006
Jay Humphries,G,18.0,0.0,11.166666666666666,1.1,0.23333333333333334,0.5333333333333332,0.7000000000000001,1.1,0.49666666666666665,0.0,0.9333333333333333,1.966666666666667,0.4333333333333333,1.9000000000000001,0.25466666666666665,0.13333333333333336,0.26666666666666666,0.44466666666666677,0.09999999999999999,0.23333333333333328,0.16666666666666666,0.3,1.6333333333333335,0.22733333333333336,0.28
Xavier Mcdaniel,F,68.0,15.0,21.0,8.6,1.4,3.0,4.4,1.6,0.44,0.29,1.3,2.1,3.6,8.0,0.451,0.1,0.3,0.28600000000000003,1.3,1.8,0.71,3.5,7.7,0.457,0.46
Tony Dawson,F,2.0,0.0,6.5,4.0,0.0,1.5,1.5,0.5,0.0,0.0,1.0,2.0,1.5,4.0,0.375,0.5,1.5,0.33299999999999996,0.5,0.5,1.0,1.0,2.5,0.4,0.44
Pervis Ellison,F,55.0,11.0,19.7,6.8,2.3,3.4,5.6,0.6,0.4,0.98,1.4,3.3,2.8,5.5,0.507,0.0,0.0,0.0,1.3,1.8,0.72,2.8,5.5,0.51,0.51
James Blackwell,G,13.0,0.0,6.184615384615384,1.4153846153846152,0.13846153846153847,0.7307692307692307,0.8692307692307693,0.8846153846153846,0.3053846153846154,0.0,0.3615384615384615,0.6461538461538462,0.6384615384615385,1.0076923076923079,0.6206153846153846,0.0,0.0,0.0,0.13846153846153847,0.20769230769230768,0.46384615384615385,0.6384615384615385,1.0076923076923079,0.6206153846153846,0.6215384615384616
Greg Minor,G,63.0,8.0,15.0,6.0,0.8,1.4,2.2,1.0,0.51,0.25,0.7,1.4,2.5,4.8,0.515,0.0,0.2,0.16699999999999998,1.0,1.2,0.83,2.5,4.6,0.529,0.52
Eric Montross,C,78.0,75.0,29.7,10.0,2.5,4.7,7.3,0.5,0.37,0.78,1.4,3.8,3.9,7.4,0.534,0.0,0.0,0.0,2.1,3.4,0.64,3.9,7.4,0.535,0.53
Sleepy Floyd,G,48.0,1.0,17.3,4.1,0.20000000000000004,1.0,1.1,2.6,0.27,0.13,1.1,1.5,1.5,4.4,0.335,0.5,1.8,0.284,0.6,0.9,0.6999999999999998,1.0,2.6,0.371,0.38999999999999996
Kevin Edwards,G,14.0,14.0,33.3,14.0,0.7,1.9,2.6,1.9,1.36,0.36,2.5,3.0,4.9,11.0,0.44799999999999995,1.3,3.2,0.4,2.9,3.0,0.95,3.6,7.8,0.46799999999999997,0.51
Jayson Williams,C,75.0,6.0,13.1,4.8,2.4,3.3,5.7,0.5,0.35,0.44,0.8,2.1,2.0,4.3,0.461,0.0,0.1,0.0,0.9,1.6,0.53,2.0,4.2,0.469,0.46
Kenny Anderson,PG,72.0,70.0,37.3,17.6,1.0,2.5,3.5,9.4,1.43,0.19,3.1,2.6,5.7,14.300000000000002,0.39899999999999997,1.3,4.1,0.33,4.8,5.8,0.84,4.4,10.2,0.426,0.44999999999999996
P.J. Brown,PF,80.0,63.0,30.8,8.1,2.2,3.9,6.1,1.7,0.86,1.69,1.0,3.3,3.2,7.1,0.446,0.1,0.3,0.16699999999999998,1.7,2.6,0.67,3.1,6.8,0.458,0.45
Dwayne Schintzius,C,43.0,11.0,7.3999999999999995,2.0,0.7,1.2,1.9000000000000001,0.3,0.07,0.39999999999999997,0.39999999999999997,1.0,1.0,2.5,0.38,0.0,0.0,0.0,0.09999999999999999,0.3,0.55,1.0,2.5,0.38,0.38
Sean Higgins,G,57.0,7.0,12.9,4.7,0.4,0.9,1.4,0.5,0.18,0.16000000000000003,0.6,1.6,1.8,4.8,0.385,0.4,1.4,0.295,0.6,0.7,0.8800000000000001,1.4,3.4,0.42100000000000004,0.42999999999999994
Chris Childs,G,53.0,11.0,19.3,5.8,0.3,1.0,1.3,4.1,0.79,0.06,1.3999999999999997,2.2,2.0,5.3,0.38,0.8000000000000002,2.4,0.32799999999999996,1.0,1.3999999999999997,0.75,1.2,2.9,0.42200000000000004,0.45
Chris Morris,F,71.0,49.0,30.0,13.4,2.5,3.1,5.7,2.1,1.21,0.72,1.6,2.2,4.9,12.1,0.41,1.5,4.5,0.33399999999999996,2.0,2.7,0.73,3.4,7.6000000000000005,0.455,0.47
Rick Mahorn,F,58.0,7.0,10.9,3.4,0.8,2.0,2.8,0.4,0.19,0.21,0.6,1.6,1.4,2.6,0.523,0.0,0.1,0.33299999999999996,0.7,0.8,0.8,1.4,2.5,0.527,0.53
Yinka Dare,C,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Rex Walters,G,80.0,30.0,17.9,6.5,0.2,0.9,1.2,1.5,0.4600000000000001,0.2,0.9,1.7,2.6,5.9,0.43899999999999995,0.9,2.5,0.36200000000000004,0.5,0.7,0.77,1.7,3.4,0.495,0.51
Derrick Coleman,PF,56.0,54.0,37.6,20.5,3.0,7.6,10.6,3.3,0.63,1.68,3.1,2.9,6.6,15.6,0.424,0.5,2.1,0.233,6.7,8.8,0.7700000000000001,6.1,13.5,0.454,0.44
Benoit Benjamin,C,61.0,57.0,26.2,11.1,1.5,5.7,7.2,0.6,0.38,1.05,2.0,2.5,4.4,8.7,0.51,0.0,0.0,0.0,2.2,2.9,0.76,4.4,8.7,0.51,0.51
Armen Gilliam,F,82.0,30.0,30.100000000000005,14.800000000000002,2.3,5.1,7.5,1.2,0.82,1.09,1.8999999999999997,2.1,5.5,11.0,0.503,0.0,0.0,0.0,3.7000000000000006,4.8,0.77,5.5,11.0,0.504,0.5
