PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,AFG%
Adrian Griffin,SG,44.0,0.0,8.6,2.1,0.6,1.4,2.0,0.6,0.41,0.11,0.4,1.0,0.8,2.2,0.34,0.2,0.6,0.34600000000000003,0.4,0.5,0.75,0.6,1.6,0.33799999999999997,0.39
Chris Herren,G,25.0,7.0,16.3,3.3,0.2,0.7,0.8,2.2,0.56,0.0,0.8,1.7,1.2,3.8,0.302,0.6,2.2,0.29100000000000004,0.4,0.5,0.75,0.6,1.6,0.317,0.39
Rick Brunson,PG,22.0,0.0,9.459090909090909,2.063636363636364,0.2318181818181818,0.7272727272727273,0.9590909090909091,1.4227272727272728,0.36590909090909096,0.04454545454545455,0.7545454545454546,0.9363636363636363,0.7863636363636363,2.477272727272727,0.3780454545454546,0.09545454545454546,0.6454545454545455,0.05790909090909091,0.39545454545454545,0.6863636363636364,0.5968181818181818,0.6909090909090909,1.8318181818181818,0.44686363636363635,0.38499999999999995
Kenny Anderson,PG,33.0,28.0,25.7,7.5,0.5,1.7,2.2,4.1,1.33,0.06,1.6,1.9,2.7,6.9,0.38799999999999996,0.3,1.0,0.33299999999999996,1.8,2.2,0.83,2.4,5.9,0.397,0.41
Bryant Stith,G,78.0,74.0,32.1,9.7,0.8,2.8,3.6,2.2,1.19,0.18,1.2,2.3,3.1,7.8,0.401,1.2,3.1,0.376,2.2,2.7,0.85,1.9,4.7,0.41700000000000004,0.48
Randy Brown,G,54.0,35.0,22.9,4.1,0.4,1.4,1.8,2.9,1.15,0.19,1.0,2.4,1.9,4.4,0.4220000000000001,0.0,0.1,0.0,0.4,0.7,0.58,1.9,4.3,0.42700000000000005,0.42
Eric Williams,PF,81.0,11.0,21.5,6.6000000000000005,0.7999999999999999,1.8,2.6,1.4,0.79,0.16,0.9,2.2,2.0,5.5,0.36200000000000004,0.6,1.7,0.331,2.0,2.9,0.71,1.4,3.8000000000000003,0.375,0.41000000000000003
Paul Pierce,SF,82.0,82.0,38.0,25.299999999999997,1.1,5.2,6.400000000000001,3.1,1.68,0.84,3.2000000000000006,3.1,8.4,18.5,0.45399999999999996,1.7999999999999998,4.7,0.38299999999999995,6.699999999999999,9.0,0.75,6.599999999999999,13.800000000000002,0.478,0.5
Jerome Moiso,C,24.0,0.0,5.599999999999999,1.5,0.5,1.3,1.8,0.10000000000000002,0.13,0.17,0.8000000000000002,1.2,0.5,1.3,0.4000000000000001,0.0,0.0,0.0,0.5,1.1,0.42,0.5,1.3,0.414,0.4000000000000001
Vitaly Potapenko,C,82.0,7.0,23.2,7.5,2.5,3.5,6.0,0.8000000000000002,0.63,0.28,1.3,2.8,3.0,6.400000000000001,0.47600000000000003,0.0,0.0,0.0,1.4,1.8999999999999997,0.73,3.0,6.400000000000001,0.47600000000000003,0.48
