TEAM,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
bos,Kedrick Brown, SG,29,5,8.4,2.2,0.4,1.3,1.7,0.5,0.62,0.24,0.2,0.6,2.1,0.8,2.4,.329,0.2,0.9,.185,0.4,0.7,0.60,0.6,1.5,.419,.900,0.36
bos,Walter McCarty, PF,56,0,12.8,3.8,0.6,1.7,2.3,0.7,0.32,0.13,0.4,1.5,1.9,1.4,3.2,.444,0.7,1.8,.394,0.2,0.3,0.68,0.7,1.4,.506,1.178,0.55
bos,Kenny Anderson, PG,76,76,32.0,9.6,0.8,2.9,3.6,5.3,1.86,0.13,1.6,2.8,3.4,4.1,9.4,.436,0.1,0.4,.273,1.3,1.7,0.74,4.0,9.0,.444,1.021,0.44
bos,Tony Battie, C,74,73,24.6,6.9,2.5,4.0,6.5,0.5,0.81,0.91,0.7,3.0,0.7,2.9,5.3,.541,0.0,0.0,.000,1.2,1.8,0.68,2.9,5.3,.544,1.308,0.54
bos,Vitaly Potapenko, C,79,9,17.0,4.6,2.1,2.3,4.4,0.4,0.47,0.23,0.8,2.2,0.5,1.7,3.8,.455,0.0,0.0,.000,1.1,1.5,0.74,1.7,3.8,.455,1.206,0.46
bos,Paul Pierce, SF,82,82,40.3,26.1,1.0,5.9,6.9,3.2,1.88,1.05,2.9,2.9,1.1,8.6,19.5,.442,2.6,6.3,.404,6.3,7.8,0.81,6.0,13.2,.461,1.342,0.51
bos,Joseph Forte, G,8,0,4.9,0.8,0.1,0.6,0.8,0.8,0.25,0.00,0.4,0.1,2.0,0.1,1.5,.083,0.0,0.4,.000,0.5,0.5,1.00,0.1,1.1,.111,.500,0.08
bos,Joe Johnson, SF†,48,33,20.9,6.3,0.8,2.1,2.9,1.5,0.69,0.19,0.6,1.2,2.6,2.7,6.2,.439,0.5,1.8,.273,0.4,0.5,0.77,2.2,4.4,.510,1.027,0.48
bos,Eric Williams, PF,74,30,23.6,6.4,0.8,2.2,3.0,1.5,1.04,0.11,1.3,2.4,1.1,1.9,5.2,.374,0.3,1.2,.279,2.2,3.0,0.73,1.6,4.0,.401,1.226,0.41
bos,Antoine Walker, PF,81,81,42.0,22.1,1.9,7.0,8.8,5.0,1.51,0.47,3.1,2.9,1.6,8.2,20.9,.394,2.7,8.0,.344,3.0,4.0,0.74,5.5,12.9,.425,1.062,0.46
bos,Randy Brown, G,1,0,6.0,0.0,0.0,0.0,0.0,2.0,0.00,1.00,0.0,1.0,0.0,0.0,1.0,.000,0.0,0.0,.000,0.0,0.0,0.00,0.0,1.0,.000,.000,0.00
bos,Erick Strickland, PG,79,4,20.8,7.7,0.3,2.4,2.7,2.3,0.71,0.01,1.2,1.8,2.0,2.4,6.2,.389,1.2,3.1,.385,1.7,2.0,0.85,1.2,3.1,.394,1.242,0.49
bos,Mark Blount, C,44,0,9.4,2.1,0.6,1.3,1.9,0.2,0.36,0.43,0.5,1.3,0.4,0.7,1.7,.421,0.0,0.0,.000,0.7,0.8,0.81,0.7,1.7,.421,1.237,0.42
bos,Tony Delk, PG†,22,16,25.9,7.4,0.9,2.7,3.6,2.3,1.00,0.27,0.9,1.7,2.7,2.7,7.8,.349,0.9,3.0,.299,1.0,1.4,0.73,1.8,4.8,.381,.942,0.41
bos,Rodney Rogers, SF†,27,1,23.2,10.7,1.3,2.7,4.0,1.5,0.59,0.44,1.6,2.9,1.0,4.0,8.2,.482,1.4,3.5,.411,1.3,1.9,0.70,2.6,4.7,.535,1.297,0.57
bos,Milt Palacio, PG†,41,0,12.6,3.7,0.2,1.0,1.2,1.3,0.51,0.07,0.6,0.9,2.3,1.3,3.3,.385,0.3,0.8,.353,0.9,1.2,0.71,1.0,2.5,.396,1.126,0.43
bkn,Brian Scalabrine, PF,28,0,10.4,2.1,0.4,1.4,1.8,0.8,0.32,0.07,0.9,1.4,0.9,0.8,2.4,.343,0.1,0.4,.300,0.4,0.5,0.73,0.7,2.0,.351,.896,0.37
bkn,Brandon Armstrong, SG,35,0,5.6,1.8,0.3,0.2,0.5,0.2,0.20,0.03,0.2,0.7,1.0,0.8,2.4,.318,0.1,0.5,.294,0.1,0.3,0.50,0.7,1.9,.324,.753,0.35
bkn,Richard Jefferson, SF,79,9,24.3,9.4,1.1,2.6,3.7,1.8,0.81,0.61,1.4,2.7,1.3,3.4,7.5,.457,0.2,0.7,.232,2.4,3.4,0.71,3.2,6.8,.480,1.255,0.47
bkn,Kenyon Martin, PF,73,73,34.3,14.9,1.5,3.8,5.3,2.6,1.23,1.66,2.4,3.6,1.1,6.1,13.2,.463,0.2,0.9,.224,2.5,3.7,0.68,5.9,12.3,.480,1.129,0.47
bkn,Anthony Johnson, PG,34,0,10.8,2.8,0.3,0.6,0.9,1.4,0.91,0.03,0.6,0.9,2.4,1.1,2.6,.411,0.1,0.4,.333,0.5,0.7,0.64,1.0,2.2,.423,1.044,0.43
bkn,Jason Collins, C,77,9,18.3,4.5,1.7,2.2,3.9,1.1,0.38,0.61,0.9,2.2,1.1,1.5,3.6,.421,0.0,0.0,.500,1.5,2.1,0.70,1.5,3.6,.420,1.259,0.42
bkn,Keith Van Horn, PF,81,81,30.4,14.8,1.7,5.8,7.5,2.0,0.78,0.52,1.8,2.7,1.1,5.8,13.4,.433,1.2,3.6,.345,1.9,2.4,0.80,4.6,9.8,.465,1.101,0.48
bkn,Jason Kidd, PG,82,82,37.3,14.7,1.6,5.7,7.3,9.9,2.13,0.24,3.5,1.7,2.8,5.4,13.9,.391,1.4,4.4,.321,2.5,3.0,0.81,4.0,9.5,.424,1.062,0.44
bkn,Reggie Slater, F†,4,0,2.5,1.3,0.0,0.5,0.5,0.0,0.00,0.00,0.3,0.3,0.0,0.5,0.5,1.000,0.0,0.0,.000,0.3,0.3,1.00,0.5,0.5,1.000,2.500,1.00
bkn,Derrick Dial, SG†,25,0,10.0,2.9,0.5,1.3,1.8,1.2,0.32,0.16,0.5,0.5,2.4,1.2,3.8,.319,0.0,0.3,.000,0.5,0.7,0.72,1.2,3.5,.345,.777,0.32
bkn,Lucious Harris, SG,74,0,21.0,9.1,0.7,2.1,2.8,1.6,0.72,0.08,0.8,1.3,1.9,3.4,7.3,.464,0.6,1.6,.373,1.8,2.1,0.84,2.8,5.7,.489,1.257,0.50
bkn,Steve Goodrich, F,9,0,5.6,0.6,0.1,0.4,0.6,0.6,0.11,0.22,0.3,1.1,1.7,0.2,1.1,.200,0.0,0.0,.000,0.1,0.2,0.50,0.2,1.1,.200,.500,0.20
bkn,Donny Marshall, F,20,0,5.9,1.5,0.4,0.7,1.1,0.3,0.15,0.00,0.1,0.7,2.5,0.4,1.5,.276,0.1,0.2,.500,0.6,0.9,0.67,0.3,1.3,.240,1.034,0.31
bkn,Kerry Kittles, SG,82,82,31.7,13.4,0.8,2.5,3.4,2.6,1.59,0.38,1.3,1.3,2.0,5.3,11.5,.466,1.2,3.0,.405,1.6,2.1,0.74,4.1,8.5,.487,1.172,0.52
bkn,Todd MacCulloch, C,62,61,24.2,9.7,2.5,3.6,6.1,1.3,0.39,1.44,1.1,2.9,1.2,4.0,7.5,.531,0.0,0.0,.000,1.8,2.6,0.67,4.0,7.5,.531,1.299,0.53
bkn,Aaron Williams, C,82,13,18.9,7.2,1.4,2.7,4.1,0.9,0.35,0.93,1.0,2.6,1.0,2.8,5.4,.526,0.0,0.0,.000,1.6,2.3,0.70,2.8,5.4,.529,1.349,0.53
ny,Clarence Weatherspoon, PF,56,41,30.9,8.8,2.7,5.6,8.2,1.1,0.66,0.86,0.8,2.4,1.3,3.4,8.1,.418,0.0,0.0,.000,2.1,2.6,0.79,3.4,8.1,.418,1.093,0.42
ny,Shandon Anderson, SF,82,6,19.5,5.0,0.7,2.3,3.0,0.9,0.59,0.18,1.2,1.6,0.8,1.8,4.5,.399,0.5,1.7,.277,0.9,1.3,0.69,1.3,2.8,.474,1.102,0.45
ny,Larry Robinson, G,2,0,5.0,1.5,0.0,1.0,1.0,0.0,0.00,0.00,0.0,0.5,0.0,0.5,2.0,.250,0.5,1.0,.500,0.0,0.0,0.00,0.0,1.0,.000,.750,0.38
ny,Kurt Thomas, PF,82,82,33.8,13.9,2.6,6.5,9.1,1.1,0.87,0.96,1.9,4.2,0.6,5.6,11.4,.494,0.0,0.1,.167,2.6,3.2,0.82,5.6,11.3,.496,1.219,0.49
ny,Howard Eisley, PG,39,0,15.6,4.4,0.2,1.0,1.3,2.6,0.62,0.08,1.4,1.4,1.9,1.5,4.5,.337,0.4,1.5,.241,1.0,1.3,0.80,1.1,3.0,.385,.977,0.38
ny,Travis Knight, C,49,0,8.8,2.0,1.0,1.1,2.1,0.2,0.22,0.20,0.6,1.9,0.3,0.8,2.3,.363,0.0,0.0,.000,0.3,0.4,0.76,0.8,2.3,.363,.867,0.36
ny,Mark Jackson, PG,82,82,28.9,8.4,0.7,3.1,3.8,7.4,0.90,0.01,1.8,2.0,4.0,3.2,7.2,.439,1.0,2.4,.405,1.1,1.3,0.79,2.2,4.8,.456,1.159,0.51
ny,Latrell Sprewell, SG,81,81,41.1,19.4,0.7,3.0,3.7,3.9,1.16,0.17,2.8,2.0,1.4,7.1,17.5,.404,1.8,5.0,.360,3.5,4.3,0.82,5.3,12.5,.421,1.110,0.45
ny,Othella Harrington, PF,77,4,20.3,7.7,1.6,2.9,4.5,0.5,0.39,0.47,1.2,3.2,0.4,3.1,5.8,.527,0.0,0.0,.000,1.6,2.2,0.71,3.1,5.8,.529,1.324,0.53
ny,Charlie Ward, PG,63,0,16.8,5.2,0.2,1.8,2.0,3.2,1.08,0.22,1.2,1.6,2.7,1.8,4.8,.373,0.8,2.6,.323,0.7,0.9,0.81,1.0,2.2,.432,1.076,0.46
ny,Marcus Camby, C,29,29,34.7,11.1,3.1,8.0,11.1,1.1,1.17,1.72,1.4,3.7,0.8,4.5,10.0,.448,0.0,0.0,.000,2.1,3.4,0.63,4.5,10.0,.450,1.110,0.45
ny,Felton Spencer, C,32,8,7.8,0.9,0.5,1.1,1.6,0.1,0.22,0.25,0.4,2.3,0.3,0.2,0.8,.231,0.0,0.0,.000,0.5,1.0,0.52,0.2,0.8,.231,1.115,0.23
ny,Allan Houston, SG,77,77,37.8,20.4,0.5,2.8,3.3,2.5,0.70,0.13,2.2,2.4,1.1,7.4,16.9,.437,1.8,4.5,.393,3.8,4.4,0.87,5.6,12.4,.452,1.204,0.49
ny,Lavor Postell, G,23,0,7.8,4.0,0.1,0.6,0.7,0.2,0.26,0.00,0.5,0.3,0.5,1.2,3.7,.333,0.3,1.1,.231,1.3,1.8,0.76,0.9,2.6,.379,1.107,0.37
phi,Speedy Claxton, PG,67,18,22.8,7.2,0.7,1.7,2.4,3.0,1.42,0.09,1.4,2.2,2.1,2.7,6.7,.400,0.1,0.5,.121,1.7,2.0,0.84,2.6,6.2,.422,1.062,0.40
phi,Michael Ruffin, PF,15,0,11.3,1.1,1.5,1.9,3.4,0.3,0.33,0.53,0.7,1.5,0.5,0.5,1.7,.269,0.0,0.0,.000,0.1,0.5,0.25,0.5,1.7,.269,.615,0.27
phi,Corie Blount, PF,72,21,19.8,3.6,2.1,3.0,5.1,0.6,0.68,0.36,0.7,2.4,0.8,1.6,3.5,.458,0.0,0.0,.000,0.4,0.6,0.64,1.6,3.5,.460,1.032,0.46
phi,Tim James, F,9,0,4.6,1.3,0.6,0.2,0.8,0.1,0.00,0.11,0.3,0.6,0.3,0.6,1.4,.385,0.0,0.0,.000,0.2,0.7,0.33,0.6,1.4,.385,.923,0.38
phi,Samuel Dalembert, C,34,0,5.2,1.5,0.7,1.3,2.0,0.1,0.18,0.38,0.4,0.9,0.4,0.6,1.5,.440,0.0,0.0,.000,0.2,0.5,0.39,0.6,1.5,.440,1.020,0.44
phi,Alvin Jones, C,23,2,5.5,1.1,0.6,1.0,1.6,0.1,0.13,0.39,0.5,1.5,0.3,0.3,0.9,.400,0.0,0.0,.000,0.4,0.9,0.50,0.3,0.9,.400,1.300,0.40
phi,Matt Harpring, SF,81,81,31.4,11.8,2.5,4.6,7.1,1.3,0.86,0.06,1.6,2.5,0.8,4.8,10.3,.461,0.3,0.9,.304,2.0,2.7,0.74,4.5,9.4,.475,1.143,0.47
phi,Jabari Smith, C†,11,0,10.0,5.0,0.5,0.7,1.3,0.5,0.36,0.18,0.3,1.7,1.7,1.8,3.8,.476,0.0,0.2,.000,1.4,1.8,0.75,1.8,3.6,.500,1.310,0.48
phi,Ira Bowman, G,3,0,9.7,3.3,0.0,0.3,0.3,0.3,0.67,0.00,0.0,1.0,0.0,1.7,2.3,.714,0.0,0.3,.000,0.0,0.0,0.00,1.7,2.0,.833,1.429,0.71
phi,Allen Iverson, SG,60,59,43.7,31.4,0.7,3.8,4.5,5.5,2.80,0.22,4.0,1.7,1.4,11.1,27.8,.398,1.3,4.5,.291,7.9,9.8,0.81,9.8,23.3,.419,1.128,0.42
phi,Damone Brown, PF,17,0,3.9,1.4,0.1,0.1,0.2,0.1,0.06,0.06,0.5,0.6,0.2,0.5,1.2,.381,0.0,0.1,.000,0.4,0.5,0.88,0.5,1.1,.400,1.095,0.38
