PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,AFG%
Jiri Welsch,GF,81.0,68.0,26.900000000000002,9.2,0.7,2.9,3.6999999999999997,2.3,1.25,0.09,1.5999999999999999,2.2,3.1999999999999997,7.6000000000000005,0.428,0.9,2.2,0.381,1.9000000000000001,2.5,0.74,2.3,5.4,0.44799999999999995,0.4799999999999999
Ricky Davis,SG,79.0,27.0,31.293670886075947,14.434177215189873,0.9443037974683544,3.545569620253165,4.562025316455696,3.2683544303797474,1.219367088607595,0.2806329113924051,2.378481012658228,2.1556962025316455,5.667088607594937,12.007594936708859,0.47212658227848103,0.6556962025316455,1.767088607594937,0.37275949367088607,2.4443037974683546,3.4721518987341775,0.7160759493670886,5.011392405063291,10.240506329113924,0.48901265822784806,0.5032911392405064
Dana Barros,PG,1.0,0.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.667,0.0,0.0,0.0,2.0,2.0,1.0,2.0,3.0,0.667,0.67
Kendrick Perkins,C,10.0,0.0,3.5,2.2,0.5,0.9,1.4,0.3,0.0,0.2,0.5,0.6,0.8,1.5,0.5329999999999999,0.0,0.0,0.0,0.6,0.9,0.67,0.8,1.5,0.5329999999999999,0.53
Brandon Hunter,PF,36.0,12.0,11.3,3.5,1.4,1.8999999999999997,3.3,0.5,0.36,0.030000000000000002,0.6,1.1,1.5,3.2,0.4570000000000001,0.0,0.1,0.0,0.5,1.2,0.44,1.5,3.1,0.46900000000000003,0.4600000000000001
Kedrick Brown,SG,55.0,26.0,17.607272727272726,5.261818181818182,0.7763636363636364,1.9054545454545457,2.643636363636363,1.1381818181818184,0.5441818181818182,0.1309090909090909,0.5381818181818182,1.429090909090909,2.1,4.638181818181818,0.4611818181818182,0.7236363636363637,1.809090909090909,0.3830363636363636,0.3381818181818182,0.47636363636363643,0.6323636363636363,1.3763636363636365,2.8290909090909095,0.5115454545454545,0.5385454545454547
Michael Stewart,PF,25.0,2.0,5.896,0.524,0.32799999999999996,0.852,1.144,0.0,0.0824,0.40159999999999996,0.1,1.3760000000000003,0.196,0.49200000000000005,0.40928000000000003,0.0,0.0,0.0,0.16399999999999998,0.16399999999999998,0.66,0.196,0.49200000000000005,0.40928000000000003,0.4096
Paul Pierce,SF,80.0,80.0,38.7,23.0,0.9,5.7,6.5,5.1,1.64,0.65,3.8,2.9,7.5,18.7,0.402,1.4,4.8,0.299,6.5,7.9,0.82,6.1,13.9,0.4379999999999999,0.44000000000000006
Tony Battie,C,73.0,7.0,20.224657534246578,5.557534246575343,1.6315068493150684,3.263013698630137,4.894520547945206,0.763013698630137,0.3568493150684931,0.9179452054794521,0.863013698630137,2.1945205479452055,2.331506849315068,5.236986301369863,0.4433835616438357,0.0,0.136986301369863,0.4006849315068493,0.9315068493150684,1.1945205479452055,0.747945205479452,2.331506849315068,5.1,0.447972602739726,0.44575342465753426
Chucky Atkins,PG,64.0,24.0,24.125,8.375,0.1625,1.3625,1.4625,3.4875,0.7050000000000001,0.03375,1.425,1.6125,2.9875,7.5875,0.3905,1.2875,3.7874999999999996,0.3335,1.175,1.5499999999999998,0.7424999999999999,1.7000000000000002,3.8,0.45037499999999997,0.47500000000000003
Raef LaFrentz,C,17.0,1.0,19.3,7.8,1.8,2.9,4.6,1.4,0.47,0.76,0.6,2.8,3.4,7.3,0.46,0.5,2.4,0.2,0.6,0.8,0.77,2.9,4.9,0.583,0.49
Marcus Banks,PG,81.0,2.0,17.1,5.9,0.39999999999999997,1.3,1.5999999999999999,2.2,1.09,0.16,1.5,2.1,2.2,5.5,0.39999999999999997,0.3,1.1,0.314,1.2,1.5999999999999999,0.76,1.9000000000000001,4.4,0.4210000000000001,0.43
Vin Baker,PF,54.0,33.0,24.29259259259259,9.82037037037037,2.1,3.0962962962962965,5.196296296296297,1.2481481481481482,0.5333333333333333,0.5916666666666667,1.4314814814814814,2.914814814814815,3.838888888888889,7.992592592592593,0.4732037037037036,0.031481481481481485,0.031481481481481485,0.1574074074074074,2.1055555555555556,2.874074074074074,0.7237037037037036,3.8074074074074074,7.96111111111111,0.47325925925925927,0.4716666666666666
Mark Blount,C,82.0,73.0,29.299999999999997,10.3,2.5,4.7,7.199999999999999,0.8999999999999999,0.98,1.29,1.7999999999999998,3.1,4.2,7.400000000000001,0.5660000000000001,0.0,0.0,0.0,1.8999999999999997,2.7,0.72,4.2,7.400000000000001,0.5660000000000001,0.57
Eric Williams,PF,71.0,36.0,26.583098591549298,10.050704225352113,0.9295774647887324,3.0774647887323945,4.007042253521127,1.6929577464788732,0.9866197183098591,0.12746478873239436,1.2183098591549295,2.5704225352112675,3.277464788732394,8.4,0.38640845070422536,0.5,1.7816901408450705,0.2799154929577465,2.9957746478873237,4.00281690140845,0.7692957746478873,2.777464788732394,6.618309859154929,0.41556338028169015,0.41366197183098585
Mike James,PG,81.0,55.0,27.101234567901233,9.287654320987654,0.36790123456790125,2.511111111111111,2.879012345679012,4.17530864197531,1.1833333333333333,0.04,1.5320987654320988,1.9716049382716048,3.38641975308642,8.144444444444446,0.4125432098765432,1.34320987654321,3.458024691358024,0.37554320987654327,1.271604938271605,1.5395061728395063,0.8128395061728395,2.04320987654321,4.68641975308642,0.43961728395061733,0.49037037037037035
Jumaine Jones,SF,42.0,2.0,8.9,2.2,0.6,1.0,1.6,0.3,0.29,0.21000000000000002,0.5,1.1,0.8,2.3,0.344,0.3,1.0,0.295,0.3,0.5,0.61,0.5,1.3,0.38500000000000006,0.41
Walter McCarty,PF,77.0,23.0,24.7,7.900000000000001,0.4,2.7,3.1,1.6,0.94,0.29,1.2,2.3,2.6,6.800000000000001,0.38799999999999996,1.7999999999999998,4.8,0.374,0.8,1.1,0.76,0.8,2.0,0.41999999999999993,0.52
Chris Mihm,C,76.0,17.0,17.515789473684208,6.3315789473684205,2.0289473684210524,3.3473684210526318,5.476315789473684,0.2868421052631579,0.4881578947368421,0.8294736842105263,1.1710526315789473,2.7421052631578946,2.486842105263158,5.018421052631578,0.4898684210526316,0.0,0.0,0.0,1.4289473684210525,2.2,0.6602631578947369,2.486842105263158,5.018421052631578,0.4898684210526316,0.48842105263157903
Alonzo Mourning,C,12.0,0.0,17.9,8.0,0.6999999999999998,1.6000000000000003,2.3,0.6999999999999998,0.17,0.5,0.8000000000000002,2.7000000000000006,2.7999999999999994,5.900000000000001,0.465,0.0,0.0,0.0,2.5,2.7999999999999994,0.88,2.7999999999999994,5.900000000000001,0.465,0.46
Brian Scalabrine,PF,69.0,2.0,13.4,3.5,0.6,1.9,2.5,0.9,0.3,0.2,0.6,1.6,1.2,3.2,0.395,0.1,0.6,0.24399999999999997,0.8,1.0,0.83,1.1,2.6,0.429,0.42
Brandon Armstrong,SG,56.0,0.0,7.8,2.7,0.2,0.6,0.8,0.3,0.21,0.04,0.4,0.9,1.2,3.1,0.371,0.3,0.9,0.36499999999999994,0.0,0.1,0.5,0.9,2.2,0.374,0.43
Richard Jefferson,SF,82.0,82.0,38.2,18.5,1.3,4.3,5.7,3.7999999999999994,1.12,0.34,2.4,2.7,6.800000000000001,13.600000000000001,0.498,0.6,1.6000000000000003,0.364,4.4,5.7,0.76,6.2,12.0,0.516,0.52
Kenyon Martin,PF,65.0,62.0,34.6,16.7,2.0,7.4,9.5,2.5,1.46,1.26,2.6,3.5,6.8,13.8,0.488,0.1,0.4,0.28,3.1,4.5,0.68,6.7,13.4,0.494,0.49
Anthony Goldwire,PG,11.0,0.0,7.745454545454546,1.5636363636363635,0.09090909090909091,0.5636363636363636,0.6545454545454545,1.018181818181818,0.45272727272727276,0.0,0.29090909090909095,0.45454545454545453,0.6181818181818182,1.981818181818182,0.29863636363636364,0.18181818181818182,0.7090909090909091,0.15136363636363634,0.09090909090909091,0.09090909090909091,0.45454545454545453,0.43636363636363634,1.2727272727272727,0.35209090909090907,0.3318181818181818
Jason Collins,C,78.0,78.0,28.5,5.9,1.8,3.3,5.1,2.0,0.86,0.72,1.2,3.2,2.1,4.9,0.42399999999999993,0.0,0.0,0.0,1.7,2.4,0.74,2.1,4.9,0.42700000000000005,0.42
Damone Brown,PF,3.0,0.0,5.7,1.0,1.0,0.6999999999999998,1.7,0.0,0.67,0.0,0.3,0.6999999999999998,0.3,3.2999999999999994,0.10000000000000002,0.0,0.0,0.0,0.3,0.6999999999999998,0.5,0.3,3.2999999999999994,0.10000000000000002,0.10000000000000002
Zoran Planinic,PG,49.0,1.0,9.7,3.1,0.3,0.8,1.1,1.4,0.27,0.06,0.7,1.4,1.1,2.6,0.41100000000000003,0.2,0.7,0.281,0.8,1.2,0.63,0.9,1.9,0.45399999999999996,0.45
Jason Kidd,PG,67.0,66.0,36.6,15.5,1.3,5.1,6.4,9.2,1.82,0.21,3.2,1.6,5.5,14.3,0.384,1.4,4.4,0.321,3.1,3.7,0.83,4.1,9.9,0.41100000000000003,0.43
Robert Pack,PG,26.0,0.0,8.5,1.9,0.2,0.5,0.7,1.0,0.46,0.04,0.6,0.8,0.8,2.0,0.423,0.0,0.0,0.0,0.2,0.2,0.83,0.8,2.0,0.423,0.42
Hubert Davis,SG,17.0,0.0,4.570588235294117,0.24705882352941178,0.0823529411764706,0.3294117647058824,0.49411764705882355,0.21764705882352942,0.11529411764705884,0.0,0.13529411764705881,0.723529411764706,0.0823529411764706,0.6176470588235294,0.09141176470588236,0.0,0.05294117647058823,0.0,0.0823529411764706,0.0823529411764706,0.8235294117647058,0.0823529411764706,0.5647058823529413,0.09141176470588236,0.09058823529411765
Rodney Rogers,SF,69.0,15.0,20.4,7.799999999999999,1.4,3.0,4.4,2.0,0.86,0.39,1.4,2.7,3.0,7.3,0.41,0.7,2.2,0.32899999999999996,1.1,1.4,0.77,2.3,5.1,0.445,0.46
Doug Overton,PG,61.0,11.0,16.954098360655735,3.644262295081967,0.27049180327868855,1.1918032786885246,1.3721311475409836,2.2327868852459014,0.42245901639344263,0.036065573770491806,0.9311475409836065,1.4213114754098362,1.5819672131147542,4.004918032786885,0.4020491803278689,0.09016393442622951,0.36065573770491804,0.11721311475409836,0.39016393442622954,0.48032786885245904,0.7475409836065574,1.4918032786885247,3.644262295081967,0.4290983606557377,0.4070491803278688
Mikki Moore,C,32.0,0.0,12.387500000000001,4.0874999999999995,0.9125,1.7,2.6,0.6124999999999999,0.21875,0.4025,0.7000000000000001,2.05,1.6125,3.1375,0.48087500000000005,0.0,0.0,0.0,0.9625000000000001,1.1375,0.7525,1.6125,3.1375,0.48087500000000005,0.48000000000000004
Kerry Kittles,SG,82.0,82.0,34.7,13.100000000000001,0.7,3.2999999999999994,4.0,2.5,1.52,0.49,1.2,1.7999999999999998,5.3,11.7,0.4529999999999999,1.2,3.4000000000000004,0.35100000000000003,1.3,1.7000000000000002,0.79,4.1,8.3,0.49300000000000005,0.5
Aaron Williams,C,72.0,7.0,18.6,6.3,1.4,2.7,4.1,1.1,0.47,0.64,1.2,2.6,2.4,4.8,0.503,0.0,0.0,0.33299999999999996,1.5,2.2,0.68,2.4,4.8,0.504,0.5
Tamar Slay,SG,22.0,0.0,7.5,2.4,0.5,0.7,1.1,0.6,0.32,0.05,0.5,0.9,1.0,2.7,0.35,0.2,0.5,0.33299999999999996,0.3,0.6,0.5,0.8,2.2,0.354,0.37999999999999995
Lucious Harris,SG,69.0,15.0,21.8,6.9,0.6,1.5,2.0,2.0,0.59,0.03,0.8,1.1,2.7,6.7,0.40399999999999997,0.6,1.5,0.376,1.0,1.1,0.85,2.1,5.2,0.41200000000000003,0.44
Michael Doleac,C,72.0,0.0,14.28611111111111,4.4944444444444445,1.2277777777777779,2.4388888888888887,3.6666666666666665,0.6277777777777778,0.3194444444444444,0.49833333333333335,0.6555555555555556,1.9444444444444444,1.947222222222222,4.466666666666667,0.43244444444444446,0.0,0.0,0.0,0.6277777777777778,0.7277777777777779,0.8672222222222222,1.947222222222222,4.466666666666667,0.43244444444444446,0.42916666666666664
Howard Eisley,PG,67.0,23.0,21.744776119402985,6.902985074626866,0.3014925373134329,1.6477611940298509,1.9492537313432834,4.040298507462686,0.8338805970149255,0.07477611940298508,1.4492537313432834,2.0417910447761196,2.450746268656716,6.708955223880597,0.3701194029850747,0.7492537313432837,2.4477611940298507,0.3183432835820896,1.1522388059701494,1.3537313432835822,0.8595522388059702,1.7014925373134329,4.2611940298507465,0.4028955223880597,0.4294029850746269
Shandon Anderson,SF,80.0,37.0,24.7,7.9,0.7,2.1,2.8,1.5,0.85,0.21000000000000002,1.5,2.3,3.0,7.1,0.42200000000000004,0.5,1.6,0.281,1.5,2.0,0.76,2.5,5.5,0.46299999999999997,0.45
Bruno Sundov,C,5.0,0.0,6.640000000000001,2.2399999999999998,0.4,1.6,2.0,0.2,0.0,0.0,0.64,1.8399999999999999,0.8400000000000001,2.04,0.4664,0.0,0.0,0.0,0.64,1.2,0.4,0.8400000000000001,2.04,0.4664,0.4640000000000001
Moochie Norris,PG,66.0,0.0,12.854545454545455,3.5727272727272723,0.15454545454545454,0.8454545454545455,1.0,1.8181818181818181,0.6663636363636364,0.07545454545454545,0.9454545454545454,0.7727272727272727,1.2272727272727273,3.2818181818181817,0.3634545454545455,0.29999999999999993,0.9090909090909091,0.34527272727272723,0.8181818181818182,1.072727272727273,0.7609090909090909,0.9272727272727272,2.372727272727273,0.3706363636363637,0.4090909090909091
Othella Harrington,PF,56.0,3.0,15.6,4.6,1.0,2.1,3.2,0.5,0.21,0.25,1.2,2.4,1.8,3.6,0.495,0.0,0.0,0.0,1.0,1.4,0.74,1.8,3.6,0.495,0.5
Charlie Ward,PG,71.0,10.0,17.616901408450705,5.961971830985916,0.19859154929577463,1.891549295774648,1.9901408450704228,3.074647887323944,0.8988732394366198,0.153943661971831,1.3915492957746478,1.491549295774648,2.2859154929577468,5.473239436619719,0.3933239436619719,1.1929577464788732,2.885915492957746,0.3975774647887324,0.2971830985915493,0.39718309859154927,0.7143661971830986,1.0929577464788731,2.5873239436619717,0.3900422535211267,0.49915492957746477
Allan Houston,SG,50.0,50.0,36.0,18.5,0.4,2.0,2.4,2.0,0.76,0.04,2.0,2.1,6.8,15.6,0.435,1.7,4.0,0.431,3.1,3.4,0.91,5.1,11.6,0.43700000000000006,0.49
Keith Van Horn,PF,72.0,62.0,32.49305555555556,16.156944444444445,2.0652777777777778,4.887499999999999,6.9527777777777775,1.6958333333333335,0.9468055555555556,0.4563888888888889,2.326388888888889,2.9916666666666667,5.695833333333333,12.51388888888889,0.45437500000000003,1.2999999999999998,3.2263888888888888,0.40251388888888884,3.4652777777777777,3.9916666666666663,0.8651388888888889,4.395833333333333,9.2875,0.4730833333333333,0.5038888888888889
Stephon Marbury,PG,81.0,81.0,40.14938271604939,20.219753086419754,0.7160493827160493,2.551851851851852,3.225925925925926,8.880246913580248,1.5898765432098765,0.11518518518518517,3.074074074074074,2.1419753086419755,7.351851851851852,17.103703703703705,0.43141975308641983,1.1,3.383950617283951,0.3180617283950617,4.3580246913580245,5.341975308641976,0.81320987654321,6.2518518518518515,13.719753086419756,0.4592592592592593,0.4600000000000001
Penny Hardaway,SF,76.0,14.0,27.568421052631578,9.197368421052632,0.9105263157894737,2.873684210526316,3.78421052631579,2.3473684210526313,0.9194736842105262,0.26763157894736844,1.3657894736842104,1.8999999999999997,3.6657894736842107,8.939473684210526,0.4137105263157894,0.4,1.0,0.3801052631578948,1.4210526315789473,1.786842105263158,0.8157894736842105,3.2657894736842104,7.939473684210526,0.41805263157894734,0.43684210526315786
Frank Williams,PG,56.0,3.0,12.8,3.9,0.1,0.8,0.9,2.2,0.45,0.11,1.1,1.0,1.4,3.7,0.38500000000000006,0.3,1.1,0.3,0.7,0.9,0.85,1.1,2.6,0.419,0.43
Clarence Weatherspoon,PF,52.0,1.0,16.676923076923078,5.023076923076923,1.3980769230769232,2.4711538461538463,3.9403846153846156,0.6153846153846154,0.5726923076923076,0.2865384615384615,0.6711538461538461,1.4423076923076923,1.9826923076923075,4.051923076923076,0.4877115384615385,0.0,0.0,0.0,0.9865384615384616,1.3711538461538462,0.7436538461538462,1.9826923076923075,4.051923076923076,0.4898461538461539,0.4855769230769231
Michael Sweetney,PF,42.0,1.0,11.8,4.3,1.6,2.1,3.7,0.3,0.43,0.29,0.8,1.4,1.6,3.3,0.493,0.0,0.0,0.0,1.0,1.4,0.72,1.6,3.3,0.496,0.48999999999999994
DerMarr Johnson,SF,21.0,1.0,13.7,5.4,0.2,1.6,1.9,0.5,0.38,0.33,0.8,1.5,1.6999999999999997,4.6,0.371,0.6,1.6999999999999997,0.361,1.3,1.5,0.9000000000000001,1.1,2.9,0.377,0.44
Tim Thomas,PF,66.0,65.0,31.672727272727276,14.718181818181819,0.9727272727272728,3.890909090909091,4.863636363636363,1.8454545454545455,0.9681818181818181,0.3054545454545455,1.7363636363636363,2.9636363636363634,5.50909090909091,12.281818181818181,0.44627272727272727,1.1,2.954545454545455,0.378,2.6,3.3000000000000003,0.7781818181818182,4.409090909090909,9.327272727272728,0.46845454545454546,0.4936363636363636
Kurt Thomas,PF,80.0,75.0,31.9,11.1,1.8,6.5,8.3,1.9,0.7,1.0,1.7,3.7,4.9,10.4,0.473,0.0,0.0,0.0,1.3,1.6,0.8299999999999998,4.9,10.4,0.475,0.4699999999999999
Nazr Mohammed,C,80.0,24.0,20.13,7.3775,2.2375,3.6737499999999996,5.91125,0.4675000000000001,0.69,0.65175,1.16875,2.40375,3.0725000000000002,5.9075,0.516625,0.0,0.0,0.0,1.2325000000000002,2.13375,0.5962500000000001,3.0725000000000002,5.9075,0.516625,0.513625
Cezary Trybanski,C,7.0,0.0,2.157142857142857,0.12857142857142856,0.0,0.17142857142857143,0.17142857142857143,0.0,0.14142857142857143,0.14285714285714285,0.2857142857142857,0.4714285714285714,0.0,0.5857142857142856,0.0,0.0,0.0,0.0,0.12857142857142856,0.29999999999999993,0.21428571428571427,0.0,0.5857142857142856,0.0,0.0
Dikembe Mutombo,C,65.0,56.0,23.0,5.6,2.2,4.5,6.7,0.4,0.26,1.89,0.8,2.2,2.2,4.5,0.478,0.0,0.0,0.0,1.2,1.8,0.68,2.2,4.5,0.478,0.48
Antonio McDyess,PF,42.0,20.0,22.085714285714285,6.914285714285714,1.6428571428571428,4.442857142857143,6.142857142857143,0.8714285714285713,0.8814285714285715,0.5700000000000001,1.3857142857142857,2.8285714285714287,2.9714285714285715,6.414285714285714,0.47285714285714286,0.0,0.0,0.0,0.914285714285714,1.6428571428571428,0.5457142857142857,2.9714285714285715,6.414285714285714,0.47285714285714286,0.4714285714285714
Kenny Thomas,PF,74.0,72.0,36.5,13.6,3.5,6.6,10.1,1.5,1.11,0.45000000000000007,2.3,3.0,5.1,11.0,0.469,0.0,0.1,0.2,3.3,4.4,0.75,5.1,10.9,0.47000000000000003,0.47000000000000003
