TEAM,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
bos,Adrian Griffin, SG,44,0,8.6,2.1,0.6,1.4,2.0,0.6,0.41,0.11,0.4,1.0,1.5,0.8,2.2,.340,0.2,0.6,.346,0.4,0.5,0.75,0.6,1.6,.338,.959,0.39
bos,Chris Herren, G,25,7,16.3,3.3,0.2,0.7,0.8,2.2,0.56,0.00,0.8,1.7,2.8,1.2,3.8,.302,0.6,2.2,.291,0.4,0.5,0.75,0.6,1.6,.317,.865,0.39
bos,Rick Brunson, PG†,7,0,20.3,3.7,0.3,1.0,1.3,3.4,1.00,0.14,1.3,2.3,2.7,1.4,5.0,.286,0.3,1.6,.182,0.6,1.3,0.44,1.1,3.4,.333,.743,0.31
bos,Kenny Anderson, PG,33,28,25.7,7.5,0.5,1.7,2.2,4.1,1.33,0.06,1.6,1.9,2.6,2.7,6.9,.388,0.3,1.0,.333,1.8,2.2,0.83,2.4,5.9,.397,1.084,0.41
bos,Bryant Stith, G,78,74,32.1,9.7,0.8,2.8,3.6,2.2,1.19,0.18,1.2,2.3,1.9,3.1,7.8,.401,1.2,3.1,.376,2.2,2.7,0.85,1.9,4.7,.417,1.237,0.48
bos,Randy Brown, G,54,35,22.9,4.1,0.4,1.4,1.8,2.9,1.15,0.19,1.0,2.4,2.8,1.9,4.4,.422,0.0,0.1,.000,0.4,0.7,0.58,1.9,4.3,.427,.941,0.42
bos,Eric Williams, PF,81,11,21.5,6.6,0.8,1.8,2.6,1.4,0.79,0.16,0.9,2.2,1.5,2.0,5.5,.362,0.6,1.7,.331,2.0,2.9,0.71,1.4,3.8,.375,1.194,0.41
bos,Paul Pierce, SF,82,82,38.0,25.3,1.1,5.2,6.4,3.1,1.68,0.84,3.2,3.1,1.0,8.4,18.5,.454,1.8,4.7,.383,6.7,9.0,0.75,6.6,13.8,.478,1.369,0.50
bos,Jerome Moiso, C,24,0,5.6,1.5,0.5,1.3,1.8,0.1,0.13,0.17,0.8,1.2,0.2,0.5,1.3,.400,0.0,0.0,.000,0.5,1.1,0.42,0.5,1.3,.414,1.167,0.40
bos,Vitaly Potapenko, C,82,7,23.2,7.5,2.5,3.5,6.0,0.8,0.63,0.28,1.3,2.8,0.6,3.0,6.4,.476,0.0,0.0,.000,1.4,1.9,0.73,3.0,6.4,.476,1.173,0.48
