PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,AFG%
Bimbo Coles,PG,35.0,11.0,19.76,4.420000000000001,0.34,1.36,1.7,2.06,0.48399999999999993,0.114,0.8200000000000001,1.68,1.6,4.819999999999999,0.35120000000000007,0.18,0.92,0.168,1.02,1.2,0.874,1.4200000000000002,3.9,0.3818,0.372
Mark Bryant,F,16.0,0.0,6.25625,0.8125000000000001,0.46875,0.7312500000000001,1.2875,0.26249999999999996,0.061875,0.061875,0.475,1.125,0.34375,1.15,0.202125,0.0,0.0,0.0,0.19375,0.26875,0.78125,0.34375,1.15,0.202125,0.199375
Kedrick Brown,SG,51.0,5.0,13.1,2.8,0.9,1.9,2.7,0.4,0.67,0.25,0.5,1.3,1.2,3.4,0.35700000000000004,0.1,0.8,0.077,0.4,0.6,0.63,1.1,2.6,0.439,0.37
Walter McCarty,PF,82.0,8.0,23.8,6.1,0.8000000000000002,2.7,3.5,1.3,0.9499999999999998,0.34,0.8000000000000002,2.3,2.1,5.1,0.414,1.1,3.0,0.36700000000000005,0.7,1.2,0.62,1.0,2.1,0.482,0.52
Mark Blount,C,81.0,31.0,17.333333333333332,4.933333333333334,1.3333333333333333,2.4,3.7999999999999994,0.6666666666666666,0.52,0.8366666666666667,1.2666666666666666,2.3333333333333335,1.8333333333333333,4.266666666666667,0.4496666666666666,0.0,0.0,0.0,1.2333333333333334,1.7,0.73,1.8333333333333333,4.266666666666667,0.4496666666666666,0.44666666666666677
Mikki Moore,C,8.0,0.0,5.375,2.25,0.7375,0.25,0.9875,0.375,0.0,0.50125,0.25,0.875,0.625,1.6125,0.260625,0.0,0.0,0.0,1.0,1.25,0.5,0.625,1.6125,0.260625,0.2625
Paul Pierce,SF,79.0,79.0,39.2,25.9,1.3,6.0,7.299999999999999,4.4,1.76,0.78,3.6000000000000005,2.9,8.4,20.2,0.41600000000000004,1.5,4.9,0.302,7.6,9.5,0.8,6.9,15.3,0.454,0.45000000000000007
Shammond Williams,PG,78.0,11.0,24.11153846153846,8.026923076923078,0.2692307692307692,1.8653846153846154,2.2346153846153847,3.4,0.9888461538461538,0.07730769230769231,1.4769230769230768,1.7730769230769232,2.9115384615384614,7.396153846153846,0.39392307692307693,1.203846153846154,3.342307692307692,0.3558076923076923,0.9692307692307691,1.3076923076923077,0.7811538461538461,1.7076923076923076,4.053846153846154,0.427,0.4765384615384616
Eric Williams,PF,82.0,79.0,28.700000000000003,9.1,1.7000000000000002,2.9,4.7,1.7000000000000002,1.05,0.22999999999999998,1.2,2.9,3.1,7.0,0.442,0.5,1.3,0.336,2.5,3.2999999999999994,0.75,2.6,5.7,0.467,0.47
J.R. Bremer,PG,64.0,41.0,23.5,8.3,0.3,2.0,2.3,2.6,0.59,0.05,0.9,1.3,2.7,7.3,0.369,1.6,4.5,0.353,1.3,1.7,0.77,1.1,2.8,0.39299999999999996,0.48
Tony Battie,C,67.0,62.0,25.1,7.3,2.2,4.3,6.5,0.7,0.49,1.21,0.7,2.9,3.0,5.5,0.539,0.0,0.1,0.2,1.3,1.8,0.75,3.0,5.4,0.544,0.54
Ruben Wolkowyski,F,7.0,0.0,3.4,0.7,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.4,0.3,0.6,0.5,0.0,0.1,0.0,0.1,0.6,0.25,0.3,0.5,0.667,0.5
Bruno Sundov,C,26.0,0.0,5.299999999999999,1.2,0.3,0.8,1.1,0.3,0.23,0.12000000000000001,0.3,0.9000000000000001,0.5,2.2,0.25,0.2,0.6,0.25,0.0,0.1,0.0,0.3,1.6,0.25,0.29
Grant Long,F,41.0,1.0,11.9,1.7999999999999998,0.6,1.4,2.0,0.6,0.22,0.02,0.5,1.5,0.7,1.7000000000000002,0.386,0.0,0.10000000000000002,0.0,0.4000000000000001,0.6,0.78,0.7,1.6000000000000003,0.40299999999999997,0.39
Tony Delk,PG,67.0,39.0,28.0,9.8,0.6,2.9,3.5,2.2,1.07,0.15,1.0,1.9,3.5,8.4,0.41600000000000004,1.8,4.5,0.395,1.0,1.3,0.78,1.7,3.9000000000000004,0.441,0.52
Antoine Walker,PF,78.0,78.0,41.5,20.1,1.3,5.9,7.2,4.8,1.49,0.4,3.3,2.8,7.7,19.9,0.38799999999999996,2.4,7.5,0.32299999999999995,2.3,3.7,0.62,5.3,12.4,0.42700000000000005,0.45
Vin Baker,PF,52.0,9.0,18.1,5.200000000000001,1.6999999999999997,2.1,3.8,0.6,0.42,0.58,1.2,2.8,1.9,4.0,0.478,0.0,0.1,0.0,1.4,2.1,0.67,1.9,3.8999999999999995,0.48799999999999993,0.48000000000000004
Brian Scalabrine,PF,59.0,7.0,12.3,3.1,0.7,1.7,2.4,0.8,0.27,0.31,0.8,1.3,1.2,2.9,0.402,0.2,0.7,0.35899999999999993,0.5,0.6,0.83,1.0,2.2,0.415,0.44
Brandon Armstrong,SG,17.0,0.0,4.1,1.4,0.0,0.2,0.2,0.1,0.18,0.06,0.3,0.5,0.5,1.6,0.33299999999999996,0.1,0.4,0.16699999999999998,0.3,0.4,0.83,0.4,1.2,0.381,0.35
Richard Jefferson,SF,80.0,80.0,36.0,15.5,1.9,4.6,6.4,2.5,1.0,0.55,2.0,2.7,5.7,11.4,0.501,0.1,0.3,0.25,4.1,5.5,0.74,5.6,11.1,0.507,0.5
Kenyon Martin,PF,77.0,77.0,34.1,16.7,2.1,6.2,8.3,2.4,1.27,0.9100000000000001,2.5,3.7999999999999994,6.6,14.100000000000001,0.47,0.1,0.6,0.209,3.3,5.1,0.65,6.5,13.5,0.4810000000000001,0.47
