TEAM,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
bos,Brian Scalabrine, PF,48,9,10.7,1.8,0.5,1.2,1.6,0.8,0.19,0.17,0.5,1.3,1.5,5.2,0.6,2.0,.309,0.3,1.0,.326,0.3,0.4,0.75,0.3,1.0,.292,.936,0.39
bos,Scot Pollard, C,22,0,7.9,1.8,0.6,1.0,1.7,0.1,0.14,0.27,0.2,2.0,0.6,8.7,0.5,1.0,.522,0.0,0.0,.000,0.7,1.0,0.68,0.5,1.0,.522,1.696,0.52
bos,James Posey, SF,74,2,24.6,7.4,0.4,3.9,4.4,1.5,0.97,0.26,0.9,2.5,1.8,12.2,2.3,5.6,.418,1.4,3.8,.380,1.3,1.6,0.81,0.9,1.8,.496,1.316,0.55
bos,Gabe Pruitt, PG,15,0,6.3,2.1,0.1,0.5,0.5,0.9,0.33,0.00,0.3,0.7,2.6,8.4,0.9,2.6,.359,0.2,0.8,.250,0.1,0.1,0.50,0.7,1.8,.407,.821,0.40
bos,Kendrick Perkins, C,78,78,24.5,6.9,1.9,4.2,6.1,1.1,0.40,1.46,1.6,3.1,0.7,13.4,2.7,4.5,.615,0.0,0.0,.000,1.5,2.3,0.62,2.7,4.5,.617,1.557,0.61
bos,P.J. Brown, PF,18,0,11.6,2.2,1.6,2.2,3.8,0.6,0.28,0.44,0.6,1.6,1.0,10.3,0.8,2.3,.341,0.0,0.1,.000,0.6,0.9,0.69,0.8,2.2,.350,.951,0.34
bos,Tony Allen, SG,75,11,18.3,6.6,0.5,1.8,2.2,1.5,0.83,0.28,1.5,2.2,1.0,10.8,2.3,5.2,.434,0.2,0.8,.316,1.8,2.4,0.76,2.1,4.4,.455,1.270,0.46
bos,Kevin Garnett, PF,71,71,32.8,18.8,1.9,7.3,9.2,3.4,1.41,1.25,1.9,2.3,1.8,25.4,7.5,13.9,.539,0.0,0.2,.000,3.8,4.7,0.80,7.5,13.7,.545,1.351,0.54
bos,Paul Pierce, SF,80,80,35.9,19.6,0.7,4.5,5.1,4.5,1.26,0.45,2.8,2.5,1.6,19.9,6.4,13.7,.464,1.8,4.6,.392,5.1,6.1,0.84,4.6,9.1,.499,1.430,0.53
bos,Ray Allen, SG,73,73,35.9,17.4,1.0,2.6,3.7,3.1,0.89,0.22,1.7,2.0,1.8,16.6,6.0,13.5,.445,2.5,6.2,.398,2.9,3.2,0.91,3.5,7.3,.485,1.291,0.54
bos,Rajon Rondo, PG,77,77,29.9,10.6,1.0,3.2,4.2,5.1,1.68,0.17,1.9,2.4,2.7,15.7,4.6,9.3,.492,0.1,0.2,.263,1.4,2.3,0.61,4.5,9.1,.499,1.142,0.50
bos,Sam Cassell, PG†,17,1,17.6,7.6,0.3,1.5,1.8,2.1,0.53,0.18,1.1,1.7,1.8,15.3,2.9,7.6,.385,0.5,1.3,.409,1.2,1.5,0.84,2.4,6.3,.380,1.000,0.42
bos,Leon Powe, PF,56,5,14.4,7.9,1.7,2.4,4.1,0.3,0.27,0.29,0.8,2.3,0.3,21.0,2.8,4.8,.572,0.0,0.0,.000,2.4,3.4,0.71,2.8,4.8,.575,1.654,0.57
bos,Eddie House, SG,78,2,19.0,7.5,0.2,1.9,2.1,1.9,0.76,0.13,1.0,1.5,2.0,13.2,2.8,6.8,.409,1.5,3.8,.393,0.4,0.5,0.92,1.3,3.0,.429,1.100,0.52
bos,Glen Davis, PF,69,1,13.6,4.5,1.4,1.6,3.0,0.4,0.45,0.29,0.9,2.3,0.4,11.4,1.6,3.2,.484,0.0,0.0,.000,1.4,2.2,0.66,1.6,3.2,.484,1.416,0.48
bkn,Malik Allen, PF†,48,12,15.9,5.4,0.9,1.8,2.7,0.6,0.31,0.44,0.7,1.9,0.9,9.8,2.6,5.4,.475,0.0,0.0,.500,0.3,0.3,0.92,2.6,5.4,.475,1.000,0.48
bkn,Jason Collins, C†,43,23,15.9,1.4,0.8,1.3,2.1,0.4,0.26,0.19,0.5,2.6,0.8,3.4,0.5,1.3,.426,0.0,0.0,.000,0.3,0.8,0.39,0.5,1.3,.426,1.111,0.43
bkn,DeSagana Diop, C†,27,5,14.9,2.5,1.8,2.7,4.5,0.5,0.22,0.93,0.6,1.7,0.9,12.4,1.0,2.4,.415,0.0,0.0,.000,0.5,1.1,0.47,1.0,2.4,.415,1.046,0.42
bkn,Trenton Hassell, SF†,26,0,11.9,1.8,0.3,1.2,1.5,0.6,0.15,0.08,0.3,1.3,1.9,4.3,0.8,2.1,.364,0.0,0.2,.200,0.2,0.3,0.75,0.8,1.9,.380,.855,0.37
bkn,Jamaal Magloire, C†,24,2,10.8,1.8,0.8,2.6,3.4,0.3,0.00,0.42,1.0,1.8,0.3,1.5,0.6,2.0,.306,0.0,0.0,.000,0.6,1.3,0.45,0.6,2.0,.306,.898,0.31
bkn,Richard Jefferson, SF,82,82,39.0,22.6,1.1,3.0,4.2,3.1,0.93,0.26,2.4,2.7,1.3,17.5,7.5,16.2,.466,0.9,2.6,.362,6.6,8.3,0.80,6.6,13.6,.486,1.398,0.50
bkn,Josh Boone, PF,70,53,25.3,8.2,2.7,4.5,7.3,0.8,0.51,0.87,1.0,2.2,0.8,14.8,3.4,6.2,.548,0.0,0.0,.000,1.4,3.1,0.46,3.4,6.2,.548,1.325,0.55
bkn,Vince Carter, SG,76,72,38.9,21.3,1.5,4.5,6.0,5.1,1.22,0.43,2.4,3.2,2.1,18.9,7.7,16.9,.456,1.3,3.6,.359,4.6,5.6,0.82,6.4,13.3,.482,1.260,0.49
bkn,Antoine Wright, SF†,41,10,25.8,7.3,0.9,2.2,3.0,1.6,0.63,0.41,1.0,2.6,1.7,8.5,2.8,7.0,.401,0.7,2.5,.267,1.0,1.4,0.71,2.1,4.5,.473,1.038,0.45
bkn,Stromile Swift, PF†,21,0,14.0,5.0,0.9,2.5,3.3,0.2,0.24,0.86,0.6,1.9,0.3,14.7,2.0,4.2,.477,0.0,0.0,.000,1.0,1.3,0.75,2.0,4.2,.477,1.193,0.48
bkn,Billy Thomas, SG†,4,0,2.0,0.5,0.0,0.0,0.0,0.0,0.00,0.00,0.3,0.0,0.0,-1.5,0.0,0.8,.000,0.0,0.8,.000,0.5,0.5,1.00,0.0,0.0,.000,.667,0.00
bkn,Darrell Armstrong, PG,50,2,11.0,2.5,0.3,1.0,1.3,1.5,0.56,0.04,0.8,1.1,1.8,8.8,0.8,2.2,.364,0.5,1.4,.333,0.4,0.6,0.67,0.3,0.8,.415,1.118,0.47
bkn,Maurice Ager, SF†,14,0,6.3,2.6,0.2,0.4,0.6,0.3,0.00,0.00,0.2,0.4,1.3,1.9,1.1,2.7,.421,0.2,0.8,.273,0.1,0.4,0.17,0.9,1.9,.481,.947,0.46
bkn,Bostjan Nachbar, SF,75,1,22.1,9.8,0.7,2.7,3.5,1.2,0.59,0.28,1.1,2.4,1.0,12.5,3.3,8.1,.402,1.3,3.5,.359,2.1,2.6,0.79,2.0,4.6,.435,1.212,0.48
bkn,Marcus Williams, PG,53,7,16.1,5.9,0.3,1.6,1.9,2.6,0.47,0.06,1.4,1.0,1.9,11.2,2.1,5.5,.379,1.0,2.7,.380,0.7,0.9,0.79,1.1,2.8,.377,1.068,0.47
bkn,Nenad Krstic, C,45,38,18.0,6.6,0.8,3.7,4.4,0.6,0.20,0.38,0.9,2.5,0.7,8.5,2.7,6.7,.410,0.0,0.0,.000,1.2,1.5,0.75,2.7,6.7,.413,.993,0.41
bkn,Devin Harris, PG†,25,22,33.5,15.4,0.4,2.8,3.3,6.5,1.36,0.32,2.7,2.5,2.4,17.6,5.4,12.2,.438,1.2,3.9,.320,3.5,4.2,0.83,4.2,8.3,.493,1.261,0.49
bkn,Eddie Gill, PG†,13,1,11.5,2.9,0.1,1.6,1.7,1.6,0.54,0.15,0.6,1.4,2.6,11.0,0.9,2.2,.414,0.4,1.1,.357,0.7,0.7,1.00,0.5,1.1,.467,1.310,0.50
bkn,Sean Williams, PF,73,29,17.5,5.6,1.6,2.8,4.4,0.4,0.38,1.45,1.0,2.6,0.4,13.8,2.2,4.2,.538,0.0,0.0,.000,1.1,1.8,0.61,2.2,4.2,.538,1.341,0.54
bkn,Jason Kidd, PG†,51,51,37.2,11.3,1.1,6.9,8.1,10.4,1.45,0.29,3.6,1.8,2.9,16.8,3.9,10.8,.366,1.6,4.6,.356,1.8,2.2,0.82,2.3,6.2,.374,1.051,0.44
ny,Stephon Marbury, PG,24,19,33.5,13.9,0.7,1.8,2.5,4.7,0.88,0.08,2.0,2.4,2.4,14.1,4.6,11.0,.419,1.2,3.1,.378,3.5,4.8,0.72,3.4,7.9,.435,1.257,0.47
