TEAM,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
bos,Rick Fox, SF,81,81,32.0,14.0,2.0,3.6,5.6,4.6,1.40,0.51,2.7,3.6,1.7,5.2,11.5,.454,1.2,3.4,.364,2.4,3.1,0.77,4.0,8.1,.491,1.225,0.51
bos,Greg Minor, G,78,47,22.6,9.6,1.2,2.1,3.3,1.9,0.46,0.14,1.0,2.1,1.9,4.1,8.2,.500,0.1,0.3,.259,1.3,1.7,0.76,4.0,7.9,.511,1.166,0.51
bos,David Wesley, SG,82,53,25.7,12.3,0.8,2.4,3.2,4.8,1.22,0.13,1.9,2.5,2.5,4.1,9.0,.459,1.4,3.3,.426,2.6,3.5,0.75,2.7,5.7,.478,1.371,0.54
bos,Dino Radja, C,53,52,37.4,19.7,2.1,7.7,9.8,1.6,0.91,1.53,2.2,3.0,0.7,8.0,16.1,.500,0.0,0.0,.000,3.6,5.2,0.69,8.0,16.1,.500,1.224,0.50
bos,Todd Mundt, C†,9,0,3.7,0.7,0.1,0.2,0.3,0.1,0.11,0.11,0.0,0.7,0.0,0.3,1.0,.333,0.0,0.0,.000,0.0,0.0,0.00,0.3,1.0,.333,.667,0.33
bos,Thomas Hamilton, C,11,0,6.4,2.3,0.9,1.1,2.0,0.1,0.00,0.82,0.8,1.1,0.1,0.8,2.8,.290,0.0,0.0,.000,0.6,1.6,0.39,0.8,2.8,.290,.806,0.29
bos,Dee Brown, G,65,23,24.5,10.7,0.6,1.5,2.1,2.2,1.23,0.18,1.1,1.8,2.0,3.8,9.5,.399,1.0,3.4,.309,2.1,2.4,0.85,2.8,6.1,.449,1.128,0.45
bos,Sherman Douglas, G†,10,4,23.4,9.8,0.6,1.7,2.3,3.9,0.20,0.00,2.9,1.6,1.3,3.6,8.4,.429,0.1,0.7,.143,2.5,4.0,0.63,3.5,7.7,.455,1.167,0.43
bos,Todd Day, G†,71,12,23.0,12.0,0.9,2.0,2.8,1.4,1.08,0.68,1.4,2.8,1.0,3.9,10.5,.371,1.3,3.9,.343,2.8,3.7,0.77,2.6,6.6,.388,1.138,0.43
bos,Eric Williams, PF,64,6,23.0,10.7,1.4,2.0,3.4,1.1,0.88,0.17,1.4,2.3,0.8,3.8,8.5,.441,0.0,0.2,.300,3.1,4.7,0.67,3.8,8.3,.444,1.255,0.44
bos,Dana Barros, PG,80,25,29.1,13.0,0.3,2.1,2.4,3.8,0.73,0.04,1.5,1.5,2.6,4.7,10.1,.470,1.9,4.6,.408,1.6,1.8,0.88,2.8,5.5,.523,1.288,0.56
bos,Charles Claxton, C,3,0,2.3,0.7,0.7,0.0,0.7,0.0,0.00,0.33,0.3,1.3,0.0,0.3,0.7,.500,0.0,0.0,.000,0.0,0.7,0.00,0.3,0.7,.500,1.000,0.50
bos,Larry Sykes, F,1,0,2.0,0.0,1.0,1.0,2.0,0.0,0.00,0.00,1.0,0.0,0.0,0.0,0.0,.000,0.0,0.0,.000,0.0,0.0,0.00,0.0,0.0,.000,.000,0.00
bos,Doug Smith, F,17,2,5.4,1.9,0.7,0.6,1.3,0.2,0.18,0.00,0.6,1.2,0.4,0.8,2.3,.359,0.0,0.0,.000,0.3,0.5,0.63,0.8,2.3,.359,.846,0.36
bos,Pervis Ellison, F,69,29,20.7,5.3,2.2,4.3,6.5,0.9,0.57,1.43,1.2,3.0,0.7,2.1,4.3,.492,0.0,0.0,.000,1.1,1.7,0.64,2.1,4.3,.492,1.237,0.49
bos,Alton Lister, C†,57,14,11.4,2.3,1.1,3.4,4.4,0.3,0.11,0.68,0.8,2.1,0.3,0.8,1.7,.490,0.0,0.0,.000,0.7,1.1,0.63,0.8,1.7,.490,1.385,0.49
bos,Junior Burrough, F,61,3,8.1,3.1,0.7,1.0,1.8,0.2,0.25,0.16,0.7,1.2,0.4,1.0,2.8,.376,0.0,0.0,.000,1.0,1.5,0.66,1.0,2.8,.376,1.112,0.38
bos,Eric Montross, C,61,59,23.5,7.2,2.0,3.8,5.8,0.7,0.31,0.48,1.4,3.0,0.5,3.2,5.7,.566,0.0,0.0,.000,0.8,2.2,0.38,3.2,5.7,.566,1.277,0.57
bkn,Gerald Glass, G†,10,0,5.6,2.1,0.5,0.1,0.6,0.4,0.20,0.10,0.0,0.5,0.0,1.0,2.8,.357,0.1,0.5,.200,0.0,0.0,0.00,0.9,2.3,.391,.750,0.38
bkn,Kevin Edwards, G,34,33,29.6,11.6,0.4,1.8,2.2,2.1,1.59,0.21,2.0,2.0,1.0,4.2,11.5,.364,1.2,3.1,.404,2.0,2.5,0.81,3.0,8.4,.350,1.010,0.42
bkn,Jayson Williams, C,80,6,23.2,9.0,4.3,5.8,10.0,0.6,0.44,0.71,1.3,3.0,0.4,3.5,8.3,.423,0.0,0.1,.286,2.0,3.4,0.59,3.5,8.2,.424,1.092,0.42
bkn,Robert Werdann, C,13,0,7.2,3.0,0.4,1.4,1.8,0.2,0.38,0.23,0.5,1.3,0.3,1.2,2.5,.500,0.0,0.0,.000,0.5,1.0,0.54,1.2,2.5,.500,1.219,0.50
bkn,Ed O'Bannon, F,64,29,19.6,6.2,1.0,1.6,2.6,1.0,0.69,0.17,1.0,1.5,1.0,2.4,6.3,.390,0.2,0.9,.179,1.2,1.7,0.71,2.2,5.4,.424,.998,0.40
bkn,Shawn Bradley, C†,67,57,29.8,12.5,2.8,5.1,7.9,0.8,0.61,3.73,2.2,3.6,0.4,5.1,11.6,.443,0.0,0.1,.250,2.2,3.3,0.68,5.1,11.5,.444,1.081,0.44
bkn,Greg Graham, G†,45,2,10.8,4.1,0.3,0.7,0.9,0.9,0.44,0.02,0.6,1.1,1.4,1.4,3.6,.379,0.6,1.5,.368,0.8,1.1,0.73,0.8,2.1,.387,1.143,0.46
bkn,Chris Childs, G,78,54,30.9,12.8,0.7,2.5,3.1,7.0,1.42,0.10,2.9,3.2,2.4,4.2,10.0,.416,1.2,3.3,.367,3.3,3.9,0.85,3.0,6.7,.441,1.288,0.48
bkn,Khalid Reeves, G†,31,7,13.4,3.8,0.2,1.0,1.3,1.5,0.68,0.06,1.1,2.2,1.4,1.3,3.5,.376,0.5,1.8,.309,0.6,1.0,0.58,0.8,1.7,.444,1.073,0.45
bkn,Vern Fleming, G,77,3,22.7,7.7,0.6,1.6,2.2,3.3,0.53,0.06,1.6,1.5,2.1,2.9,6.8,.433,0.0,0.4,.107,1.7,2.3,0.75,2.9,6.4,.452,1.126,0.44
bkn,Rick Mahorn, F,50,0,9.0,2.4,0.6,1.6,2.2,0.3,0.28,0.26,0.6,1.4,0.5,0.9,2.4,.352,0.0,0.0,.000,0.7,0.9,0.72,0.9,2.4,.355,.984,0.35
bkn,Tim Perry, F†,22,1,7.6,2.4,0.7,0.9,1.6,0.3,0.09,0.45,0.3,0.5,0.9,1.0,2.1,.489,0.1,0.3,.429,0.1,0.3,0.50,0.9,1.8,.500,1.106,0.52
bkn,Yinka Dare, C,58,23,10.8,2.8,1.0,2.2,3.1,0.0,0.14,0.69,1.2,2.0,0.0,1.1,2.5,.438,0.0,0.0,.000,0.7,1.1,0.61,1.1,2.5,.438,1.139,0.44
bkn,P.J. Brown, PF,81,81,36.3,11.3,2.7,4.3,6.9,2.0,0.98,1.23,1.6,3.1,1.2,4.4,9.9,.444,0.0,0.2,.200,2.5,3.3,0.77,4.4,9.7,.448,1.147,0.45
bkn,Rex Walters, G†,11,0,7.9,3.0,0.2,0.5,0.6,1.0,0.27,0.00,0.6,0.4,1.6,1.1,3.0,.364,0.3,1.1,.250,0.5,0.5,1.00,0.8,1.9,.429,1.000,0.41
bkn,Kenny Anderson, PG†,31,28,33.6,15.3,1.2,2.1,3.3,8.0,1.68,0.26,1.9,2.4,4.3,4.6,12.3,.376,1.2,3.2,.364,4.9,6.1,0.80,3.4,9.1,.381,1.245,0.42
bkn,Armen Gilliam, F,78,76,36.6,18.3,3.1,6.1,9.1,1.8,0.94,0.68,2.3,2.3,0.8,7.4,15.6,.474,0.0,0.0,.000,3.6,4.5,0.79,7.4,15.6,.474,1.175,0.47
bkn,Kendall Gill, SF†,11,10,38.0,17.5,1.5,2.5,3.9,3.2,2.00,0.18,1.9,2.7,1.7,6.1,13.8,.441,0.8,2.3,.360,4.5,5.4,0.83,5.3,11.5,.457,1.263,0.47
ny,Matt Fish, C†,2,1,8.5,6.0,1.5,0.0,1.5,0.5,0.00,0.50,0.0,1.5,0.0,3.0,5.0,.600,0.0,0.0,.000,0.0,0.5,0.00,3.0,5.0,.600,1.200,0.60
ny,Patrick Ewing, C,76,76,36.6,22.5,2.1,8.5,10.6,2.1,0.89,2.42,2.9,3.3,0.7,8.9,19.2,.466,0.1,0.4,.143,4.6,6.1,0.76,8.8,18.8,.472,1.175,0.47
ny,Monty Williams, SF†,14,0,4.4,1.4,0.6,0.6,1.2,0.3,0.14,0.00,0.4,0.6,0.8,0.5,1.6,.318,0.0,0.0,.000,0.4,0.6,0.63,0.5,1.6,.318,.864,0.32
ny,John Starks, G,81,71,30.8,12.6,0.4,2.5,2.9,3.9,1.27,0.14,1.9,2.8,2.0,4.6,10.4,.443,1.8,4.9,.361,1.6,2.1,0.75,2.8,5.5,.516,1.210,0.53
ny,Willie Anderson, G†,27,2,18.4,5.0,0.5,1.7,2.2,1.8,0.63,0.30,0.9,2.2,2.0,2.1,4.9,.421,0.2,0.9,.200,0.7,1.1,0.61,1.9,4.0,.472,1.023,0.44
