,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Antonio Daniels,PG",,2814000,,3375000,,,5000000,5400000,5800000,6200000,6600000,,,,,
"Antonio Davis,PF",,5500000,11000000,12000000,12000000,12000000,13865000,,,,,,,,,
"Antonio Harvey,F",,,591000,,,,,,,,,,,,,
"Antonio McDyess,PF",9900000,10800000,11700000,,,,5393300,,6373900,600532,4500000,4860000,5220000,5220000,,
"Antonis Fotsis,F",,,332000,,,,,,,,,,,,,
"Archie Goodwin,SG",,,,,,,,,,,,,,,1064400,1112280
"Armon Johnson,PG",,,,,,,,,,,,473604,104494,104494,,
"Arnett Moultrie,PF",,,,,,,,,,,,,,1042320,1089240,1136160
"Aron Baynes,PF",,,,,,,,,,,,,,239588,788872,2077000
"Arron Afflalo,SG",,,,,,,,944520,944520,1015440,1086240,1959577,7750000,7750000,7500000,7500000
"Art Long,F",,,466000,,,,,,,,,,,,,
"Arvydas Sabonis,C",,10636000,,,,,,,,,,,,,,
"Austin Croshere,PF",,5298000,6310000,6960000,7610000,8260000,7900000,7300000,770610,,,,,,,
"Austin Daye,SF",,,,,,,,,,,1677840,1803720,1929600,2958077,947907,1063384
"Austin Rivers,SG",,,,,,,,,,,,,,2238360,2339040,2439840
"Avery Bradley,PG",,,,,,,,,,,,1418160,1524480,1630800,2511432,7191011
"Avery Johnson,PG",,8000000,4538000,4991000,5445000,,,,,,,,,,,
"Awvee Storey,SF",,,,,,,641748,,,,,,,,,
"Baron Davis,PG",2712000,2916000,3119000,3942000,5173000,,,,16440000,11250000,12100000,14000000,854389,,,
"Ben Gordon,SG",,,,,,,3610200,3862080,4881669,6404750,10000000,10800000,11600000,13200000,,4500000
"Ben McLemore,SG",,,,,,,,,,,,,,,2895960,3026280
"Ben Uzoh,PG",,,,,,,,,,,,,190548,190548,,
"Ben Wallace,PF",,4000000,,5000000,5500000,6000000,7500000,16000000,15500000,14500000,,2080000,2246400,2246400,,
"Beno Udrih,PG",,,,,,,904800,967920,561544,5585000,6031800,6478600,6925400,7372000,884293,2077000
"Bernard James,C",,,,,,,,,,,,,,,788872,
"Bernard Robinson,SG",,,,,,,641747,1000000,1080000,,,,,,,
"Bill Walker,SF",,,,,,,,,,542114,736420,,885120,885120,,
"Billy Thomas,SG",,,,,,,,,4533,,,,,,,
"Bimbo Coles,PG",,2250000,2475000,2700000,2925000,,,,,,,,,,,
"Bismack Biyombo,C",,,,,,,,,,,,,2798040,3049920,3049920,3873398
"Blake Ahearn,PG",,,,,,,,,67844,631995,,,117134,,,
"Blake Griffin,PF",,,,,,,,,,,4983480,5357280,5731080,13701250,16441500,17674613
"Bo Outlaw,PF",,4500000,6555000,6555000,5955000,5355000,1138500,,,,,,,,,
"Bob Sura,PG",3760000,4386000,4913000,5540000,6166000,,3520000,3840000,3840000,,,,,,,
"Bobby Brown,PG",,,,,,,,,,442114,,,,,,
"Bobby Jackson,PG",,,2475000,2700000,2925000,3150000,3375000,5250000,5670000,6487888,,,,,,
"Bobby Jones,SF",,,,,,,,412718,24263,,,,,,,
"Bobby Simmons,SF",,,332000,,,,8000000,8640000,9280000,10602667,11242666,,234268,234268,,
"Bojan Bogdanovic,SG",,,,,,,,,,,,,,,,3278000
"Boniface N'Dong,C",,,,,,,398762,,,,,,,,,
"Bonzi Wells,SG",1428000,1528000,2028000,2777000,,,,2115000,2284200,,,,,,,
"Boris Diaw,PF",,,,,,,1174200,1870501,9000000,,,,241158,4500000,4702500,7500000
"Bostjan Nachbar,SF",,,,,,,2500000,,2500000,,,,,,,
"Bracey Wright,SG",,,,,,,398762,,,,,,,,,
"Brad Miller,C",,4000000,4400000,4800000,,,8750000,9625000,,11375000,12250000,4400000,4752000,5104000,,
"Bradley Beal,SG",,,,,,,,,,,,,,4319280,4319280,4505280
"Brandan Wright,PF",,,,,,,,,2323080,2497320,2671440,3398072,915852,992680,5000000,5000000
"Brandon Armstrong,SG",,,865000,930000,995000,,,,,,,,,,,
"Brandon Bass,PF",,,,,,,398762,664209,770610,826269,4000000,,4250000,6000000,6450000,6900000
"Brandon Davies,PF",,,,,,,,,,,,,,,490180,
"Brandon Heath,SG",,,,,,,,,,442114,,,,,,
"Brandon Jennings,PG",,,,,,,,,,,2168520,2331120,2493720,3179493,7655503,
"Brandon Knight,PG",,,,,,,,,,,,,2563320,2678640,2793960,3553917
"Brandon Roy,SG",,,,,,,,2681880,2883120,3084240,3910816,13603750,15032144,5100000,,
"Brandon Rush,SG",,,,,,,,,,1799160,1934160,2069040,2956658,,,1145685
"Brendan Haywood,C",,,815000,,,,,4500000,5000000,5500000,6000000,6900000,7624500,2050000,2050000,2213668
"Brent Barry,SG",3960000,4320000,4680000,5040000,5400000,,4691390,5117880,172177,1910000,2062800,2062800,2062800,2062800,,
"Brent Price,G",2944000,2880000,3680000,,,,,,,,,,,,,
"Brevin Knight,PG",,4250000,4500000,5062000,5062000,,4600000,4400000,1600000,2000000,,,,,,
"Brian Butch,C",,,,,,,,,,,10767,762195,,762195,,
"Brian Cardinal,PF",,,465000,,,,4950000,,5850000,6300000,111685,,,,,
"Brian Cook,PF",,,,,,,1038960,1817141,3500000,3500000,3500000,1146337,1223166,,,
"Brian Grant,PF",,8897000,10009000,11121000,12234000,13346000,1670000,,,,,,,,,
"Brian Roberts,PG",,,,,,,,,,,,,,473604,788872,2732000
"Brian Scalabrine,PF",,,,512000,,,2586207,2793103,3000000,3206897,3413793,,,,,
"Brian Shaw,G",,,,1400000,,,,,,,,,,,,
"Brian Skinner,PF",843000,901000,1483000,2148000,,,4950000,5400000,,1262275,825497,668434,668434,668434,,
"Brook Lopez,C",,,,,,,,,,2098560,2255880,2413320,3076983,13668750,,15719062
"Bruce Bowen,SF",,733000,715000,824000,,,3375000,3750000,4125000,4000000,4100000,4100000,4100000,4100000,,
"Bruno Caboclo,SF",,,,,,,,,,,,,,,,1458360
"Bruno Sundov,C",,498000,565000,,,,,,,,,,,,,
"Bryant Reeves,C",8666000,10110000,,,,,,,,,,,,,,
"Bryant Stith,G",,5620000,2000000,,,,,,,,,,,,,
"Bryce Cotton,PG",,,,,,,,,,,,,,,,507336
"Bryce Drew,PG",,,1300000,1300000,1300000,,,,,,,,,,,
"Bryon Russell,SF",4000000,4570000,5142000,,,,1138500,,,,,,,,,
"Byron Mullens,C",,,,,,,,,,,1120200,1204200,1288200,,947907,
"C.J. McCollum,SG",,,,,,,,,,,,,,,2316720,2421000
"C.J. Miles,SG",,,,,,,398761,664209,945610,3700000,3700000,3700000,3700000,2225000,2225000,4205000
"C.J. Watson,PG",,,,,,,,,251272,,1000497,3600000,3400000,992680,2016000,2077000
"C.J. Wilcox,SG",,,,,,,,,,,,,,,,1109760
"Cal Bowdler,F",1025000,1102000,1179000,,,,,,,,,,,,,
"Calbert Cheaney,SG",,,2400000,,,,,,,,,,,,,
"Calvin Booth,C",,423000,4539000,4992000,5446000,5900000,900498,998967,1103225,1319651,,,,,,
"Cameron Bairstow,PF",,,,,,,,,,,,,,,,507336
"Carl Landry,PF",,,,,,,,,,3000000,3000000,,8500000,4000000,6500000,6500000
"Carldell Johnson,PG",,,,,,,,,,,,,473604,473604,,
"Carlos Arroyo,PG",,,333000,,,,4000000,4100000,4000000,,,196007,196007,,,
"Carlos Boozer,PF",,,,,,,11260483,11260483,11593816,11593817,12323900,14400000,13500000,15300000,15300000,3251000
"Carlos Delfino,SG",,,,,,,969600,1037280,1868141,,3500000,,,,,3250000
"Carmelo Anthony,SF",,,,,,,3713640,4694041,13041250,14410581,15779912,17149243,18518574,19444503,21388953,22458401
"Caron Butler,SF",,,,,,,2461617,7438000,8468990,9249980,9780970,10561960,,8000000,244489,4500000
"Carrick Felix,SG",,,,,,,,,,,,,,,510000,816482
"Cartier Martin,PF",,,,,,,,,,52014,69310,,199816,,104034,1145685
"Cedric Ceballos,F",,3937000,,,,,,,,,,,,,,
"Cedric E. Henderson,F",2400000,2700000,3000000,,,,,,,,,,,,,
"Cedric Jackson,G",,,,,,,,,,,40375,40375,40375,40375,,
"Cedric Simmons,SF",,,,,,,,1515480,1629120,1742760,,,,,,
"Chandler Parsons,SF",,,,,,,,,,,,,850000,888250,926500,14700000
"Channing Frye,PF",,,,,,,2162880,2325000,2487240,3163769,1990000,5200000,6000000,6400000,6400000,8579088
"Charles Oakley,PF",,,6545000,,,,,,,,,,,,,
"Charles Smith,SG",,,541000,612000,,,719373,,,,,,,,,
"Charlie Bell,SG",,,,,,,,,3106000,3354480,3602960,4447792,4099920,4099920,,
"Charlie Villanueva,PF",,,,,,,2360880,2537880,2715000,3448050,6500000,7020000,7540000,8060000,8580000,
"Charlie Ward,PG",4540000,5000000,5110000,5750000,6030000,,,,,,,,,,,
"Chase Budinger,SF",,,,,,,,,,,725000,780871,,885120,5000000,
"Chauncey Billups,PG",,,,,,,5909800,6364400,,11050000,12100000,13150000,2000032,,2500000,
"Cherokee Parks,PF",,2100000,,824000,,,,,,,,,,,,
"Chris Andersen,PF",,,,,,,,,885294,,3650000,4533300,4234000,1679408,,5375000
"Chris Babb,SG",,,,,,,,,,,,,,,77852,816482
"Chris Bosh,C",,,,,,,3348000,4235220,13041250,14410581,15779912,14500000,17545000,19067500,19067500,20644400
"Chris Childs,G",4160000,4680000,5200000,,,,,,,,,,,,,
"Chris Copeland,SF",,,,,,,,,,,,,,,3000000,3135000
"Chris Crawford,SF",2000000,2250000,2500000,2750000,3000000,,,,,,,,,,,
"Chris Douglas-Roberts,SG",,,,,,,,,,442114,736420,,,582995,660619,
"Chris Dudley,C",7100000,6200000,591000,,,,,,,,,,,,,
"Chris Duhon,PG",,,,,,,2800000,3024000,3248000,5585000,,3500000,3250000,,,
"Chris Garner,G",,32000,,,,,,,,,,,,,,
"Chris Gatling,C",,,2504000,,,,,,,,,,,,,
"Chris Herren,G",,423000,,,,,,,,,,,,,,
"Chris Hunter,C",,,,,,,,,,,632455,,,,,
"Chris Johnson,C",,,,,,,,,,,,88363,762195,346781,,
"Chris Johnson,SF",,,,,,,,,,,,,,55718,320189,915243
"Chris Kaman,C",,,,,,,2753760,3491767,8600000,,10400000,11800000,14030000,8000000,3183000,4800000
"Chris McCray,SG",,,,,,,,412718,,,,,,,,
"Chris Mihm,C",,1923000,2067000,2222000,2823000,3785000,3792817,4214241,2500000,2500000,,,,,,
"Chris Mills,SF",4200000,4800000,5400000,6000000,,,,,,,,,,,,
"Chris Paul,PG",,,,,,,3144240,3380160,3615960,4574189,13520500,14940153,16359805,18668431,18668431,20068563
"Chris Quinn,PG",,,,,,,,,,972581,1050387,804131,804131,169340,,
"Chris Richard,PF",,,,,,,,,,886517,186271,,,,,
"Chris Singleton,SF",,,,,,,,,,,,,1485000,1618680,1618680,
"Chris Taft,PF",,,,,,,423762,,,,,,,,,
"Chris Webber,C",,12000000,12750000,14343000,15937000,17351000,19125000,407313,358107,,,,,,,
"Chris Whitney,PG",,2370000,2666000,2962000,3259000,,,,,,,,,,,
"Chris Wilcox,PF",,,,,,,2812239,6250000,6500000,6750000,3000000,3000000,3000000,,,
"Chris Wright,PG",,,,,,,,,,,,,,27859,,
"Chris Wright,SF",,,,,,,,,,,,,,,9281,
"Christian Eyenga,SF",,,,,,,,,,,,1020960,1097520,1174080,,
"Christian Laettner,PF",,6625000,4421000,4973000,5526000,6078000,,,,,,,,,,
"Chuck Hayes,C",,,,,,,248118,664209,1750000,1768000,2147750,1972500,5486250,5486250,5722500,5958750
"Chucky Atkins,PG",,3000000,3300000,3600000,3900000,4200000,4500000,,3000000,3240000,825497,,,,,
"Chucky Brown,F",,241000,,,,,,,,,,,,,,
"Clarence Weatherspoon,PF",,2100000,,4991000,5445000,5899000,,,,,,,,,,
"Clifford Robinson,PF",6125000,6890000,7656000,8421000,,,2500000,1600000,1600000,,,,,,,
"Clint Capela,C",,,,,,,,,,,,,,,,1189200
"Coby Karl,PG",,,,,,,,,,,17328,,,,,
"Cody Zeller,C",,,,,,,,,,,,,,3857040,3857040,4030560
"Cole Aldrich,C",,,,,,,,,,,,2126520,2286000,2445480,,
"Corey Benjamin,G",,744000,,,,,,,,,,,,,,
"Corey Brewer,SG",,,,,,,,2535720,2535720,2725920,2916120,3875000,3059000,3243000,,4702500
"Corey Maggette,SF",1259000,1353000,1448000,2069000,2862000,,7000000,7000000,7000000,8275862,8937931,9600000,10262069,10924138,,
"Corie Blount,PF",,1320000,1452000,1400000,,,,,,,,,,,,
"Corliss Williamson,PF",,3997000,4000000,4500000,5000000,5500000,6000000,6500000,,,,,,,,
"Cory Higgins,PG",,,,,,,,,,,,,473604,762195,,
"Cory Jefferson,PF",,,,,,,,,,,,,,,,507336
"Cory Joseph,PG",,,,,,,,,,,,,1074720,1074720,1120920,1023261
"Courtney Alexander,SG",,1319000,1418000,1524000,,,,,,,,,,,,
"Courtney Fortson,PG",,,,,,,,,,,,,156595,,,
"Courtney Lee,SG",,,,,,,,,,1176240,1264440,1352640,2225093,5000000,5225000,5450000
"Courtney Sims,C",,,,,,,,,319116,,,,,,,
"Craig Brackins,PF",,,,,,,,,,,,1306920,1404960,1404960,,
"Craig Smith,PF",,,,,,,,,687456,2500000,2300000,2300000,,,,
"Curtis Jerrells,NA",,,,,,,,,,,59217,762195,,762195,,
"Cuttino Mobley,SG",,3922000,4412000,4903000,5393000,5883000,7241379,8125000,8350000,8925000,9500000,9500000,9500000,9500000,,
"D.J. Augustin,PG",,,,,,,,,2208960,2208960,2374680,2540000,3236470,,650215,3000000
"D.J. Kennedy,SG",,,,,,,,,,,,,22916,762195,,
"D.J. Strawberry,SG",,,,,,,,,,711517,,,,,,
"D.J. White,PF",,,,,,,,,,964080,1036440,1108680,2001167,156234,104028,
"Da'Sean Butler,NA",,,,,,,,,,,,125000,788872,788872,,
"DaJuan Summers,SF",,,,,,,,,,,457588,,,72892,,
"Daequan Cook,SG",,,,,,,,,1184400,1273200,1362120,2169857,3341558,512633,,
"Dahntay Jones,SG",,,,,,,1223160,1886113,584757,,,2500000,2700000,2900000,,
"Dajuan Wagner,SG",,,,,,,,798112,,,,,,,,
"Dale Davis,PF",4490000,6175000,7010000,8000000,,,3500000,3500000,,,,,,,,
"Dalibor Bagaric,C",,795000,854000,914000,,,,,,,,,,,,
"Damian Lillard,PG",,,,,,,,,,,,,,3065040,3202920,3340920
"Damien Inglis,SF",,,,,,,,,,,,,,,,820000
